"grid","level","seed","method","Type_I_error","Power","secs"
"typeI_balance","balanced",108,"ComBat_seq",0.0219678217821782,NA,24
"typeI_balance","same_imbalance",108,"ComBat_seq",0.126361386138614,NA,21.5
"typeI_balance","opp_imbalance",108,"ComBat_seq",0.0696782178217822,NA,22.4
"typeI_balance","half_imbalance",108,"ComBat_seq",0.0981435643564356,NA,21.7
"power_size","5",108,"ComBat_seq",0.0468926553672316,0.299,13.2
"power_size","10",108,"ComBat_seq",0.022316384180791,0.469,19.9
"power_size","30",108,"ComBat_seq",0.048093220338983,0.718,41.6
"power_size","50",108,"ComBat_seq",0.0161016949152542,0.829,63.5
"power_balance","balanced",108,"ComBat_seq",0.0161723163841808,0.8115,62.4
"power_balance","same_imbalance",108,"ComBat_seq",0.0504943502824859,0.779,62.5
"power_balance","opp_imbalance",108,"ComBat_seq",0.355296610169492,0.7525,62.3
"power_balance","half_imbalance",108,"ComBat_seq",0.177683615819209,0.897,64.4
"power_effect","0.3",108,"ComBat_seq",0.0159604519774011,0.3085,70.9
"power_effect","0.5",108,"ComBat_seq",0.0160310734463277,0.583,70.3
"power_effect","0.7",108,"ComBat_seq",0.0160310734463277,0.726,74.2
"power_effect","1",108,"ComBat_seq",0.0161016949152542,0.829,82.4
