"grid","level","seed","method","Type_I_error","Power","secs"
"typeI_balance","balanced",170,"MMR",0.0904084158415842,NA,15.6
"typeI_balance","balanced",170,"MNN",0.0836014851485149,NA,16.9
"typeI_balance","balanced",170,"ComBat_seq",0.0587871287128713,NA,22.8
"typeI_balance","balanced",170,"ComBat",0.0891707920792079,NA,22.2
"typeI_balance","balanced",170,"limma",0.0951113861386139,NA,18
"typeI_balance","balanced",170,"RNABC",0.113056930693069,NA,17.4
"typeI_balance","same_imbalance",170,"MMR",0.0688118811881188,NA,16.2
"typeI_balance","same_imbalance",170,"MNN",0.0972772277227723,NA,18.6
"typeI_balance","same_imbalance",170,"ComBat_seq",0.0436881188118812,NA,26.9
"typeI_balance","same_imbalance",170,"ComBat",0.0708539603960396,NA,19.4
"typeI_balance","same_imbalance",170,"limma",0.0878712871287129,NA,17.5
"typeI_balance","same_imbalance",170,"RNABC",0.0864480198019802,NA,19.3
"typeI_balance","opp_imbalance",170,"MMR",0.0919554455445545,NA,17.9
"typeI_balance","opp_imbalance",170,"MNN",0.105816831683168,NA,18.4
"typeI_balance","opp_imbalance",170,"ComBat_seq",0.143502475247525,NA,26.6
"typeI_balance","opp_imbalance",170,"ComBat",0.126299504950495,NA,21.1
"typeI_balance","opp_imbalance",170,"limma",0.0869430693069307,NA,17.3
"typeI_balance","opp_imbalance",170,"RNABC",0.0795173267326733,NA,17.9
"typeI_balance","half_imbalance",170,"MMR",0.0499381188118812,NA,16.9
"typeI_balance","half_imbalance",170,"MNN",0.0604579207920792,NA,17.9
"typeI_balance","half_imbalance",170,"ComBat_seq",0.0376856435643564,NA,27.4
"typeI_balance","half_imbalance",170,"ComBat",0.0520420792079208,NA,19.4
"typeI_balance","half_imbalance",170,"limma",0.0611386138613861,NA,18.1
"typeI_balance","half_imbalance",170,"RNABC",0.0670173267326733,NA,18.6
"power_size","5",170,"MMR",0.0319209039548023,0.3215,13.4
"power_size","5",170,"MNN",0.0389830508474576,0.11,12.6
"power_size","5",170,"ComBat_seq",0.0301553672316384,0.2835,18.2
"power_size","5",170,"ComBat",0.0490112994350283,0.37,13.1
"power_size","5",170,"limma",0.0609463276836158,0.401,13
"power_size","5",170,"RNABC",0.0495762711864407,0.398,13.5
"power_size","10",170,"MMR",0.0692090395480226,0.4725,18.2
"power_size","10",170,"MNN",0.121327683615819,0.244,16.8
"power_size","10",170,"ComBat_seq",0.0561440677966102,0.4345,28.1
"power_size","10",170,"ComBat",0.0915254237288136,0.5745,16.6
"power_size","10",170,"limma",0.0991525423728814,0.6125,16.4
"power_size","10",170,"RNABC",0.12725988700565,0.567,16.5
"power_size","30",170,"MMR",0.0331214689265537,0.6635,28.6
"power_size","30",170,"MNN",0.0832627118644068,0.6805,30.6
"power_size","30",170,"ComBat_seq",0.0245762711864407,0.683,49.1
"power_size","30",170,"ComBat",0.0408898305084746,0.793,29.1
"power_size","30",170,"limma",0.0587570621468927,0.862,26.3
"power_size","30",170,"RNABC",0.065819209039548,0.862,29
"power_size","50",170,"MMR",0.017725988700565,0.7705,40.2
"power_size","50",170,"MNN",0.0199152542372881,0.8535,42.7
"power_size","50",170,"ComBat_seq",0.0122881355932203,0.8085,73
"power_size","50",170,"ComBat",0.0252118644067797,0.9045,40.8
"power_size","50",170,"limma",0.0396892655367232,0.946,39.9
"power_size","50",170,"RNABC",0.0364406779661017,0.95,38.9
"power_balance","balanced",170,"MMR",0.0177966101694915,0.7305,37.2
"power_balance","balanced",170,"MNN",0.0153954802259887,0.8665,40.4
"power_balance","balanced",170,"ComBat_seq",0.0121468926553672,0.785,73.4
"power_balance","balanced",170,"ComBat",0.0246468926553672,0.897,43.9
"power_balance","balanced",170,"limma",0.0391242937853107,0.9405,39.5
"power_balance","balanced",170,"RNABC",0.0288841807909605,0.94,41.6
"power_balance","same_imbalance",170,"MMR",0.0187146892655367,0.7245,37.5
"power_balance","same_imbalance",170,"MNN",0.0119350282485876,0.874,39.8
"power_balance","same_imbalance",170,"ComBat_seq",0.0136299435028249,0.7715,71.3
"power_balance","same_imbalance",170,"ComBat",0.0221045197740113,0.8835,38.5
"power_balance","same_imbalance",170,"limma",0.0312853107344633,0.9325,36.4
"power_balance","same_imbalance",170,"RNABC",0.0373587570621469,0.927,39.4
"power_balance","opp_imbalance",170,"MMR",0.104943502824859,0.649,35.3
"power_balance","opp_imbalance",170,"MNN",0.40183615819209,0.6905,39.6
"power_balance","opp_imbalance",170,"ComBat_seq",0.353107344632768,0.769,64.1
"power_balance","opp_imbalance",170,"ComBat",0.205508474576271,0.8705,37.1
"power_balance","opp_imbalance",170,"limma",0.0278248587570621,0.9355,35.6
"power_balance","opp_imbalance",170,"RNABC",0.0147598870056497,0.9355,36.8
"power_balance","half_imbalance",170,"MMR",0.036864406779661,0.7255,33.8
"power_balance","half_imbalance",170,"MNN",0.0826977401129944,0.7865,36.9
"power_balance","half_imbalance",170,"ComBat_seq",0.153107344632768,0.897,64.3
"power_balance","half_imbalance",170,"ComBat",0.0854519774011299,0.942,35.7
"power_balance","half_imbalance",170,"limma",0.0486581920903955,0.9385,35.4
"power_balance","half_imbalance",170,"RNABC",0.0541666666666667,0.9325,34.3
"power_effect","0.3",170,"MMR",0.022316384180791,0.311,32.7
"power_effect","0.3",170,"MNN",0.0144774011299435,0.237,37.1
"power_effect","0.3",170,"ComBat_seq",0.0125,0.2825,63.8
"power_effect","0.3",170,"ComBat",0.0220338983050847,0.415,34.5
"power_effect","0.3",170,"limma",0.036228813559322,0.4365,33
"power_effect","0.3",170,"RNABC",0.0290254237288136,0.4425,33.5
