"grid","level","seed","method","Type_I_error","Power","secs"
"typeI_balance","balanced",152,"MMR",0.0207920792079208,NA,18
"typeI_balance","balanced",152,"MNN",0.0202351485148515,NA,20.5
"typeI_balance","balanced",152,"ComBat_seq",0.0113861386138614,NA,25.1
"typeI_balance","balanced",152,"ComBat",0.0196782178217822,NA,23.2
"typeI_balance","balanced",152,"limma",0.0245049504950495,NA,18.1
"typeI_balance","balanced",152,"RNABC",0.0243811881188119,NA,18
"typeI_balance","same_imbalance",152,"MMR",0.0245049504950495,NA,18.9
"typeI_balance","same_imbalance",152,"MNN",0.0546410891089109,NA,19.4
"typeI_balance","same_imbalance",152,"ComBat_seq",0.00891089108910891,NA,26.1
"typeI_balance","same_imbalance",152,"ComBat",0.0248143564356436,NA,18.8
"typeI_balance","same_imbalance",152,"limma",0.0308787128712871,NA,17.8
"typeI_balance","same_imbalance",152,"RNABC",0.0270420792079208,NA,18.1
"typeI_balance","opp_imbalance",152,"MMR",0.0364480198019802,NA,18
"typeI_balance","opp_imbalance",152,"MNN",0.0400371287128713,NA,18.6
"typeI_balance","opp_imbalance",152,"ComBat_seq",0.0946782178217822,NA,25.2
"typeI_balance","opp_imbalance",152,"ComBat",0.0702351485148515,NA,17.6
"typeI_balance","opp_imbalance",152,"limma",0.0243193069306931,NA,16.6
"typeI_balance","opp_imbalance",152,"RNABC",0.0226485148514851,NA,18.7
"typeI_balance","half_imbalance",152,"MMR",0.0204207920792079,NA,17.2
"typeI_balance","half_imbalance",152,"MNN",0.0374381188118812,NA,16.8
"typeI_balance","half_imbalance",152,"ComBat_seq",0.011200495049505,NA,22
"typeI_balance","half_imbalance",152,"ComBat",0.0199876237623762,NA,19.2
"typeI_balance","half_imbalance",152,"limma",0.0264851485148515,NA,16.8
"typeI_balance","half_imbalance",152,"RNABC",0.021720297029703,NA,17.1
"power_size","5",152,"MMR",0.0790960451977401,0.3695,12.8
"power_size","5",152,"MNN",0.0516242937853107,0.1465,10
"power_size","5",152,"ComBat_seq",0.0501412429378531,0.2735,17.9
"power_size","5",152,"ComBat",0.0576271186440678,0.352,12.5
"power_size","5",152,"limma",0.0656779661016949,0.38,11.6
"power_size","5",152,"RNABC",0.0623587570621469,0.3895,11.6
"power_size","10",152,"MMR",0.0141949152542373,0.392,18.2
"power_size","10",152,"MNN",0.0431497175141243,0.207,19.4
"power_size","10",152,"ComBat_seq",0.0115819209039548,0.37,25.7
"power_size","10",152,"ComBat",0.0202683615819209,0.549,16.9
"power_size","10",152,"limma",0.0266242937853107,0.5815,16.5
"power_size","10",152,"RNABC",0.0236581920903955,0.589,18.4
"power_size","30",152,"MMR",0.0286723163841808,0.646,28.4
"power_size","30",152,"MNN",0.109675141242938,0.5135,30.5
"power_size","30",152,"ComBat_seq",0.0189265536723164,0.6975,46.8
"power_size","30",152,"ComBat",0.0298728813559322,0.801,29.3
"power_size","30",152,"limma",0.0427966101694915,0.8675,26.5
"power_size","30",152,"RNABC",0.061228813559322,0.844,27.8
"power_size","50",152,"MMR",0.0365112994350282,0.7425,36.8
"power_size","50",152,"MNN",0.127824858757062,0.7505,42.9
"power_size","50",152,"ComBat_seq",0.0288135593220339,0.7775,69.5
"power_size","50",152,"ComBat",0.0634887005649717,0.887,41.5
"power_size","50",152,"limma",0.0728813559322034,0.934,38.3
"power_size","50",152,"RNABC",0.0917372881355932,0.9225,38.3
"power_balance","balanced",152,"MMR",0.0366525423728814,0.7045,34.9
"power_balance","balanced",152,"MNN",0.116242937853107,0.733,40.8
"power_balance","balanced",152,"ComBat_seq",0.028954802259887,0.7525,69.9
"power_balance","balanced",152,"ComBat",0.0609463276836158,0.8765,42.2
"power_balance","balanced",152,"limma",0.0697033898305085,0.918,40.9
"power_balance","balanced",152,"RNABC",0.0779661016949153,0.916,38.5
"power_balance","same_imbalance",152,"MMR",0.154943502824859,0.6815,35.7
