"grid","level","seed","method","Type_I_error","Power","secs"
"typeI_balance","balanced",153,"XPN",0.0591584158415842,NA,105.6
"typeI_balance","same_imbalance",153,"XPN",0.141212871287129,NA,104.7
"typeI_balance","opp_imbalance",153,"XPN",0.0719678217821782,NA,104.9
"typeI_balance","half_imbalance",153,"XPN",0.104207920792079,NA,104.6
"power_size","5",153,"XPN",0.0358757062146893,0.234,77.1
"power_size","10",153,"XPN",0.0642655367231638,0.616,107.1
"power_size","30",153,"XPN",0.0211158192090395,0.882,195.4
"power_size","50",153,"XPN",0.124929378531073,0.915,275.6
"power_balance","balanced",153,"XPN",0.138912429378531,0.896,277.4
"power_balance","same_imbalance",153,"XPN",0.122104519774011,0.884,273.8
"power_balance","opp_imbalance",153,"XPN",0.140183615819209,0.86,268.9
"power_balance","half_imbalance",153,"XPN",0.187994350282486,0.885,285
"power_effect","0.3",153,"XPN",0.134322033898305,0.4995,291.2
"power_effect","0.5",153,"XPN",0.133545197740113,0.7005,291.1
"power_effect","0.7",153,"XPN",0.132838983050847,0.8185,290.3
"power_effect","1",153,"XPN",0.124929378531073,0.915,271.4
