"grid","level","seed","method","Type_I_error","Power","secs"
"typeI_balance","balanced",111,"MMR",0.0896658415841584,NA,18.8
"typeI_balance","balanced",111,"MNN",0.0428217821782178,NA,19.6
"typeI_balance","balanced",111,"ComBat_seq",0.054269801980198,NA,27
"typeI_balance","balanced",111,"ComBat",0.0850247524752475,NA,24.2
"typeI_balance","balanced",111,"limma",0.090779702970297,NA,16.9
"typeI_balance","balanced",111,"RNABC",0.091769801980198,NA,17.3
"typeI_balance","same_imbalance",111,"MMR",0.0633663366336634,NA,18.5
"typeI_balance","same_imbalance",111,"MNN",0.067450495049505,NA,17.7
"typeI_balance","same_imbalance",111,"ComBat_seq",0.0436881188118812,NA,27.8
"typeI_balance","same_imbalance",111,"ComBat",0.0696163366336634,NA,16.7
"typeI_balance","same_imbalance",111,"limma",0.072710396039604,NA,18.3
"typeI_balance","same_imbalance",111,"RNABC",0.0762376237623762,NA,17.5
"typeI_balance","opp_imbalance",111,"MMR",0.0273514851485149,NA,16.4
"typeI_balance","opp_imbalance",111,"MNN",0.0400371287128713,NA,16.7
"typeI_balance","opp_imbalance",111,"ComBat_seq",0.0516707920792079,NA,25.9
"typeI_balance","opp_imbalance",111,"ComBat",0.0600247524752475,NA,16.6
"typeI_balance","opp_imbalance",111,"limma",0.0226485148514851,NA,15.7
"typeI_balance","opp_imbalance",111,"RNABC",0.0152846534653465,NA,16
"typeI_balance","half_imbalance",111,"MMR",0.0742574257425743,NA,15.3
"typeI_balance","half_imbalance",111,"MNN",0.0754331683168317,NA,16.4
"typeI_balance","half_imbalance",111,"ComBat_seq",0.0588490099009901,NA,23
"typeI_balance","half_imbalance",111,"ComBat",0.0890470297029703,NA,14.9
"typeI_balance","half_imbalance",111,"limma",0.0918316831683168,NA,15.6
"typeI_balance","half_imbalance",111,"RNABC",0.0962252475247525,NA,17.7
"power_size","5",111,"MMR",0.00981638418079096,0.231,10.9
"power_size","5",111,"MNN",0.0372881355932203,0.117,7.3
"power_size","5",111,"ComBat_seq",0.00875706214689266,0.18,14.4
"power_size","5",111,"ComBat",0.0168079096045198,0.285,9.8
"power_size","5",111,"limma",0.024364406779661,0.316,9.8
"power_size","5",111,"RNABC",0.0199858757062147,0.3245,8
"power_size","10",111,"MMR",0.0786723163841808,0.4835,14.2
"power_size","10",111,"MNN",0.112782485875706,0.2765,13.3
"power_size","10",111,"ComBat_seq",0.0520480225988701,0.436,22.2
"power_size","10",111,"ComBat",0.089406779661017,0.585,14.6
"power_size","10",111,"limma",0.0959745762711864,0.629,14.3
"power_size","10",111,"RNABC",0.0975282485875706,0.599,15.1
"power_size","30",111,"MMR",0.0580508474576271,0.659,26.8
"power_size","30",111,"MNN",0.0586158192090395,0.58,25.9
"power_size","30",111,"ComBat_seq",0.0523305084745763,0.6875,45.8
"power_size","30",111,"ComBat",0.0873587570621469,0.7885,25.2
"power_size","30",111,"limma",0.0951977401129944,0.856,25.3
"power_size","30",111,"RNABC",0.0980225988700565,0.84,24.5
"power_size","50",111,"MMR",0.0161016949152542,0.7635,36.3
"power_size","50",111,"MNN",0.125423728813559,0.771,38.9
"power_size","50",111,"ComBat_seq",0.0168079096045198,0.7935,69.2
"power_size","50",111,"ComBat",0.0412429378531073,0.9,36.4
"power_size","50",111,"limma",0.0550847457627119,0.9395,36.2
"power_size","50",111,"RNABC",0.0603813559322034,0.934,39.3
"power_balance","balanced",111,"MMR",0.0162429378531073,0.7305,35.7
"power_balance","balanced",111,"MNN",0.0699152542372881,0.8345,38.3
"power_balance","balanced",111,"ComBat_seq",0.0168079096045198,0.77,65.7
"power_balance","balanced",111,"ComBat",0.0391949152542373,0.8875,33
"power_balance","balanced",111,"limma",0.0542372881355932,0.929,35.3
"power_balance","balanced",111,"RNABC",0.0490819209039548,0.927,35.9
"power_balance","same_imbalance",111,"MMR",0.0186440677966102,0.735,38.7
"power_balance","same_imbalance",111,"MNN",0.129237288135593,0.7995,38.5
"power_balance","same_imbalance",111,"ComBat_seq",0.0244350282485876,0.7555,64.8
"power_balance","same_imbalance",111,"ComBat",0.0375706214689266,0.876,34.3
"power_balance","same_imbalance",111,"limma",0.053954802259887,0.922,31.2
"power_balance","same_imbalance",111,"RNABC",0.0365112994350282,0.9235,30.7
"power_balance","opp_imbalance",111,"MMR",0.106850282485876,0.674,30.7
"power_balance","opp_imbalance",111,"MNN",0.268149717514124,0.759,33.6
"power_balance","opp_imbalance",111,"ComBat_seq",0.364124293785311,0.7525,60
"power_balance","opp_imbalance",111,"ComBat",0.225353107344633,0.8435,31.1
"power_balance","opp_imbalance",111,"limma",0.0576977401129943,0.915,30.9
"power_balance","opp_imbalance",111,"RNABC",0.0315677966101695,0.9165,31.8
"power_balance","half_imbalance",111,"MMR",0.0406779661016949,0.7295,29.5
"power_balance","half_imbalance",111,"MNN",0.276906779661017,0.7585,33.3
"power_balance","half_imbalance",111,"ComBat_seq",0.155720338983051,0.876,59.1
"power_balance","half_imbalance",111,"ComBat",0.0947033898305085,0.935,30.8
"power_balance","half_imbalance",111,"limma",0.054590395480226,0.9325,30.5
"power_balance","half_imbalance",111,"RNABC",0.0382062146892655,0.931,30.2
"power_effect","0.3",111,"MMR",0.016454802259887,0.311,29.1
"power_effect","0.3",111,"MNN",0.0300141242937853,0.212,31.9
"power_effect","0.3",111,"ComBat_seq",0.0167372881355932,0.295,58
"power_effect","0.3",111,"ComBat",0.0344632768361582,0.447,30.1
"power_effect","0.3",111,"limma",0.0481638418079096,0.465,30.1
"power_effect","0.3",111,"RNABC",0.0360875706214689,0.4665,29.6
"power_effect","0.5",111,"MMR",0.0167372881355932,0.4995,29.3
"power_effect","0.5",111,"MNN",0.0352401129943503,0.4445,32
"power_effect","0.5",111,"ComBat_seq",0.0168785310734463,0.527,56.7
"power_effect","0.5",111,"ComBat",0.0355225988700565,0.657,29.8
"power_effect","0.5",111,"limma",0.0492937853107345,0.703,29.8
"power_effect","0.5",111,"RNABC",0.0370056497175141,0.691,29.2
"power_effect","0.7",111,"MMR",0.016454802259887,0.645,28
"power_effect","0.7",111,"MNN",0.051271186440678,0.6885,32.8
"power_effect","0.7",111,"ComBat_seq",0.0170197740112994,0.6725,56.2
"power_effect","0.7",111,"ComBat",0.0373587570621469,0.795,29.3
"power_effect","0.7",111,"limma",0.0510593220338983,0.8435,29.7
"power_effect","0.7",111,"RNABC",0.044774011299435,0.8315,29
"power_effect","1",111,"MMR",0.0161016949152542,0.7635,27.9
"power_effect","1",111,"MNN",0.125423728813559,0.771,32.3
"power_effect","1",111,"ComBat_seq",0.0168079096045198,0.7935,56.7
"power_effect","1",111,"ComBat",0.0412429378531073,0.9,29.1
"power_effect","1",111,"limma",0.0550847457627119,0.9395,29.7
"power_effect","1",111,"RNABC",0.0603813559322034,0.934,28.9
