"grid","level","seed","method","Type_I_error","Power","secs"
"typeI_balance","balanced",194,"MMR",0.019740099009901,NA,25.7
"typeI_balance","balanced",194,"MNN",0.0284034653465347,NA,25.6
"typeI_balance","balanced",194,"ComBat_seq",0.00903465346534653,NA,28.4
"typeI_balance","balanced",194,"ComBat",0.0181311881188119,NA,23.6
"typeI_balance","balanced",194,"limma",0.0206683168316832,NA,18.3
"typeI_balance","balanced",194,"RNABC",0.0179455445544554,NA,19.4
"typeI_balance","same_imbalance",194,"MMR",0.0137376237623762,NA,19.7
"typeI_balance","same_imbalance",194,"MNN",0.0126856435643564,NA,19.8
"typeI_balance","same_imbalance",194,"ComBat_seq",0.00445544554455446,NA,25.9
"typeI_balance","same_imbalance",194,"ComBat",0.00965346534653465,NA,19.2
"typeI_balance","same_imbalance",194,"limma",0.0142326732673267,NA,19.3
"typeI_balance","same_imbalance",194,"RNABC",0.0100247524752475,NA,19.8
"typeI_balance","opp_imbalance",194,"MMR",0.0250618811881188,NA,17.5
"typeI_balance","opp_imbalance",194,"MNN",0.0171410891089109,NA,17
"typeI_balance","opp_imbalance",194,"ComBat_seq",0.0650990099009901,NA,23.5
"typeI_balance","opp_imbalance",194,"ComBat",0.0566831683168317,NA,18.6
"typeI_balance","opp_imbalance",194,"limma",0.0204207920792079,NA,18
"typeI_balance","opp_imbalance",194,"RNABC",0.0173886138613861,NA,18.4
"typeI_balance","half_imbalance",194,"MMR",0.0145420792079208,NA,17.1
"typeI_balance","half_imbalance",194,"MNN",0.0275371287128713,NA,17.8
"typeI_balance","half_imbalance",194,"ComBat_seq",0.00643564356435644,NA,22.1
"typeI_balance","half_imbalance",194,"ComBat",0.0113861386138614,NA,18.3
"typeI_balance","half_imbalance",194,"limma",0.0151608910891089,NA,18.6
"typeI_balance","half_imbalance",194,"RNABC",0.011509900990099,NA,16.9
"power_size","5",194,"MMR",0.0996468926553672,0.3875,12.5
"power_size","5",194,"MNN",0.105932203389831,0.206,8.7
"power_size","5",194,"ComBat_seq",0.0699152542372881,0.3285,16.9
"power_size","5",194,"ComBat",0.106709039548023,0.441,12.2
"power_size","5",194,"limma",0.11475988700565,0.4705,13.1
"power_size","5",194,"RNABC",0.130790960451977,0.4415,10.4
"power_size","10",194,"MMR",0.0114406779661017,0.4175,18.8
"power_size","10",194,"MNN",0.0353813559322034,0.2535,19.1
"power_size","10",194,"ComBat_seq",0.00847457627118644,0.3585,25.7
"power_size","10",194,"ComBat",0.0194209039548023,0.549,16.4
"power_size","10",194,"limma",0.0223870056497175,0.5895,17.7
"power_size","10",194,"RNABC",0.0186440677966102,0.558,17.2
"power_size","30",194,"MMR",0.125423728813559,0.6465,30.2
"power_size","30",194,"MNN",0.0769067796610169,0.615,28.8
"power_size","30",194,"ComBat_seq",0.0723870056497175,0.6615,44.9
"power_size","30",194,"ComBat",0.0956214689265537,0.7755,26.5
"power_size","30",194,"limma",0.107768361581921,0.8445,26.9
"power_size","30",194,"RNABC",0.115324858757062,0.8205,25.3
"power_size","50",194,"MMR",0.00550847457627119,0.7835,37.1
"power_size","50",194,"MNN",0.0321327683615819,0.861,40.3
"power_size","50",194,"ComBat_seq",0.00649717514124294,0.823,70.5
"power_size","50",194,"ComBat",0.018361581920904,0.907,38.4
"power_size","50",194,"limma",0.0261299435028249,0.962,36.9
"power_size","50",194,"RNABC",0.0297316384180791,0.9525,36.6
"power_balance","balanced",194,"MMR",0.00572033898305085,0.75,35.4
"power_balance","balanced",194,"MNN",0.0194915254237288,0.8785,40.8
"power_balance","balanced",194,"ComBat_seq",0.00656779661016949,0.8035,70.4
"power_balance","balanced",194,"ComBat",0.0174435028248588,0.899,39.8
"power_balance","balanced",194,"limma",0.0252118644067797,0.9545,41.2
"power_balance","balanced",194,"RNABC",0.0207627118644068,0.9445,37
"power_balance","same_imbalance",194,"MMR",0.00826271186440678,0.739,38.2
"power_balance","same_imbalance",194,"MNN",0.0149011299435028,0.8745,38.1
"power_balance","same_imbalance",194,"ComBat_seq",0.00713276836158192,0.7955,61.4
"power_balance","same_imbalance",194,"ComBat",0.0182909604519774,0.8775,35
"power_balance","same_imbalance",194,"limma",0.0253531073446328,0.9345,31.9
"power_balance","same_imbalance",194,"RNABC",0.0286723163841808,0.9295,33.2
"power_balance","opp_imbalance",194,"MMR",0.100141242937853,0.6655,31.5
"power_balance","opp_imbalance",194,"MNN",0.285522598870056,0.6895,35.5
"power_balance","opp_imbalance",194,"ComBat_seq",0.35430790960452,0.7685,64.6
"power_balance","opp_imbalance",194,"ComBat",0.216454802259887,0.8555,31.6
"power_balance","opp_imbalance",194,"limma",0.0339689265536723,0.931,31.3
"power_balance","opp_imbalance",194,"RNABC",0.0286016949152542,0.9195,33.2
"power_balance","half_imbalance",194,"MMR",0.0295197740112994,0.738,32.3
"power_balance","half_imbalance",194,"MNN",0.0482344632768362,0.8445,34.1
"power_balance","half_imbalance",194,"ComBat_seq",0.162146892655367,0.9115,59.3
"power_balance","half_imbalance",194,"ComBat",0.0717514124293785,0.947,32.8
