"grid","level","seed","method","Type_I_error","Power","secs"
"typeI_balance","balanced",162,"MMR",0.0359529702970297,NA,21.3
"typeI_balance","balanced",162,"MNN",0.0399752475247525,NA,24.4
"typeI_balance","balanced",162,"ComBat_seq",0.0281559405940594,NA,29.2
"typeI_balance","balanced",162,"ComBat",0.0586633663366337,NA,25.7
"typeI_balance","balanced",162,"limma",0.0620049504950495,NA,20.8
"typeI_balance","balanced",162,"RNABC",0.0613242574257426,NA,23.3
"typeI_balance","same_imbalance",162,"MMR",0.0442450495049505,NA,20.9
"typeI_balance","same_imbalance",162,"MNN",0.0623143564356436,NA,23.6
"typeI_balance","same_imbalance",162,"ComBat_seq",0.0311262376237624,NA,29.5
"typeI_balance","same_imbalance",162,"ComBat",0.064480198019802,NA,23.1
"typeI_balance","same_imbalance",162,"limma",0.0732054455445545,NA,20.8
"typeI_balance","same_imbalance",162,"RNABC",0.0662747524752475,NA,22.2
"typeI_balance","opp_imbalance",162,"MMR",0.0579207920792079,NA,20.6
"typeI_balance","opp_imbalance",162,"MNN",0.0932549504950495,NA,21.7
"typeI_balance","opp_imbalance",162,"ComBat_seq",0.106868811881188,NA,29.4
"typeI_balance","opp_imbalance",162,"ComBat",0.109344059405941,NA,21.7
"typeI_balance","opp_imbalance",162,"limma",0.0694925742574257,NA,20.7
"typeI_balance","opp_imbalance",162,"RNABC",0.0678836633663366,NA,22.4
"typeI_balance","half_imbalance",162,"MMR",0.0375,NA,19.4
"typeI_balance","half_imbalance",162,"MNN",0.0330445544554455,NA,20.3
"typeI_balance","half_imbalance",162,"ComBat_seq",0.025990099009901,NA,28.3
"typeI_balance","half_imbalance",162,"ComBat",0.0439975247524752,NA,22.8
"typeI_balance","half_imbalance",162,"limma",0.0519183168316832,NA,18.9
"typeI_balance","half_imbalance",162,"RNABC",0.0441831683168317,NA,21.3
"power_size","5",162,"MMR",0.0123587570621469,0.3025,15.3
"power_size","5",162,"MNN",0.0321327683615819,0.096,12.8
"power_size","5",162,"ComBat_seq",0.0127824858757062,0.248,23
"power_size","5",162,"ComBat",0.0239406779661017,0.3375,15.6
"power_size","5",162,"limma",0.0324858757062147,0.3625,14.7
"power_size","5",162,"RNABC",0.0283898305084746,0.3575,13.6
"power_size","10",162,"MMR",0.0213276836158192,0.4315,21.1
"power_size","10",162,"MNN",0.0321327683615819,0.2585,20.9
"power_size","10",162,"ComBat_seq",0.0267655367231638,0.3945,28.3
