"grid","level","seed","method","Type_I_error","Power","secs"
"typeI_balance","balanced",159,"ComBat_seq",0.0211633663366337,NA,30.7
"typeI_balance","same_imbalance",159,"ComBat_seq",0.0347772277227723,NA,28.6
"typeI_balance","opp_imbalance",159,"ComBat_seq",0.141893564356436,NA,28.9
"typeI_balance","half_imbalance",159,"ComBat_seq",0.0311262376237624,NA,28.9
"power_size","5",159,"ComBat_seq",0.0474576271186441,0.2735,19.5
"power_size","10",159,"ComBat_seq",0.0200564971751412,0.477,28.5
"power_size","30",159,"ComBat_seq",0.0235875706214689,0.721,62.1
"power_size","50",159,"ComBat_seq",0.0323446327683616,0.8095,96.3
"power_balance","balanced",159,"ComBat_seq",0.0321327683615819,0.791,92.9
"power_balance","same_imbalance",159,"ComBat_seq",0.00953389830508475,0.7975,92.2
"power_balance","opp_imbalance",159,"ComBat_seq",0.359533898305085,0.7375,92.1
"power_balance","half_imbalance",159,"ComBat_seq",0.150776836158192,0.9005,91.4
"power_effect","0.3",159,"ComBat_seq",0.0315677966101695,0.355,92.4
"power_effect","0.5",159,"ComBat_seq",0.0319209039548023,0.5975,94.2
"power_effect","0.7",159,"ComBat_seq",0.0318502824858757,0.7115,93
"power_effect","1",159,"ComBat_seq",0.0323446327683616,0.8095,92.9
