"grid","level","seed","method","Type_I_error","Power","secs"
"typeI_balance","balanced",177,"XPN",0.0480816831683168,NA,100.6
"typeI_balance","same_imbalance",177,"XPN",0.0769183168316832,NA,100.1
"typeI_balance","opp_imbalance",177,"XPN",0.0287128712871287,NA,99.9
"typeI_balance","half_imbalance",177,"XPN",0.0817450495049505,NA,99.9
"power_size","5",177,"XPN",0.0278248587570621,0.3305,75.3
"power_size","10",177,"XPN",0.0569915254237288,0.577,101.1
"power_size","30",177,"XPN",0.0605225988700565,0.854,182.9
"power_size","50",177,"XPN",0.0187853107344633,0.9475,288.9
"power_balance","balanced",177,"XPN",0.0192796610169492,0.9385,282.1
"power_balance","same_imbalance",177,"XPN",0.0557203389830509,0.906,252.9
"power_balance","opp_imbalance",177,"XPN",0.0253531073446328,0.9065,278.6
"power_balance","half_imbalance",177,"XPN",0.0494350282485876,0.922,273.8
"power_effect","0.3",177,"XPN",0.0201271186440678,0.3975,274.7
"power_effect","0.5",177,"XPN",0.0206920903954802,0.6615,272.3
"power_effect","0.7",177,"XPN",0.0188559322033898,0.8435,280
"power_effect","1",177,"XPN",0.0187853107344633,0.9475,288.9
