"grid","level","seed","method","Type_I_error","Power","secs"
"typeI_balance","balanced",190,"MMR",0.0226485148514851,NA,20.4
"typeI_balance","balanced",190,"MNN",0.0497524752475248,NA,23.1
"typeI_balance","balanced",190,"ComBat_seq",0.010210396039604,NA,30.4
"typeI_balance","balanced",190,"ComBat",0.0202970297029703,NA,25.5
"typeI_balance","balanced",190,"limma",0.026980198019802,NA,20.3
"typeI_balance","balanced",190,"RNABC",0.0219059405940594,NA,21.7
"typeI_balance","same_imbalance",190,"MMR",0.0193688118811881,NA,19.3
"typeI_balance","same_imbalance",190,"MNN",0.00959158415841584,NA,21.8
"typeI_balance","same_imbalance",190,"ComBat_seq",0.011509900990099,NA,30.2
"typeI_balance","same_imbalance",190,"ComBat",0.0165841584158416,NA,22.8
"typeI_balance","same_imbalance",190,"limma",0.017759900990099,NA,20.1
"typeI_balance","same_imbalance",190,"RNABC",0.0175742574257426,NA,21
"typeI_balance","opp_imbalance",190,"MMR",0.0709158415841584,NA,19.6
"typeI_balance","opp_imbalance",190,"MNN",0.060210396039604,NA,20.6
"typeI_balance","opp_imbalance",190,"ComBat_seq",0.0993811881188119,NA,27.2
"typeI_balance","opp_imbalance",190,"ComBat",0.0795792079207921,NA,21
"typeI_balance","opp_imbalance",190,"limma",0.0399133663366337,NA,19
"typeI_balance","opp_imbalance",190,"RNABC",0.0372524752475248,NA,20.5
"typeI_balance","half_imbalance",190,"MMR",0.0314975247524752,NA,21.9
"typeI_balance","half_imbalance",190,"MNN",0.0399133663366337,NA,20
"typeI_balance","half_imbalance",190,"ComBat_seq",0.0157178217821782,NA,26.5
"typeI_balance","half_imbalance",190,"ComBat",0.0258044554455446,NA,21.3
"typeI_balance","half_imbalance",190,"limma",0.0317450495049505,NA,21.2
"typeI_balance","half_imbalance",190,"RNABC",0.0298267326732673,NA,21.3
"power_size","5",190,"MMR",0.214477401129944,0.4265,14.5
"power_size","5",190,"MNN",0.0530367231638418,0.143,13.9
"power_size","5",190,"ComBat_seq",0.109533898305085,0.3545,17.7
"power_size","5",190,"ComBat",0.112429378531073,0.371,14.4
"power_size","5",190,"limma",0.12316384180791,0.394,13.7
"power_size","5",190,"RNABC",0.145056497175141,0.447,14.4
"power_size","10",190,"MMR",0.00769774011299435,0.4015,20.8
