"grid","level","seed","method","Type_I_error","Power","secs"
"typeI_balance","balanced",152,"ComBat",0.0196782178217822,NA,21.4
"typeI_balance","balanced",152,"ComBat_noQN",0.0147277227722772,NA,19.2
"typeI_balance","balanced",152,"limma",0.0245049504950495,NA,18.7
"typeI_balance","balanced",152,"limma_noQN",0.0192450495049505,NA,18.5
"typeI_balance","same_imbalance",152,"ComBat",0.0248143564356436,NA,19.2
"typeI_balance","same_imbalance",152,"ComBat_noQN",0.0172029702970297,NA,18.9
"typeI_balance","same_imbalance",152,"limma",0.0308787128712871,NA,18.6
"typeI_balance","same_imbalance",152,"limma_noQN",0.023019801980198,NA,18
"typeI_balance","opp_imbalance",152,"ComBat",0.0702351485148515,NA,19.3
"typeI_balance","opp_imbalance",152,"ComBat_noQN",0.0753712871287129,NA,18.9
"typeI_balance","opp_imbalance",152,"limma",0.0243193069306931,NA,18.1
"typeI_balance","opp_imbalance",152,"limma_noQN",0.0201113861386139,NA,18.3
"typeI_balance","half_imbalance",152,"ComBat",0.0199876237623762,NA,19
"typeI_balance","half_imbalance",152,"ComBat_noQN",0.0144183168316832,NA,18.3
"typeI_balance","half_imbalance",152,"limma",0.0264851485148515,NA,18.6
"typeI_balance","half_imbalance",152,"limma_noQN",0.0183787128712871,NA,17.9
"power_size","5",152,"ComBat",0.0576271186440678,0.352,12.8
"power_size","5",152,"ComBat_noQN",0.0707627118644068,0.363,14.5
"power_size","5",152,"limma",0.0656779661016949,0.38,12.1
"power_size","5",152,"limma_noQN",0.0790960451977401,0.394,13.6
"power_size","10",152,"ComBat",0.0202683615819209,0.549,17.5
"power_size","10",152,"ComBat_noQN",0.0146186440677966,0.496,18.4
"power_size","10",152,"limma",0.0266242937853107,0.5815,16.9
"power_size","10",152,"limma_noQN",0.0194209039548023,0.518,17.8
"power_size","30",152,"ComBat",0.0298728813559322,0.801,34.5
"power_size","30",152,"ComBat_noQN",0.0250706214689266,0.7915,33.1
"power_size","30",152,"limma",0.0427966101694915,0.8675,33.3
"power_size","30",152,"limma_noQN",0.0351694915254237,0.8475,31.6
"power_size","50",152,"ComBat",0.0634887005649717,0.887,51.1
"power_size","50",152,"ComBat_noQN",0.0538841807909605,0.8735,47.8
"power_size","50",152,"limma",0.0728813559322034,0.934,48.5
"power_size","50",152,"limma_noQN",0.0596045197740113,0.9155,46.8
"power_balance","balanced",152,"ComBat",0.0609463276836158,0.8765,50.1
"power_balance","balanced",152,"ComBat_noQN",0.0537429378531073,0.855,47.8
"power_balance","balanced",152,"limma",0.0697033898305085,0.918,46.7
"power_balance","balanced",152,"limma_noQN",0.0596045197740113,0.891,45.1
"power_balance","same_imbalance",152,"ComBat",0.115042372881356,0.8445,48.7
"power_balance","same_imbalance",152,"ComBat_noQN",0.13319209039548,0.8005,46.3
"power_balance","same_imbalance",152,"limma",0.132415254237288,0.8955,48.5
"power_balance","same_imbalance",152,"limma_noQN",0.15635593220339,0.8475,46.1
"power_balance","opp_imbalance",152,"ComBat",0.292514124293785,0.826,49.8
"power_balance","opp_imbalance",152,"ComBat_noQN",0.289689265536723,0.7955,47.6
"power_balance","opp_imbalance",152,"limma",0.122810734463277,0.8915,48.2
"power_balance","opp_imbalance",152,"limma_noQN",0.130367231638418,0.8475,46.6
"power_balance","half_imbalance",152,"ComBat",0.146468926553672,0.906,50.2
"power_balance","half_imbalance",152,"ComBat_noQN",0.164901129943503,0.8765,46.9
"power_balance","half_imbalance",152,"limma",0.107768361581921,0.9,48.5
"power_balance","half_imbalance",152,"limma_noQN",0.123093220338983,0.8585,44.5
"power_effect","0.3",152,"ComBat",0.0527542372881356,0.453,48.1
"power_effect","0.3",152,"ComBat_noQN",0.0537429378531073,0.41,46.2
"power_effect","0.3",152,"limma",0.0588276836158192,0.4705,46.6
"power_effect","0.3",152,"limma_noQN",0.0596045197740113,0.4215,46.7
"power_effect","0.5",152,"ComBat",0.0551553672316384,0.6575,49.5
"power_effect","0.5",152,"ComBat_noQN",0.0538135593220339,0.6095,47.4
"power_effect","0.5",152,"limma",0.0625706214689266,0.6955,48.9
"power_effect","0.5",152,"limma_noQN",0.0596045197740113,0.64,46.2
"power_effect","0.7",152,"ComBat",0.0591101694915254,0.7725,50.5
"power_effect","0.7",152,"ComBat_noQN",0.0538841807909605,0.738,47
"power_effect","0.7",152,"limma",0.0671610169491525,0.8295,48.8
"power_effect","0.7",152,"limma_noQN",0.0596045197740113,0.786,46.3
"power_effect","1",152,"ComBat",0.0634887005649717,0.887,48.7
"power_effect","1",152,"ComBat_noQN",0.0538841807909605,0.8735,46
"power_effect","1",152,"limma",0.0728813559322034,0.934,47.4
"power_effect","1",152,"limma_noQN",0.0596045197740113,0.9155,45.1
