"grid","level","seed","method","Type_I_error","Power","secs"
"typeI_balance","balanced",158,"ComBat",0.0226485148514851,NA,22.7
"typeI_balance","balanced",158,"ComBat_noQN",0.0209777227722772,NA,19.1
"typeI_balance","balanced",158,"limma",0.0330445544554455,NA,19.1
"typeI_balance","balanced",158,"limma_noQN",0.0291460396039604,NA,18.8
"typeI_balance","same_imbalance",158,"ComBat",0.0597772277227723,NA,19.3
"typeI_balance","same_imbalance",158,"ComBat_noQN",0.0581683168316832,NA,19.3
"typeI_balance","same_imbalance",158,"limma",0.0649133663366337,NA,18.9
"typeI_balance","same_imbalance",158,"limma_noQN",0.0648514851485149,NA,18.1
"typeI_balance","opp_imbalance",158,"ComBat",0.103403465346535,NA,19.6
"typeI_balance","opp_imbalance",158,"ComBat_noQN",0.101980198019802,NA,18.7
"typeI_balance","opp_imbalance",158,"limma",0.0555693069306931,NA,19
"typeI_balance","opp_imbalance",158,"limma_noQN",0.0425742574257426,NA,18.2
"typeI_balance","half_imbalance",158,"ComBat",0.0643564356435644,NA,19.1
"typeI_balance","half_imbalance",158,"ComBat_noQN",0.0616955445544554,NA,19.2
"typeI_balance","half_imbalance",158,"limma",0.0741336633663366,NA,18.8
"typeI_balance","half_imbalance",158,"limma_noQN",0.0698638613861386,NA,18.2
"power_size","5",158,"ComBat",0.0338276836158192,0.4125,13.4
"power_size","5",158,"ComBat_noQN",0.0331214689265537,0.3485,14.8
"power_size","5",158,"limma",0.0421610169491525,0.431,12.5
"power_size","5",158,"limma_noQN",0.0437853107344633,0.375,13.8
"power_size","10",158,"ComBat",0.0237994350282486,0.554,17.8
"power_size","10",158,"ComBat_noQN",0.0205508474576271,0.503,19.2
"power_size","10",158,"limma",0.0344632768361582,0.5865,16.8
"power_size","10",158,"limma_noQN",0.0293785310734463,0.5335,18.5
"power_size","30",158,"ComBat",0.0151129943502825,0.8185,34
"power_size","30",158,"ComBat_noQN",0.0111581920903955,0.816,32.1
"power_size","30",158,"limma",0.0249293785310734,0.885,33
"power_size","30",158,"limma_noQN",0.019138418079096,0.888,32.1
"power_size","50",158,"ComBat",0.0957627118644068,0.8505,50.4
"power_size","50",158,"ComBat_noQN",0.0946327683615819,0.85,47.8
"power_size","50",158,"limma",0.101694915254237,0.903,49
"power_size","50",158,"limma_noQN",0.103460451977401,0.8845,46.2
"power_balance","balanced",158,"ComBat",0.0944915254237288,0.838,49.5
"power_balance","balanced",158,"ComBat_noQN",0.0948446327683616,0.835,48
"power_balance","balanced",158,"limma",0.101483050847458,0.8845,49.1
"power_balance","balanced",158,"limma_noQN",0.103460451977401,0.865,46.6
"power_balance","same_imbalance",158,"ComBat",0.116878531073446,0.8365,49.7
"power_balance","same_imbalance",158,"ComBat_noQN",0.107838983050847,0.8305,47.4
"power_balance","same_imbalance",158,"limma",0.121398305084746,0.8895,47.9
"power_balance","same_imbalance",158,"limma_noQN",0.111864406779661,0.876,46
"power_balance","opp_imbalance",158,"ComBat",0.227118644067797,0.8305,48.7
"power_balance","opp_imbalance",158,"ComBat_noQN",0.224152542372881,0.8185,46.5
"power_balance","opp_imbalance",158,"limma",0.0490819209039548,0.9,48.4
"power_balance","opp_imbalance",158,"limma_noQN",0.0483050847457627,0.882,46.1
"power_balance","half_imbalance",158,"ComBat",0.115677966101695,0.9115,50.9
"power_balance","half_imbalance",158,"ComBat_noQN",0.133474576271186,0.906,47.6
"power_balance","half_imbalance",158,"limma",0.0760593220338983,0.9065,49.9
"power_balance","half_imbalance",158,"limma_noQN",0.0626412429378531,0.8925,47.4
"power_effect","0.3",158,"ComBat",0.0945621468926554,0.442,51
"power_effect","0.3",158,"ComBat_noQN",0.0948446327683616,0.433,47.4
"power_effect","0.3",158,"limma",0.0990819209039548,0.451,48.9
"power_effect","0.3",158,"limma_noQN",0.103460451977401,0.45,45.2
"power_effect","0.5",158,"ComBat",0.0934322033898305,0.6265,47.8
"power_effect","0.5",158,"ComBat_noQN",0.0948446327683616,0.612,46
"power_effect","0.5",158,"limma",0.0978813559322034,0.67,46.7
"power_effect","0.5",158,"limma_noQN",0.103460451977401,0.651,44.4
"power_effect","0.7",158,"ComBat",0.0939971751412429,0.7425,48
"power_effect","0.7",158,"ComBat_noQN",0.0946327683615819,0.725,44.8
"power_effect","0.7",158,"limma",0.0984463276836158,0.8005,46.1
"power_effect","0.7",158,"limma_noQN",0.103460451977401,0.7735,43.8
"power_effect","1",158,"ComBat",0.0957627118644068,0.8505,46.5
"power_effect","1",158,"ComBat_noQN",0.0946327683615819,0.85,44.6
"power_effect","1",158,"limma",0.101694915254237,0.903,45.6
"power_effect","1",158,"limma_noQN",0.103460451977401,0.8845,43.4
