"grid","level","seed","method","Type_I_error","Power","secs"
"typeI_balance","balanced",154,"ComBat",0.0316212871287129,NA,22.4
"typeI_balance","balanced",154,"ComBat_noQN",0.0275371287128713,NA,20.4
"typeI_balance","balanced",154,"limma",0.0564356435643564,NA,20
"typeI_balance","balanced",154,"limma_noQN",0.0503712871287129,NA,19.6
"typeI_balance","same_imbalance",154,"ComBat",0.0241336633663366,NA,20.6
"typeI_balance","same_imbalance",154,"ComBat_noQN",0.0211633663366337,NA,19.9
"typeI_balance","same_imbalance",154,"limma",0.0413985148514852,NA,18.9
"typeI_balance","same_imbalance",154,"limma_noQN",0.0390470297029703,NA,19.3
"typeI_balance","opp_imbalance",154,"ComBat",0.0858292079207921,NA,20.4
"typeI_balance","opp_imbalance",154,"ComBat_noQN",0.0973391089108911,NA,20.1
"typeI_balance","opp_imbalance",154,"limma",0.0396039603960396,NA,18.8
"typeI_balance","opp_imbalance",154,"limma_noQN",0.0373143564356436,NA,20.1
"typeI_balance","half_imbalance",154,"ComBat",0.0391707920792079,NA,22
"typeI_balance","half_imbalance",154,"ComBat_noQN",0.0347153465346535,NA,20.9
"typeI_balance","half_imbalance",154,"limma",0.064789603960396,NA,19.8
"typeI_balance","half_imbalance",154,"limma_noQN",0.0612623762376238,NA,19.4
"power_size","5",154,"ComBat",0.0519067796610169,0.36,14.2
"power_size","5",154,"ComBat_noQN",0.0520480225988701,0.337,15.8
"power_size","5",154,"limma",0.0800847457627119,0.39,13.3
"power_size","5",154,"limma_noQN",0.0772598870056497,0.354,15.1
"power_size","10",154,"ComBat",0.0328389830508475,0.51,20.3
"power_size","10",154,"ComBat_noQN",0.0269774011299435,0.48,19.9
"power_size","10",154,"limma",0.0609463276836158,0.548,19.3
"power_size","10",154,"limma_noQN",0.0521892655367232,0.5135,19.2
"power_size","30",154,"ComBat",0.0275423728813559,0.7765,35.6
"power_size","30",154,"ComBat_noQN",0.0214689265536723,0.7635,34.6
"power_size","30",154,"limma",0.0377118644067797,0.8475,34.4
"power_size","30",154,"limma_noQN",0.0286016949152542,0.8335,33.8
"power_size","50",154,"ComBat",0.0278954802259887,0.8995,52.8
"power_size","50",154,"ComBat_noQN",0.0354519774011299,0.8995,49.7
"power_size","50",154,"limma",0.0427966101694915,0.9485,51.9
"power_size","50",154,"limma_noQN",0.0536016949152542,0.9405,48
"power_balance","balanced",154,"ComBat",0.0273305084745763,0.887,51.5
"power_balance","balanced",154,"ComBat_noQN",0.0354519774011299,0.889,50.2
"power_balance","balanced",154,"limma",0.0425847457627119,0.937,51.2
"power_balance","balanced",154,"limma_noQN",0.0536016949152542,0.9275,48.5
"power_balance","same_imbalance",154,"ComBat",0.0304378531073446,0.862,52
"power_balance","same_imbalance",154,"ComBat_noQN",0.0239406779661017,0.861,50.1
"power_balance","same_imbalance",154,"limma",0.0372881355932203,0.924,50.4
"power_balance","same_imbalance",154,"limma_noQN",0.0295197740112994,0.9115,49.4
"power_balance","opp_imbalance",154,"ComBat",0.205155367231638,0.8505,52.3
"power_balance","opp_imbalance",154,"ComBat_noQN",0.20430790960452,0.838,49.9
"power_balance","opp_imbalance",154,"limma",0.027683615819209,0.9175,51.2
"power_balance","opp_imbalance",154,"limma_noQN",0.0269774011299435,0.908,47.8
"power_balance","half_imbalance",154,"ComBat",0.0987994350282486,0.9315,51.4
"power_balance","half_imbalance",154,"ComBat_noQN",0.154378531073446,0.928,49.8
"power_balance","half_imbalance",154,"limma",0.0531779661016949,0.9295,50.5
"power_balance","half_imbalance",154,"limma_noQN",0.0522598870056497,0.9235,48.1
"power_effect","0.3",154,"ComBat",0.0249293785310734,0.434,51.6
"power_effect","0.3",154,"ComBat_noQN",0.0354519774011299,0.3765,48.5
"power_effect","0.3",154,"limma",0.0399011299435028,0.4465,50.5
"power_effect","0.3",154,"limma_noQN",0.0536016949152542,0.395,50
"power_effect","0.5",154,"ComBat",0.0251412429378531,0.659,51.5
"power_effect","0.5",154,"ComBat_noQN",0.0354519774011299,0.6185,49.9
"power_effect","0.5",154,"limma",0.0406779661016949,0.6975,50.5
"power_effect","0.5",154,"limma_noQN",0.0536016949152542,0.656,47.7
"power_effect","0.7",154,"ComBat",0.0258474576271186,0.788,51.7
"power_effect","0.7",154,"ComBat_noQN",0.0353813559322034,0.77,48.5
"power_effect","0.7",154,"limma",0.0413841807909604,0.845,50.5
"power_effect","0.7",154,"limma_noQN",0.0536016949152542,0.827,48.2
"power_effect","1",154,"ComBat",0.0278954802259887,0.8995,51.7
"power_effect","1",154,"ComBat_noQN",0.0354519774011299,0.8995,48.5
"power_effect","1",154,"limma",0.0427966101694915,0.9485,50.1
"power_effect","1",154,"limma_noQN",0.0536016949152542,0.9405,48.9
