"grid","level","seed","method","Type_I_error","Power","secs"
"typeI_balance","balanced",116,"ComBat",0.0378094059405941,NA,23.1
"typeI_balance","balanced",116,"ComBat_noQN",0.0295792079207921,NA,20.7
"typeI_balance","balanced",116,"limma",0.0501856435643564,NA,20.9
"typeI_balance","balanced",116,"limma_noQN",0.0385519801980198,NA,20.4
"typeI_balance","same_imbalance",116,"ComBat",0.028960396039604,NA,22.2
"typeI_balance","same_imbalance",116,"ComBat_noQN",0.021720297029703,NA,20.8
"typeI_balance","same_imbalance",116,"limma",0.0337252475247525,NA,20.4
"typeI_balance","same_imbalance",116,"limma_noQN",0.0251856435643564,NA,21
"typeI_balance","opp_imbalance",116,"ComBat",0.0617574257425743,NA,21.7
"typeI_balance","opp_imbalance",116,"ComBat_noQN",0.0587871287128713,NA,20.7
"typeI_balance","opp_imbalance",116,"limma",0.0218440594059406,NA,19.9
"typeI_balance","opp_imbalance",116,"limma_noQN",0.0176361386138614,NA,21.3
"typeI_balance","half_imbalance",116,"ComBat",0.040779702970297,NA,22.6
"typeI_balance","half_imbalance",116,"ComBat_noQN",0.0303836633663366,NA,21.2
"typeI_balance","half_imbalance",116,"limma",0.0530940594059406,NA,20.8
"typeI_balance","half_imbalance",116,"limma_noQN",0.0412128712871287,NA,21.9
"power_size","5",116,"ComBat",0.0576271186440678,0.4295,15.9
"power_size","5",116,"ComBat_noQN",0.0687853107344633,0.386,15.6
"power_size","5",116,"limma",0.0640536723163842,0.4635,15.2
"power_size","5",116,"limma_noQN",0.0786016949152542,0.422,14.9
"power_size","10",116,"ComBat",0.0411723163841808,0.5385,21.4
"power_size","10",116,"ComBat_noQN",0.0288841807909605,0.5035,21.5
"power_size","10",116,"limma",0.0554378531073446,0.5775,20.7
"power_size","10",116,"limma_noQN",0.0390536723163842,0.536,20.2
"power_size","30",116,"ComBat",0.0163135593220339,0.802,39
"power_size","30",116,"ComBat_noQN",0.0163135593220339,0.7895,36.4
"power_size","30",116,"limma",0.0233050847457627,0.869,36.2
"power_size","30",116,"limma_noQN",0.0214689265536723,0.8515,35.8
"power_size","50",116,"ComBat",0.0403954802259887,0.872,56.4
"power_size","50",116,"ComBat_noQN",0.0408898305084746,0.8735,53.2
"power_size","50",116,"limma",0.0484463276836158,0.921,53.3
"power_size","50",116,"limma_noQN",0.050635593220339,0.91,50.3
"power_balance","balanced",116,"ComBat",0.0398305084745763,0.8565,54.9
"power_balance","balanced",116,"ComBat_noQN",0.0410310734463277,0.857,52.1
"power_balance","balanced",116,"limma",0.0468220338983051,0.907,52.5
"power_balance","balanced",116,"limma_noQN",0.050635593220339,0.89,49.6
"power_balance","same_imbalance",116,"ComBat",0.0146892655367232,0.87,54.6
"power_balance","same_imbalance",116,"ComBat_noQN",0.0142655367231638,0.869,52.7
"power_balance","same_imbalance",116,"limma",0.0259887005649717,0.9215,53
"power_balance","same_imbalance",116,"limma_noQN",0.0215395480225989,0.918,50.8
"power_balance","opp_imbalance",116,"ComBat",0.250070621468927,0.8125,53.9
"power_balance","opp_imbalance",116,"ComBat_noQN",0.23954802259887,0.807,52.5
"power_balance","opp_imbalance",116,"limma",0.0709745762711864,0.878,53.5
"power_balance","opp_imbalance",116,"limma_noQN",0.0604519774011299,0.8605,51.2
"power_balance","half_imbalance",116,"ComBat",0.0668785310734463,0.9385,54.6
"power_balance","half_imbalance",116,"ComBat_noQN",0.0925141242937853,0.931,51.1
"power_balance","half_imbalance",116,"limma",0.023728813559322,0.9335,53.3
"power_balance","half_imbalance",116,"limma_noQN",0.0197033898305085,0.9215,50.8
"power_effect","0.3",116,"ComBat",0.0352401129943503,0.441,55.1
"power_effect","0.3",116,"ComBat_noQN",0.0411016949152542,0.43,52.5
"power_effect","0.3",116,"limma",0.0415254237288136,0.457,53.4
"power_effect","0.3",116,"limma_noQN",0.050635593220339,0.444,50.7
"power_effect","0.5",116,"ComBat",0.0359463276836158,0.642,54.9
"power_effect","0.5",116,"ComBat_noQN",0.0409604519774011,0.611,52.4
"power_effect","0.5",116,"limma",0.042725988700565,0.6835,52.8
"power_effect","0.5",116,"limma_noQN",0.050635593220339,0.648,51.1
"power_effect","0.7",116,"ComBat",0.036864406779661,0.763,55.1
"power_effect","0.7",116,"ComBat_noQN",0.0409604519774011,0.749,52.6
"power_effect","0.7",116,"limma",0.0442090395480226,0.8235,53.5
"power_effect","0.7",116,"limma_noQN",0.050635593220339,0.793,50
"power_effect","1",116,"ComBat",0.0403954802259887,0.872,54.4
"power_effect","1",116,"ComBat_noQN",0.0408898305084746,0.8735,52.1
"power_effect","1",116,"limma",0.0484463276836158,0.921,52.9
"power_effect","1",116,"limma_noQN",0.050635593220339,0.91,50.6
