"ratio","n_up","n_down","seed","method","TPR_BH","FDR_BH","n_called","AUC","typeI_raw","power_raw"
"1:1",1000,1000,107,"ComBat",0.782,0.15,1840,0.956751412429379,0.107838983050847,0.872
"1:1",1000,1000,107,"ComBat_noQN",0.746,0.171571349250416,1801,0.945389230225989,0.121610169491525,0.8465
"1:1",1000,1000,107,"limma",0.8495,0.157659890927119,2017,0.96382436440678,0.122669491525424,0.9245
"1:1",1000,1000,107,"limma_noQN",0.804,0.16554229372081,1927,0.950976730225989,0.132838983050847,0.8955
"2:1",1333,667,107,"ComBat",0.796,0.28191249436175,2217,0.948580314265537,0.144632768361582,0.8865
"2:1",1333,667,107,"ComBat_noQN",0.745,0.171762090050028,1799,0.939575812146893,0.121539548022599,0.845
"2:1",1333,667,107,"limma",0.8405,0.278850278850279,2331,0.95151115819209,0.15614406779661,0.916
"2:1",1333,667,107,"limma_noQN",0.7795,0.166310160427807,1870,0.939142302259887,0.132838983050847,0.875
"3:1",1500,500,107,"ComBat",0.811,0.365414710485133,2556,0.942554537429379,0.16638418079096,0.885
"3:1",1500,500,107,"ComBat_noQN",0.7535,0.172886937431394,1822,0.937774081920904,0.121398305084746,0.848
"3:1",1500,500,107,"limma",0.842,0.359939186621057,2631,0.943107503531073,0.178389830508475,0.908
"3:1",1500,500,107,"limma_noQN",0.7715,0.166396542409508,1851,0.934121327683616,0.132838983050847,0.866
"4:1",1600,400,107,"ComBat",0.816,0.4,2720,0.94026084039548,0.181779661016949,0.887
"4:1",1600,400,107,"ComBat_noQN",0.7515,0.173267326732673,1818,0.939285875706215,0.121468926553672,0.8465
"4:1",1600,400,107,"limma",0.84,0.396117900790798,2782,0.939323093220339,0.193149717514124,0.9015
"4:1",1600,400,107,"limma_noQN",0.7665,0.166394779771615,1839,0.93333271539548,0.132838983050847,0.8585
"9:1",1800,200,107,"ComBat",0.819,0.487323943661972,3195,0.932589777542373,0.211228813559322,0.8905
"9:1",1800,200,107,"ComBat_noQN",0.7555,0.173413566739606,1828,0.941347669491525,0.121468926553672,0.8525
"9:1",1800,200,107,"limma",0.835,0.475502512562814,3184,0.928597334039548,0.222457627118644,0.893
"9:1",1800,200,107,"limma_noQN",0.756,0.167400881057269,1816,0.931780967514124,0.132838983050847,0.8545
"1:0",2000,0,107,"ComBat",0.8345,0.55505198613703,3751,0.923196892655367,0.243785310734463,0.8935
"1:0",2000,0,107,"ComBat_noQN",0.7635,0.172357723577236,1845,0.942697651836158,0.121327683615819,0.864
"1:0",2000,0,107,"limma",0.8295,0.559128355035876,3763,0.914518255649718,0.256426553672316,0.89
"1:0",2000,0,107,"limma_noQN",0.7505,0.167498613422074,1803,0.929043255649717,0.132838983050847,0.848
