"ratio","n_up","n_down","seed","method","TPR_BH","FDR_BH","n_called","AUC","typeI_raw","power_raw"
"1:1",1000,1000,110,"ComBat",0.8095,0.012202562538133,1639,0.98843061440678,0.0240112994350282,0.907
"1:1",1000,1000,110,"ComBat_noQN",0.787,0.00881612090680101,1588,0.987778001412429,0.0178672316384181,0.9005
"1:1",1000,1000,110,"limma",0.8695,0.0230337078651685,1780,0.991064495056497,0.0345338983050847,0.9605
"1:1",1000,1000,110,"limma_noQN",0.845,0.0151515151515152,1716,0.990365960451977,0.0274011299435028,0.9505
"2:1",1333,667,110,"ComBat",0.817,0.0438853130485664,1709,0.984648958333333,0.0421610169491525,0.9195
"2:1",1333,667,110,"ComBat_noQN",0.8,0.00867410161090459,1614,0.988289689265537,0.0179378531073446,0.9085
"2:1",1333,667,110,"limma",0.8635,0.0479603087100331,1814,0.986849064265537,0.05,0.9495
"2:1",1333,667,110,"limma_noQN",0.834,0.0153482880755608,1694,0.989152012711864,0.0274011299435028,0.943
"3:1",1500,500,110,"ComBat",0.8225,0.0815187046342825,1791,0.979912835451977,0.0625706214689266,0.9185
"3:1",1500,500,110,"ComBat_noQN",0.81,0.00856793145654835,1634,0.988148093220339,0.0178672316384181,0.9135
"3:1",1500,500,110,"limma",0.855,0.0865384615384615,1872,0.981642143361582,0.0685028248587571,0.9415
"3:1",1500,500,110,"limma_noQN",0.829,0.0154394299287411,1684,0.988055049435028,0.0274011299435028,0.937
"4:1",1600,400,110,"ComBat",0.8245,0.115817694369973,1865,0.976691013418079,0.0788841807909604,0.919
"4:1",1600,400,110,"ComBat_noQN",0.8155,0.00851063829787234,1645,0.988398693502825,0.0178672316384181,0.916
"4:1",1600,400,110,"limma",0.849,0.115625,1920,0.977600035310734,0.086228813559322,0.94
"4:1",1600,400,110,"limma_noQN",0.829,0.0154394299287411,1684,0.987366666666667,0.0274011299435028,0.935
"9:1",1800,200,110,"ComBat",0.822,0.202715809893307,2062,0.967385593220339,0.112994350282486,0.9135
"9:1",1800,200,110,"ComBat_noQN",0.8165,0.00850030358227079,1647,0.988413488700565,0.0178672316384181,0.9205
"9:1",1800,200,110,"limma",0.8385,0.196069031639501,2086,0.967162906073446,0.119067796610169,0.925
"9:1",1800,200,110,"limma_noQN",0.825,0.0155131264916468,1676,0.986272669491525,0.0274011299435028,0.9315
"1:0",2000,0,110,"ComBat",0.8275,0.323661626481406,2447,0.95597531779661,0.161935028248588,0.911
"1:0",2000,0,110,"ComBat_noQN",0.825,0.00841346153846154,1664,0.989593255649718,0.0178672316384181,0.9305
"1:0",2000,0,110,"limma",0.8285,0.323397305022458,2449,0.952223463983051,0.166949152542373,0.9105
"1:0",2000,0,110,"limma_noQN",0.8195,0.0156156156156156,1665,0.986314653954802,0.0274011299435028,0.927
