"ratio","n_up","n_down","seed","method","TPR_BH","FDR_BH","n_called","AUC","typeI_raw","power_raw"
"1:1",1000,1000,106,"ComBat",0.7995,0.0238095238095238,1638,0.985705649717514,0.0287429378531073,0.904
"1:1",1000,1000,106,"ComBat_noQN",0.7705,0.0374765771392879,1601,0.979969456214689,0.0395480225988701,0.886
"1:1",1000,1000,106,"limma",0.8665,0.0313024035774176,1789,0.988876853813559,0.0386299435028249,0.9505
"1:1",1000,1000,106,"limma_noQN",0.8265,0.0395119116792562,1721,0.98365,0.0475988700564972,0.934
"2:1",1333,667,106,"ComBat",0.81,0.0652048470859781,1733,0.982071927966102,0.0499293785310734,0.9205
"2:1",1333,667,106,"ComBat_noQN",0.7705,0.0374765771392879,1601,0.979680790960452,0.0394774011299435,0.8955
"2:1",1333,667,106,"limma",0.8535,0.0687397708674304,1833,0.984381814971751,0.0581214689265537,0.949
"2:1",1333,667,106,"limma_noQN",0.806,0.0399047051816557,1679,0.980864618644068,0.0475988700564972,0.9245
"3:1",1500,500,106,"ComBat",0.806,0.100948131622978,1793,0.977042955508475,0.0687146892655367,0.92
"3:1",1500,500,106,"ComBat_noQN",0.7655,0.0377121307353865,1591,0.978505649717514,0.0395480225988701,0.8905
"3:1",1500,500,106,"limma",0.8385,0.109872611464968,1884,0.978240148305085,0.0760593220338983,0.937
"3:1",1500,500,106,"limma_noQN",0.7835,0.0410036719706242,1634,0.978329060734463,0.0475988700564972,0.913
"4:1",1600,400,106,"ComBat",0.8055,0.12777476989713,1847,0.97399228460452,0.0827683615819209,0.9175
"4:1",1600,400,106,"ComBat_noQN",0.768,0.037593984962406,1596,0.978362676553672,0.0395480225988701,0.895
"4:1",1600,400,106,"limma",0.829,0.142265907915158,1933,0.974820444915254,0.0889830508474576,0.932
"4:1",1600,400,106,"limma_noQN",0.7735,0.0409175449473032,1613,0.977741878531073,0.0475988700564972,0.9125
"9:1",1800,200,106,"ComBat",0.802,0.203574975173784,2014,0.966040342514124,0.116101694915254,0.913
"9:1",1800,200,106,"ComBat_noQN",0.764,0.0377833753148615,1588,0.979446186440678,0.0394774011299435,0.8995
"9:1",1800,200,106,"limma",0.8155,0.205165692007797,2052,0.965135593220339,0.122104519774011,0.9205
"9:1",1800,200,106,"limma_noQN",0.761,0.0409577819785759,1587,0.977413559322034,0.0475988700564972,0.904
"1:0",2000,0,106,"ComBat",0.805,0.334160463192721,2418,0.953653707627119,0.160310734463277,0.911
"1:0",2000,0,106,"ComBat_noQN",0.7695,0.0375234521575985,1599,0.979533721751412,0.0396186440677966,0.8985
"1:0",2000,0,106,"limma",0.801,0.342094455852156,2435,0.949274205508475,0.168079096045198,0.906
"1:0",2000,0,106,"limma_noQN",0.7465,0.0411046885035324,1557,0.976201588983051,0.0475988700564972,0.898
