"ratio","n_up","n_down","seed","method","TPR_BH","FDR_BH","n_called","AUC","typeI_raw","power_raw"
"1:1",1000,1000,103,"ComBat",0.768,0.0387984981226533,1598,0.973030190677966,0.0514830508474576,0.884
"1:1",1000,1000,103,"ComBat_noQN",0.7545,0.0194931773879142,1539,0.977374929378531,0.0320621468926554,0.8875
"1:1",1000,1000,103,"limma",0.8455,0.0478603603603604,1776,0.976413223870056,0.0641949152542373,0.931
"1:1",1000,1000,103,"limma_noQN",0.819,0.0330578512396694,1694,0.977958898305085,0.0444209039548023,0.925
"2:1",1333,667,103,"ComBat",0.793,0.10597519729425,1774,0.968727083333333,0.0813559322033898,0.8915
"2:1",1333,667,103,"ComBat_noQN",0.778,0.019533711405167,1587,0.978967125706215,0.0320621468926554,0.8945
"2:1",1333,667,103,"limma",0.839,0.109341825902335,1884,0.970509639830509,0.0918785310734463,0.9235
"2:1",1333,667,103,"limma_noQN",0.8155,0.0326215895610913,1686,0.977498234463277,0.0444209039548023,0.917
"3:1",1500,500,103,"ComBat",0.805,0.172661870503597,1946,0.964459551553672,0.10225988700565,0.8985
"3:1",1500,500,103,"ComBat_noQN",0.795,0.0203327171903882,1623,0.980262040960452,0.0320621468926554,0.907
"3:1",1500,500,103,"limma",0.836,0.173095944609298,2022,0.96443501059322,0.112005649717514,0.9175
"3:1",1500,500,103,"limma_noQN",0.818,0.033096926713948,1692,0.97720165960452,0.0444209039548023,0.921
"4:1",1600,400,103,"ComBat",0.8135,0.221903395504543,2091,0.962171257062147,0.117937853107345,0.9055
"4:1",1600,400,103,"ComBat_noQN",0.801,0.0201834862385321,1635,0.981041278248588,0.0321327683615819,0.913
"4:1",1600,400,103,"limma",0.837,0.218852076528231,2143,0.961753230932203,0.128531073446328,0.918
"4:1",1600,400,103,"limma_noQN",0.8225,0.0329218106995885,1701,0.977946645480226,0.0444209039548023,0.9255
"9:1",1800,200,103,"ComBat",0.816,0.317154811715481,2390,0.954941525423729,0.154025423728814,0.9045
"9:1",1800,200,103,"ComBat_noQN",0.826,0.0195845697329377,1685,0.984264512711864,0.0322033898305085,0.923
"9:1",1800,200,103,"limma",0.831,0.315485996705107,2428,0.952406338276836,0.165677966101695,0.909
"9:1",1800,200,103,"limma_noQN",0.8315,0.0342624854819977,1722,0.98052053319209,0.0444209039548023,0.926
"1:0",2000,0,103,"ComBat",0.834,0.43705703678704,2963,0.944634145480226,0.191737288135593,0.905
"1:0",2000,0,103,"ComBat_noQN",0.846,0.0196987253765933,1726,0.985553495762712,0.0322033898305085,0.939
"1:0",2000,0,103,"limma",0.825,0.439157036029912,2942,0.937748923022599,0.205790960451977,0.903
"1:0",2000,0,103,"limma_noQN",0.8335,0.0347423277359583,1727,0.980677365819209,0.0444209039548023,0.93
