"ratio","n_up","n_down","seed","method","TPR_BH","FDR_BH","n_called","AUC","typeI_raw","power_raw"
"1:1",1000,1000,105,"ComBat",0.7735,0.0532435740514076,1634,0.961895621468927,0.0747175141242938,0.87
"1:1",1000,1000,105,"ComBat_noQN",0.749,0.0151216305062459,1521,0.967507203389831,0.0444209039548023,0.867
"1:1",1000,1000,105,"limma",0.842,0.052335396736072,1777,0.966824382062147,0.0771186440677966,0.915
"1:1",1000,1000,105,"limma_noQN",0.801,0.0171779141104294,1630,0.966985240112994,0.0494350282485876,0.9005
"2:1",1333,667,105,"ComBat",0.799,0.160714285714286,1904,0.957820886299435,0.117655367231638,0.8855
"2:1",1333,667,105,"ComBat_noQN",0.7675,0.0153944836433611,1559,0.968624470338983,0.0444209039548023,0.8785
"2:1",1333,667,105,"limma",0.8425,0.148989898989899,1980,0.959794932909604,0.12090395480226,0.9145
"2:1",1333,667,105,"limma_noQN",0.7815,0.0175989943431804,1591,0.964003990112994,0.0494350282485876,0.8985
"3:1",1500,500,105,"ComBat",0.8095,0.237399905793688,2123,0.951280278954802,0.143220338983051,0.8885
"3:1",1500,500,105,"ComBat_noQN",0.776,0.0170994300189994,1579,0.967737076271186,0.0443502824858757,0.8815
"3:1",1500,500,105,"limma",0.842,0.224320589590051,2171,0.951506408898305,0.146822033898305,0.9075
"3:1",1500,500,105,"limma_noQN",0.786,0.0175,1600,0.960428142655367,0.0494350282485876,0.894
"4:1",1600,400,105,"ComBat",0.819,0.297598627787307,2332,0.94946384180791,0.159604519774011,0.8915
"4:1",1600,400,105,"ComBat_noQN",0.779,0.0176544766708701,1586,0.969373940677966,0.0443502824858757,0.887
"4:1",1600,400,105,"limma",0.8405,0.282849829351536,2344,0.94840427259887,0.163559322033898,0.9065
"4:1",1600,400,105,"limma_noQN",0.783,0.0175658720200753,1594,0.960856850282486,0.0494350282485876,0.8905
"9:1",1800,200,105,"ComBat",0.824,0.406126126126126,2775,0.941739389124294,0.194067796610169,0.895
"9:1",1800,200,105,"ComBat_noQN",0.782,0.0175879396984925,1592,0.972347351694915,0.0443502824858757,0.9
"9:1",1800,200,105,"limma",0.831,0.392765801972963,2737,0.937968855932203,0.199081920903955,0.9005
"9:1",1800,200,105,"limma_noQN",0.769,0.0172523961661342,1565,0.961595444915254,0.0494350282485876,0.891
"1:0",2000,0,105,"ComBat",0.8415,0.512315270935961,3451,0.932545003531074,0.234180790960452,0.9
"1:0",2000,0,105,"ComBat_noQN",0.8,0.0171990171990172,1628,0.975660875706215,0.0444209039548023,0.911
"1:0",2000,0,105,"limma",0.8305,0.508725229222124,3381,0.923239653954802,0.239689265536723,0.889
"1:0",2000,0,105,"limma_noQN",0.7585,0.0174870466321244,1544,0.961333615819209,0.0494350282485876,0.886
