"method","rep","direction","penalty","AUC"
"TDM",17,"seq_to_array","elastic_net",0.85042735042735
"TDM",17,"seq_to_array","ridge",0.851037851037851
"TDM",18,"array_to_seq","lasso",0.816239316239316
"TDM",18,"array_to_seq","elastic_net",0.841880341880342
"TDM",18,"array_to_seq","ridge",0.824786324786325
"TDM",18,"seq_to_array","lasso",0.853479853479853
"TDM",18,"seq_to_array","elastic_net",0.86019536019536
"TDM",18,"seq_to_array","ridge",0.876678876678877
"TDM",19,"array_to_seq","lasso",0.821733821733822
"TDM",19,"array_to_seq","elastic_net",0.843101343101343
"TDM",19,"array_to_seq","ridge",0.804029304029304
"TDM",19,"seq_to_array","lasso",0.874236874236874
"TDM",19,"seq_to_array","elastic_net",0.867521367521368
"TDM",19,"seq_to_array","ridge",0.86996336996337
"TDM",20,"array_to_seq","lasso",0.815018315018315
"TDM",20,"array_to_seq","elastic_net",0.861416361416361
"TDM",20,"array_to_seq","ridge",0.898046398046398
"TDM",20,"seq_to_array","lasso",0.854700854700855
"TDM",20,"seq_to_array","elastic_net",0.88034188034188
"TDM",20,"seq_to_array","ridge",0.913308913308913
"TDM",21,"array_to_seq","lasso",0.918803418803419
"TDM",21,"array_to_seq","elastic_net",0.927350427350427
"TDM",21,"array_to_seq","ridge",0.882173382173382
"TDM",21,"seq_to_array","lasso",0.894383394383394
"TDM",21,"seq_to_array","elastic_net",0.926129426129426
"TDM",21,"seq_to_array","ridge",0.919413919413919
"TDM",22,"array_to_seq","lasso",0.81990231990232
"TDM",22,"array_to_seq","elastic_net",0.84004884004884
"TDM",22,"array_to_seq","ridge",0.799145299145299
"TDM",22,"seq_to_array","lasso",0.849206349206349
"TDM",22,"seq_to_array","elastic_net",0.844322344322344
"TDM",22,"seq_to_array","ridge",0.851037851037851
"TDM",23,"array_to_seq","lasso",0.650793650793651
"TDM",23,"array_to_seq","elastic_net",0.64957264957265
"TDM",23,"array_to_seq","ridge",0.667277167277167
"TDM",23,"seq_to_array","lasso",0.825396825396825
"TDM",23,"seq_to_array","elastic_net",0.846153846153846
"TDM",23,"seq_to_array","ridge",0.791208791208791
"TDM",24,"array_to_seq","lasso",0.818681318681319
"TDM",24,"array_to_seq","elastic_net",0.819291819291819
"TDM",24,"array_to_seq","ridge",0.833943833943834
"TDM",24,"seq_to_array","lasso",0.891330891330891
"TDM",24,"seq_to_array","elastic_net",0.884004884004884
"TDM",24,"seq_to_array","ridge",0.91025641025641
"TDM",25,"array_to_seq","lasso",0.738705738705739
"TDM",25,"array_to_seq","elastic_net",0.73992673992674
"TDM",25,"array_to_seq","ridge",0.795482295482296
"TDM",25,"seq_to_array","lasso",0.802808302808303
"TDM",25,"seq_to_array","elastic_net",0.80952380952381
"TDM",25,"seq_to_array","ridge",0.83028083028083
"TDM",26,"array_to_seq","lasso",0.763736263736264
"TDM",26,"array_to_seq","elastic_net",0.788766788766789
"TDM",26,"array_to_seq","ridge",0.733821733821734
"TDM",26,"seq_to_array","lasso",0.821123321123321
"TDM",26,"seq_to_array","elastic_net",0.792429792429792
"TDM",26,"seq_to_array","ridge",0.7997557997558
"TDM",27,"array_to_seq","lasso",0.757631257631258
"TDM",27,"array_to_seq","elastic_net",0.791208791208791
"TDM",27,"array_to_seq","ridge",0.852869352869353
"TDM",27,"seq_to_array","lasso",0.81013431013431
"TDM",27,"seq_to_array","elastic_net",0.847374847374847
"TDM",27,"seq_to_array","ridge",0.818070818070818
"TDM",28,"array_to_seq","lasso",0.855921855921856
"TDM",28,"array_to_seq","elastic_net",0.856532356532356
"TDM",28,"array_to_seq","ridge",0.854700854700855
"TDM",28,"seq_to_array","lasso",0.854700854700855
"TDM",28,"seq_to_array","elastic_net",0.844322344322344
"TDM",28,"seq_to_array","ridge",0.877289377289377
"TDM",29,"array_to_seq","lasso",0.863247863247863
"TDM",29,"array_to_seq","elastic_net",0.854700854700855
"TDM",29,"array_to_seq","ridge",0.873626373626374
"TDM",29,"seq_to_array","lasso",0.846764346764347
"TDM",29,"seq_to_array","elastic_net",0.847985347985348
"TDM",29,"seq_to_array","ridge",0.864468864468865
"TDM",30,"array_to_seq","lasso",0.761294261294261
"TDM",30,"array_to_seq","elastic_net",0.781440781440781
"TDM",30,"array_to_seq","ridge",0.866910866910867
"TDM",30,"seq_to_array","lasso",0.843711843711844
"TDM",30,"seq_to_array","elastic_net",0.862637362637363
"TDM",30,"seq_to_array","ridge",0.832112332112332
"TDM",31,"array_to_seq","lasso",0.83028083028083
