"method","rep","direction","penalty","AUC"
"MNN",17,"seq_to_array","elastic_net",0.8003663003663
"MNN",17,"seq_to_array","ridge",0.852258852258852
"MNN",18,"array_to_seq","lasso",0.656898656898657
"MNN",18,"array_to_seq","elastic_net",0.668498168498168
"MNN",18,"array_to_seq","ridge",0.672771672771673
"MNN",18,"seq_to_array","lasso",0.754578754578755
"MNN",18,"seq_to_array","elastic_net",0.832722832722833
"MNN",18,"seq_to_array","ridge",0.872405372405372
"MNN",19,"array_to_seq","lasso",0.731379731379731
"MNN",19,"array_to_seq","elastic_net",0.747863247863248
"MNN",19,"array_to_seq","ridge",0.73015873015873
"MNN",19,"seq_to_array","lasso",0.876068376068376
"MNN",19,"seq_to_array","elastic_net",0.883394383394383
"MNN",19,"seq_to_array","ridge",0.836385836385836
"MNN",20,"array_to_seq","lasso",0.783882783882784
"MNN",20,"array_to_seq","elastic_net",0.806471306471306
"MNN",20,"array_to_seq","ridge",0.832722832722833
"MNN",20,"seq_to_array","lasso",0.68009768009768
"MNN",20,"seq_to_array","elastic_net",0.807692307692308
"MNN",20,"seq_to_array","ridge",0.862026862026862
"MNN",21,"array_to_seq","lasso",0.648962148962149
"MNN",21,"array_to_seq","elastic_net",0.652014652014652
"MNN",21,"array_to_seq","ridge",0.65018315018315
"MNN",21,"seq_to_array","lasso",0.854090354090354
"MNN",21,"seq_to_array","elastic_net",0.875457875457875
"MNN",21,"seq_to_array","ridge",0.92002442002442
"MNN",22,"array_to_seq","lasso",0.736263736263736
"MNN",22,"array_to_seq","elastic_net",0.732600732600733
"MNN",22,"array_to_seq","ridge",0.704517704517704
"MNN",22,"seq_to_array","lasso",0.846153846153846
"MNN",22,"seq_to_array","elastic_net",0.860805860805861
"MNN",22,"seq_to_array","ridge",0.862026862026862
"MNN",23,"array_to_seq","lasso",0.594627594627595
"MNN",23,"array_to_seq","elastic_net",0.608058608058608
"MNN",23,"array_to_seq","ridge",0.603174603174603
"MNN",23,"seq_to_array","lasso",0.807081807081807
"MNN",23,"seq_to_array","elastic_net",0.824786324786325
"MNN",23,"seq_to_array","ridge",0.835164835164835
"MNN",24,"array_to_seq","lasso",0.752136752136752
"MNN",24,"array_to_seq","elastic_net",0.772893772893773
"MNN",24,"array_to_seq","ridge",0.783882783882784
"MNN",24,"seq_to_array","lasso",0.847374847374847
"MNN",24,"seq_to_array","elastic_net",0.868742368742369
"MNN",24,"seq_to_array","ridge",0.844932844932845
"MNN",25,"array_to_seq","lasso",0.669108669108669
"MNN",25,"array_to_seq","elastic_net",0.66971916971917
"MNN",25,"array_to_seq","ridge",0.675824175824176
"MNN",25,"seq_to_array","lasso",0.845543345543346
"MNN",25,"seq_to_array","elastic_net",0.863247863247863
"MNN",25,"seq_to_array","ridge",0.835164835164835
"MNN",26,"array_to_seq","lasso",0.691086691086691
"MNN",26,"array_to_seq","elastic_net",0.703907203907204
"MNN",26,"array_to_seq","ridge",0.674603174603175
"MNN",26,"seq_to_array","lasso",0.851037851037851
"MNN",26,"seq_to_array","elastic_net",0.854700854700855
"MNN",26,"seq_to_array","ridge",0.816239316239316
"MNN",27,"array_to_seq","lasso",0.664835164835165
"MNN",27,"array_to_seq","elastic_net",0.676434676434676
"MNN",27,"array_to_seq","ridge",0.667277167277167
"MNN",27,"seq_to_array","lasso",0.797313797313797
"MNN",27,"seq_to_array","elastic_net",0.844932844932845
"MNN",27,"seq_to_array","ridge",0.835775335775336
"MNN",28,"array_to_seq","lasso",0.821733821733822
"MNN",28,"array_to_seq","elastic_net",0.821123321123321
"MNN",28,"array_to_seq","ridge",0.80952380952381
"MNN",28,"seq_to_array","lasso",0.786324786324786
"MNN",28,"seq_to_array","elastic_net",0.788766788766789
"MNN",28,"seq_to_array","ridge",0.872405372405372
"MNN",29,"array_to_seq","lasso",0.710622710622711
"MNN",29,"array_to_seq","elastic_net",0.712454212454212
"MNN",29,"array_to_seq","ridge",0.692307692307692
"MNN",29,"seq_to_array","lasso",0.835164835164835
"MNN",29,"seq_to_array","elastic_net",0.832112332112332
"MNN",29,"seq_to_array","ridge",0.878510378510378
"MNN",30,"array_to_seq","lasso",0.675213675213675
"MNN",30,"array_to_seq","elastic_net",0.685592185592186
"MNN",30,"array_to_seq","ridge",0.711843711843712
"MNN",30,"seq_to_array","lasso",0.791819291819292
