"grid","level","seed","method","Type_I_error","Power"
"typeI_balance","balanced",138,"limma_2step",0.0604579207920792,NA
"typeI_balance","balanced",138,"limma_1step",0.0733292079207921,NA
"typeI_balance","same_imbalance",138,"limma_2step",0.0550742574257426,NA
"typeI_balance","same_imbalance",138,"limma_1step",0.0626856435643564,NA
"typeI_balance","opp_imbalance",138,"limma_2step",0.0420792079207921,NA
"typeI_balance","opp_imbalance",138,"limma_1step",0.0399752475247525,NA
"typeI_balance","half_imbalance",138,"limma_2step",0.0571782178217822,NA
"typeI_balance","half_imbalance",138,"limma_1step",0.0709777227722772,NA
"power_size","5",138,"limma_2step",0.0264830508474576,0.365
"power_size","5",138,"limma_1step",0.0184322033898305,0.3835
"power_size","10",138,"limma_2step",0.0605932203389831,0.587
"power_size","10",138,"limma_1step",0.0712570621468927,0.582
"power_size","30",138,"limma_2step",0.0663135593220339,0.861
"power_size","30",138,"limma_1step",0.0574152542372881,0.8535
"power_size","50",138,"limma_2step",0.0751412429378531,0.919
"power_size","50",138,"limma_1step",0.0673728813559322,0.914
"power_balance","balanced",138,"limma_2step",0.0733050847457627,0.903
"power_balance","balanced",138,"limma_1step",0.0650423728813559,0.899
"power_balance","same_imbalance",138,"limma_2step",0.0538841807909605,0.909
"power_balance","same_imbalance",138,"limma_1step",0.0564971751412429,0.905
"power_balance","opp_imbalance",138,"limma_2step",0.0852401129943503,0.89
"power_balance","opp_imbalance",138,"limma_1step",0.0799435028248588,0.8875
"power_balance","half_imbalance",138,"limma_2step",0.0447033898305085,0.923
"power_balance","half_imbalance",138,"limma_1step",0.0428672316384181,0.918
"power_effect","0.3",138,"limma_2step",0.0673728813559322,0.464
"power_effect","0.3",138,"limma_1step",0.061228813559322,0.46
"power_effect","0.5",138,"limma_2step",0.0696327683615819,0.6845
"power_effect","0.5",138,"limma_1step",0.0626412429378531,0.668
"power_effect","0.7",138,"limma_2step",0.0716101694915254,0.811
"power_effect","0.7",138,"limma_1step",0.0632062146892655,0.8115
"power_effect","1",138,"limma_2step",0.0751412429378531,0.919
"power_effect","1",138,"limma_1step",0.0673728813559322,0.914
