"grid","level","seed","method","Type_I_error","Power"
"typeI_balance","balanced",140,"limma_2step",0.0373143564356436,NA
"typeI_balance","balanced",140,"limma_1step",0.0348391089108911,NA
"typeI_balance","same_imbalance",140,"limma_2step",0.036509900990099,NA
"typeI_balance","same_imbalance",140,"limma_1step",0.0413366336633663,NA
"typeI_balance","opp_imbalance",140,"limma_2step",0.0325495049504951,NA
"typeI_balance","opp_imbalance",140,"limma_1step",0.0363861386138614,NA
"typeI_balance","half_imbalance",140,"limma_2step",0.0482673267326733,NA
"typeI_balance","half_imbalance",140,"limma_1step",0.0479579207920792,NA
"power_size","5",140,"limma_2step",0.0344632768361582,0.3375
"power_size","5",140,"limma_1step",0.0389124293785311,0.361
"power_size","10",140,"limma_2step",0.0390536723163842,0.61
"power_size","10",140,"limma_1step",0.0353813559322034,0.617
"power_size","30",140,"limma_2step",0.0502118644067797,0.846
"power_size","30",140,"limma_1step",0.0530367231638418,0.837
"power_size","50",140,"limma_2step",0.0301553672316384,0.95
"power_size","50",140,"limma_1step",0.0211864406779661,0.947
"power_balance","balanced",140,"limma_2step",0.0293079096045198,0.94
"power_balance","balanced",140,"limma_1step",0.0207627118644068,0.935
"power_balance","same_imbalance",140,"limma_2step",0.028954802259887,0.92
"power_balance","same_imbalance",140,"limma_1step",0.0286016949152542,0.915
"power_balance","opp_imbalance",140,"limma_2step",0.0307203389830508,0.9185
"power_balance","opp_imbalance",140,"limma_1step",0.0247175141242938,0.9135
"power_balance","half_imbalance",140,"limma_2step",0.0355225988700565,0.9345
"power_balance","half_imbalance",140,"limma_1step",0.0284604519774011,0.9295
"power_effect","0.3",140,"limma_2step",0.0242937853107345,0.4185
"power_effect","0.3",140,"limma_1step",0.0188559322033898,0.403
"power_effect","0.5",140,"limma_2step",0.0255649717514124,0.6685
"power_effect","0.5",140,"limma_1step",0.0189265536723164,0.6635
"power_effect","0.7",140,"limma_2step",0.0268361581920904,0.8315
"power_effect","0.7",140,"limma_1step",0.0192796610169492,0.83
"power_effect","1",140,"limma_2step",0.0301553672316384,0.95
"power_effect","1",140,"limma_1step",0.0211864406779661,0.947
