"grid","level","seed","method","Type_I_error","Power"
"typeI_balance","balanced",171,"limma_2step",0.0252475247524752,NA
"typeI_balance","balanced",171,"limma_1step",0.0201113861386139,NA
"typeI_balance","same_imbalance",171,"limma_2step",0.0338490099009901,NA
"typeI_balance","same_imbalance",171,"limma_1step",0.0310024752475248,NA
"typeI_balance","opp_imbalance",171,"limma_2step",0.0284034653465347,NA
"typeI_balance","opp_imbalance",171,"limma_1step",0.032240099009901,NA
"typeI_balance","half_imbalance",171,"limma_2step",0.0325495049504951,NA
"typeI_balance","half_imbalance",171,"limma_1step",0.0314975247524752,NA
"power_size","5",171,"limma_2step",0.0407485875706215,0.3675
"power_size","5",171,"limma_1step",0.0411016949152542,0.384
"power_size","10",171,"limma_2step",0.0257768361581921,0.608
"power_size","10",171,"limma_1step",0.0212570621468927,0.597
"power_size","30",171,"limma_2step",0.0485169491525424,0.8675
"power_size","30",171,"limma_1step",0.0439971751412429,0.8655
"power_size","50",171,"limma_2step",0.0494350282485876,0.912
"power_size","50",171,"limma_1step",0.0531073446327684,0.9055
"power_balance","balanced",171,"limma_2step",0.0485875706214689,0.895
"power_balance","balanced",171,"limma_1step",0.0510593220338983,0.891
"power_balance","same_imbalance",171,"limma_2step",0.0334745762711864,0.914
"power_balance","same_imbalance",171,"limma_1step",0.0328389830508475,0.908
"power_balance","opp_imbalance",171,"limma_2step",0.0788135593220339,0.862
"power_balance","opp_imbalance",171,"limma_1step",0.0780367231638418,0.866
"power_balance","half_imbalance",171,"limma_2step",0.0252824858757062,0.922
"power_balance","half_imbalance",171,"limma_1step",0.0231638418079096,0.9235
"power_effect","0.3",171,"limma_2step",0.0429378531073446,0.424
"power_effect","0.3",171,"limma_1step",0.0479519774011299,0.4295
"power_effect","0.5",171,"limma_2step",0.0437146892655367,0.6595
"power_effect","0.5",171,"limma_1step",0.0475282485875706,0.6605
"power_effect","0.7",171,"limma_2step",0.046045197740113,0.8075
"power_effect","0.7",171,"limma_1step",0.0492937853107345,0.8035
"power_effect","1",171,"limma_2step",0.0494350282485876,0.912
"power_effect","1",171,"limma_1step",0.0531073446327684,0.9055
