"grid","level","seed","method","Type_I_error","Power"
"typeI_balance","balanced",182,"limma_2step",0.0218440594059406,NA
"typeI_balance","balanced",182,"limma_1step",0.0190594059405941,NA
"typeI_balance","same_imbalance",182,"limma_2step",0.0188118811881188,NA
"typeI_balance","same_imbalance",182,"limma_1step",0.0160891089108911,NA
"typeI_balance","opp_imbalance",182,"limma_2step",0.026299504950495,NA
"typeI_balance","opp_imbalance",182,"limma_1step",0.0264232673267327,NA
"typeI_balance","half_imbalance",182,"limma_2step",0.0214727722772277,NA
"typeI_balance","half_imbalance",182,"limma_1step",0.0202970297029703,NA
"power_size","5",182,"limma_2step",0.0189265536723164,0.322
"power_size","5",182,"limma_1step",0.0146892655367232,0.337
"power_size","10",182,"limma_2step",0.0234463276836158,0.542
"power_size","10",182,"limma_1step",0.0211158192090395,0.524
"power_size","30",182,"limma_2step",0.0484463276836158,0.869
"power_size","30",182,"limma_1step",0.0416666666666667,0.8715
"power_size","50",182,"limma_2step",0.0461158192090395,0.941
"power_size","50",182,"limma_1step",0.0457627118644068,0.9405
"power_balance","balanced",182,"limma_2step",0.0439265536723164,0.928
"power_balance","balanced",182,"limma_1step",0.0448446327683616,0.9255
"power_balance","same_imbalance",182,"limma_2step",0.102824858757062,0.8995
"power_balance","same_imbalance",182,"limma_1step",0.102966101694915,0.8995
"power_balance","opp_imbalance",182,"limma_2step",0.0601694915254237,0.905
"power_balance","opp_imbalance",182,"limma_1step",0.0584039548022599,0.91
"power_balance","half_imbalance",182,"limma_2step",0.0694209039548023,0.915
"power_balance","half_imbalance",182,"limma_1step",0.0662429378531074,0.912
"power_effect","0.3",182,"limma_2step",0.0384180790960452,0.4675
"power_effect","0.3",182,"limma_1step",0.0399717514124294,0.4515
"power_effect","0.5",182,"limma_2step",0.0393361581920904,0.7045
"power_effect","0.5",182,"limma_1step",0.0408898305084746,0.6985
"power_effect","0.7",182,"limma_2step",0.0413135593220339,0.85
"power_effect","0.7",182,"limma_1step",0.0430084745762712,0.8415
"power_effect","1",182,"limma_2step",0.0461158192090395,0.941
"power_effect","1",182,"limma_1step",0.0457627118644068,0.9405
