"grid","level","seed","method","Type_I_error","Power"
"typeI_balance","balanced",167,"limma_2step",0.0431930693069307,NA
"typeI_balance","balanced",167,"limma_1step",0.042759900990099,NA
"typeI_balance","same_imbalance",167,"limma_2step",0.0273514851485149,NA
"typeI_balance","same_imbalance",167,"limma_1step",0.0239480198019802,NA
"typeI_balance","opp_imbalance",167,"limma_2step",0.0374381188118812,NA
"typeI_balance","opp_imbalance",167,"limma_1step",0.0374381188118812,NA
"typeI_balance","half_imbalance",167,"limma_2step",0.0236386138613861,NA
"typeI_balance","half_imbalance",167,"limma_1step",0.0238861386138614,NA
"power_size","5",167,"limma_2step",0.041454802259887,0.393
"power_size","5",167,"limma_1step",0.0370762711864407,0.4035
"power_size","10",167,"limma_2step",0.0438559322033898,0.573
"power_size","10",167,"limma_1step",0.0427966101694915,0.583
"power_size","30",167,"limma_2step",0.0274717514124294,0.8845
"power_size","30",167,"limma_1step",0.0257768361581921,0.8675
"power_size","50",167,"limma_2step",0.0265536723163842,0.9445
"power_size","50",167,"limma_1step",0.0269067796610169,0.937
"power_balance","balanced",167,"limma_2step",0.0258474576271186,0.933
"power_balance","balanced",167,"limma_1step",0.0264830508474576,0.9245
"power_balance","same_imbalance",167,"limma_2step",0.0249293785310734,0.9315
"power_balance","same_imbalance",167,"limma_1step",0.0225282485875706,0.921
"power_balance","opp_imbalance",167,"limma_2step",0.0340395480225989,0.901
"power_balance","opp_imbalance",167,"limma_1step",0.0298728813559322,0.9075
"power_balance","half_imbalance",167,"limma_2step",0.0310028248587571,0.9265
"power_balance","half_imbalance",167,"limma_1step",0.0275423728813559,0.923
"power_effect","0.3",167,"limma_2step",0.0215395480225989,0.423
"power_effect","0.3",167,"limma_1step",0.0245762711864407,0.414
"power_effect","0.5",167,"limma_2step",0.022316384180791,0.693
"power_effect","0.5",167,"limma_1step",0.0245762711864407,0.671
"power_effect","0.7",167,"limma_2step",0.0237994350282486,0.846
"power_effect","0.7",167,"limma_1step",0.0254943502824859,0.8365
"power_effect","1",167,"limma_2step",0.0265536723163842,0.9445
"power_effect","1",167,"limma_1step",0.0269067796610169,0.937
