"grid","level","seed","method","Type_I_error","Power"
"typeI_balance","balanced",143,"limma_2step",0.0232673267326733,NA
"typeI_balance","balanced",143,"limma_1step",0.0194306930693069,NA
"typeI_balance","same_imbalance",143,"limma_2step",0.0283415841584158,NA
"typeI_balance","same_imbalance",143,"limma_1step",0.0258044554455446,NA
"typeI_balance","opp_imbalance",143,"limma_2step",0.0258044554455446,NA
"typeI_balance","opp_imbalance",143,"limma_1step",0.024009900990099,NA
"typeI_balance","half_imbalance",143,"limma_2step",0.017759900990099,NA
"typeI_balance","half_imbalance",143,"limma_1step",0.016769801980198,NA
"power_size","5",143,"limma_2step",0.112994350282486,0.373
"power_size","5",143,"limma_1step",0.11433615819209,0.3935
"power_size","10",143,"limma_2step",0.0241525423728814,0.575
"power_size","10",143,"limma_1step",0.0199858757062147,0.572
"power_size","30",143,"limma_2step",0.0196327683615819,0.888
"power_size","30",143,"limma_1step",0.0147598870056497,0.8875
"power_size","50",143,"limma_2step",0.0218926553672316,0.939
"power_size","50",143,"limma_1step",0.0206214689265537,0.9315
"power_balance","balanced",143,"limma_2step",0.0211158192090395,0.929
"power_balance","balanced",143,"limma_1step",0.0206214689265537,0.9195
"power_balance","same_imbalance",143,"limma_2step",0.0320621468926554,0.9205
"power_balance","same_imbalance",143,"limma_1step",0.0297316384180791,0.916
"power_balance","opp_imbalance",143,"limma_2step",0.024364406779661,0.9175
"power_balance","opp_imbalance",143,"limma_1step",0.0178672316384181,0.923
"power_balance","half_imbalance",143,"limma_2step",0.0230932203389831,0.945
"power_balance","half_imbalance",143,"limma_1step",0.0200564971751412,0.933
"power_effect","0.3",143,"limma_2step",0.0196327683615819,0.4545
"power_effect","0.3",143,"limma_1step",0.0190677966101695,0.427
"power_effect","0.5",143,"limma_2step",0.0185734463276836,0.701
"power_effect","0.5",143,"limma_1step",0.0187146892655367,0.6895
"power_effect","0.7",143,"limma_2step",0.0189971751412429,0.8455
"power_effect","0.7",143,"limma_1step",0.0198446327683616,0.8385
"power_effect","1",143,"limma_2step",0.0218926553672316,0.939
"power_effect","1",143,"limma_1step",0.0206214689265537,0.9315
