"grid","level","seed","method","Type_I_error","Power"
"typeI_balance","balanced",142,"limma_2step",0.0295792079207921,NA
"typeI_balance","balanced",142,"limma_1step",0.0260519801980198,NA
"typeI_balance","same_imbalance",142,"limma_2step",0.0224009900990099,NA
"typeI_balance","same_imbalance",142,"limma_1step",0.0193688118811881,NA
"typeI_balance","opp_imbalance",142,"limma_2step",0.0261757425742574,NA
"typeI_balance","opp_imbalance",142,"limma_1step",0.0260519801980198,NA
"typeI_balance","half_imbalance",142,"limma_2step",0.0222772277227723,NA
"typeI_balance","half_imbalance",142,"limma_1step",0.0178836633663366,NA
"power_size","5",142,"limma_2step",0.0240112994350282,0.3615
"power_size","5",142,"limma_1step",0.0197033898305085,0.3675
"power_size","10",142,"limma_2step",0.0301553672316384,0.5615
"power_size","10",142,"limma_1step",0.0252824858757062,0.552
"power_size","30",142,"limma_2step",0.0300847457627119,0.8785
"power_size","30",142,"limma_1step",0.0258474576271186,0.875
"power_size","50",142,"limma_2step",0.0259887005649717,0.957
"power_size","50",142,"limma_1step",0.0221045197740113,0.949
"power_balance","balanced",142,"limma_2step",0.0245056497175141,0.948
"power_balance","balanced",142,"limma_1step",0.0216101694915254,0.9395
"power_balance","same_imbalance",142,"limma_2step",0.0269067796610169,0.9395
"power_balance","same_imbalance",142,"limma_1step",0.0266949152542373,0.9335
"power_balance","opp_imbalance",142,"limma_2step",0.0353107344632768,0.908
"power_balance","opp_imbalance",142,"limma_1step",0.0262005649717514,0.916
"power_balance","half_imbalance",142,"limma_2step",0.0274011299435028,0.945
"power_balance","half_imbalance",142,"limma_1step",0.0225988700564972,0.941
"power_effect","0.3",142,"limma_2step",0.0177966101694915,0.439
"power_effect","0.3",142,"limma_1step",0.0188559322033898,0.4285
"power_effect","0.5",142,"limma_2step",0.0187853107344633,0.7065
"power_effect","0.5",142,"limma_1step",0.0193502824858757,0.689
"power_effect","0.7",142,"limma_2step",0.0213276836158192,0.863
"power_effect","0.7",142,"limma_1step",0.0199152542372881,0.8465
"power_effect","1",142,"limma_2step",0.0259887005649717,0.957
"power_effect","1",142,"limma_1step",0.0221045197740113,0.949
