"grid","level","seed","method","Type_I_error","Power"
"typeI_balance","balanced",103,"limma_2step",0.051299504950495,NA
"typeI_balance","balanced",103,"limma_1step",0.0436262376237624,NA
"typeI_balance","same_imbalance",103,"limma_2step",0.0327970297029703,NA
"typeI_balance","same_imbalance",103,"limma_1step",0.0317450495049505,NA
"typeI_balance","opp_imbalance",103,"limma_2step",0.0254331683168317,NA
"typeI_balance","opp_imbalance",103,"limma_1step",0.0233910891089109,NA
"typeI_balance","half_imbalance",103,"limma_2step",0.0473391089108911,NA
"typeI_balance","half_imbalance",103,"limma_1step",0.0488861386138614,NA
"power_size","5",103,"limma_2step",0.00402542372881356,0.2985
"power_size","5",103,"limma_1step",0.00367231638418079,0.3035
"power_size","10",103,"limma_2step",0.054590395480226,0.576
"power_size","10",103,"limma_1step",0.0447033898305085,0.5635
"power_size","30",103,"limma_2step",0.0159604519774011,0.87
"power_size","30",103,"limma_1step",0.0165960451977401,0.8625
"power_size","50",103,"limma_2step",0.0641949152542373,0.931
"power_size","50",103,"limma_1step",0.0647598870056497,0.9315
"power_balance","balanced",103,"limma_2step",0.0629237288135593,0.9175
"power_balance","balanced",103,"limma_1step",0.0632062146892655,0.9185
"power_balance","same_imbalance",103,"limma_2step",0.0532485875706215,0.9125
"power_balance","same_imbalance",103,"limma_1step",0.0560028248587571,0.903
"power_balance","opp_imbalance",103,"limma_2step",0.045409604519774,0.9105
"power_balance","opp_imbalance",103,"limma_1step",0.0394774011299435,0.9155
"power_balance","half_imbalance",103,"limma_2step",0.075635593220339,0.907
"power_balance","half_imbalance",103,"limma_1step",0.0805084745762712,0.9095
"power_effect","0.3",103,"limma_2step",0.0557909604519774,0.4665
"power_effect","0.3",103,"limma_1step",0.0573446327683616,0.457
"power_effect","0.5",103,"limma_2step",0.0569915254237288,0.6905
"power_effect","0.5",103,"limma_1step",0.0593926553672316,0.6835
"power_effect","0.7",103,"limma_2step",0.0599576271186441,0.8275
"power_effect","0.7",103,"limma_1step",0.0617231638418079,0.8245
"power_effect","1",103,"limma_2step",0.0641949152542373,0.931
"power_effect","1",103,"limma_1step",0.0647598870056497,0.9315
