"grid","level","seed","method","Type_I_error","Power"
"typeI_balance","balanced",184,"limma_2step",0.0373762376237624,NA
"typeI_balance","balanced",184,"limma_1step",0.0346534653465347,NA
"typeI_balance","same_imbalance",184,"limma_2step",0.0260519801980198,NA
"typeI_balance","same_imbalance",184,"limma_1step",0.0249381188118812,NA
"typeI_balance","opp_imbalance",184,"limma_2step",0.0400371287128713,NA
"typeI_balance","opp_imbalance",184,"limma_1step",0.0478341584158416,NA
"typeI_balance","half_imbalance",184,"limma_2step",0.0365717821782178,NA
"typeI_balance","half_imbalance",184,"limma_1step",0.0359529702970297,NA
"power_size","5",184,"limma_2step",0.0346045197740113,0.3455
"power_size","5",184,"limma_1step",0.0307203389830508,0.3565
"power_size","10",184,"limma_2step",0.0367937853107345,0.568
"power_size","10",184,"limma_1step",0.0337570621468927,0.5605
"power_size","30",184,"limma_2step",0.0459745762711864,0.868
"power_size","30",184,"limma_1step",0.0388418079096045,0.869
"power_size","50",184,"limma_2step",0.0324858757062147,0.9545
"power_size","50",184,"limma_1step",0.0297316384180791,0.9495
"power_balance","balanced",184,"limma_2step",0.0307909604519774,0.9465
"power_balance","balanced",184,"limma_1step",0.0297316384180791,0.9325
"power_balance","same_imbalance",184,"limma_2step",0.0332627118644068,0.928
"power_balance","same_imbalance",184,"limma_1step",0.0339689265536723,0.917
"power_balance","opp_imbalance",184,"limma_2step",0.033545197740113,0.924
"power_balance","opp_imbalance",184,"limma_1step",0.0377824858757062,0.9135
"power_balance","half_imbalance",184,"limma_2step",0.0365112994350282,0.9375
"power_balance","half_imbalance",184,"limma_1step",0.0323446327683616,0.933
"power_effect","0.3",184,"limma_2step",0.0247175141242938,0.441
"power_effect","0.3",184,"limma_1step",0.0242231638418079,0.4345
"power_effect","0.5",184,"limma_2step",0.0259887005649717,0.6945
"power_effect","0.5",184,"limma_1step",0.0248587570621469,0.6945
"power_effect","0.7",184,"limma_2step",0.0280367231638418,0.854
"power_effect","0.7",184,"limma_1step",0.0271186440677966,0.846
"power_effect","1",184,"limma_2step",0.0324858757062147,0.9545
"power_effect","1",184,"limma_1step",0.0297316384180791,0.9495
