"grid","level","seed","method","Type_I_error","Power"
"typeI_balance","balanced",119,"limma_2step",0.0250618811881188,NA
"typeI_balance","balanced",119,"limma_1step",0.0246905940594059,NA
"typeI_balance","same_imbalance",119,"limma_2step",0.0225247524752475,NA
"typeI_balance","same_imbalance",119,"limma_1step",0.0207920792079208,NA
"typeI_balance","opp_imbalance",119,"limma_2step",0.0271039603960396,NA
"typeI_balance","opp_imbalance",119,"limma_1step",0.0346534653465347,NA
"typeI_balance","half_imbalance",119,"limma_2step",0.0160272277227723,NA
"typeI_balance","half_imbalance",119,"limma_1step",0.0146658415841584,NA
"power_size","5",119,"limma_2step",0.0512005649717514,0.389
"power_size","5",119,"limma_1step",0.0451977401129944,0.3885
"power_size","10",119,"limma_2step",0.0281779661016949,0.593
"power_size","10",119,"limma_1step",0.0258474576271186,0.5825
"power_size","30",119,"limma_2step",0.0489406779661017,0.863
"power_size","30",119,"limma_1step",0.0507768361581921,0.856
"power_size","50",119,"limma_2step",0.107697740112994,0.9175
"power_size","50",119,"limma_1step",0.108050847457627,0.9065
"power_balance","balanced",119,"limma_2step",0.107556497175141,0.898
"power_balance","balanced",119,"limma_1step",0.108333333333333,0.891
"power_balance","same_imbalance",119,"limma_2step",0.0803672316384181,0.896
"power_balance","same_imbalance",119,"limma_1step",0.0888418079096045,0.884
"power_balance","opp_imbalance",119,"limma_2step",0.107203389830508,0.884
"power_balance","opp_imbalance",119,"limma_1step",0.0942090395480226,0.8875
"power_balance","half_imbalance",119,"limma_2step",0.0719632768361582,0.9145
"power_balance","half_imbalance",119,"limma_1step",0.0810028248587571,0.9065
"power_effect","0.3",119,"limma_2step",0.105508474576271,0.4715
"power_effect","0.3",119,"limma_1step",0.109039548022599,0.474
"power_effect","0.5",119,"limma_2step",0.105296610169492,0.6795
"power_effect","0.5",119,"limma_1step",0.107627118644068,0.683
"power_effect","0.7",119,"limma_2step",0.105649717514124,0.809
"power_effect","0.7",119,"limma_1step",0.107556497175141,0.8055
"power_effect","1",119,"limma_2step",0.107697740112994,0.9175
"power_effect","1",119,"limma_1step",0.108050847457627,0.9065
