"dataset","method","sil_platform","sil_biological","ARI","KS_median","KS_mean","n_array","n_seq","secs"
"METSIM","No_correction",0.714708612398422,0.00299113280092601,-0.00698174006444689,1,0.938074257425743,50,50,2.8
"METSIM","QN",0.450600008504212,0.00317180778537271,-0.00698174006444689,0.86,0.758631188118812,50,50,3
"METSIM","Angel",0.455111861394076,0.00387849037170342,-0.00698174006444689,0.86,0.758647277227723,50,50,2.2
"METSIM","TDM",0.538830287509792,0.00836067166735002,-0.014109347442681,0.96,0.838222772277228,50,50,7.9
"METSIM","MMR",0.0714378239939769,-0.00322488647835268,-0.014109347442681,0.4,0.39962995049505,50,50,1.9
"METSIM","ComBat",0.033364788170416,-0.00258142055995493,-0.014109347442681,0.16,0.216747524752475,50,50,5.5
"METSIM","ComBat_seq",0.27554891021106,0.00856186184368915,-0.014109347442681,0.26,0.453095297029703,50,50,14.9
"METSIM","RNABC",-0.0026902271445669,-0.00275989688656703,-0.014109347442681,0.16,0.189772277227723,50,50,2.3
"METSIM","limma",0.0167311310327543,-0.00255809844729392,-0.014109347442681,0.22,0.256513613861386,50,50,2.9
"METSIM","XPN",-0.00573219362735455,-0.00239156898517205,-0.014109347442681,0.14,0.179350247524752,50,50,82.3
"METSIM","MNN",0.10825068066873,0.0527048275783265,-0.014109347442681,0.4,0.410631188118812,50,50,3.6
"METSIM","Shambhala2",0.26282672643839,-0.00705883908090787,-0.014109347442681,0.5,0.485773514851485,50,50,1093.3
"METSIM","Rank_in",0.0222145253614021,0.00258917499529298,-0.014109347442681,0.22,0.229575495049505,50,50,70
"METSIM","COCONUT",0.0471567988501911,0.0182886550242595,-0.014109347442681,0.32,0.336654702970297,50,50,2.7
