"ratio","n_up","n_down","seed","method","TPR_BH","FDR_BH","n_called","AUC","typeI_raw","power_raw"
"1:1",1000,1000,136,"QN",0.4785,0.0599214145383104,1018,0.926020515536723,0.0536723163841808,0.728
"1:1",1000,1000,136,"Angel",0.4785,0.0608439646712463,1019,0.926023128531073,0.0536723163841808,0.728
"1:1",1000,1000,136,"TDM",0.381,0.0116731517509728,771,0.954484251412429,0.0206214689265537,0.688
"1:1",1000,1000,136,"MMR",0.661,0.0761173184357542,1432,0.920798057909605,0.0687853107344633,0.8
"1:1",1000,1000,136,"ComBat",0.7835,0.133296460176991,1808,0.963190095338983,0.0977401129943503,0.88
"1:1",1000,1000,136,"ComBat_seq",0.6965,0.0865573770491803,1525,0.919709427966102,0.0776129943502825,0.7965
"1:1",1000,1000,136,"RNABC",0.8175,0.192193675889328,2024,0.954951730225989,0.146327683615819,0.906
"1:1",1000,1000,136,"limma",0.843,0.130927835051546,1940,0.969715042372881,0.104731638418079,0.9265
"1:1",1000,1000,136,"MNN",0.6885,0.395787626151821,2279,0.887650035310734,0.192655367231638,0.8165
"2:1",1333,667,136,"QN",0.524,0.0411710887465691,1093,0.951464442090395,0.0326271186440678,0.765
"2:1",1333,667,136,"Angel",0.523,0.0412465627864345,1091,0.951452330508475,0.0326977401129944,0.765
"2:1",1333,667,136,"TDM",0.408,0.0133010882708585,827,0.952842849576271,0.0215395480225989,0.689
"2:1",1333,667,136,"MMR",0.654,0.0769230769230769,1417,0.911058280367232,0.0682203389830508,0.778
"2:1",1333,667,136,"ComBat",0.813,0.240896358543417,2142,0.959036546610169,0.132768361581921,0.8975
"2:1",1333,667,136,"ComBat_seq",0.717,0.0958385876418663,1586,0.934105667372881,0.0829802259887006,0.833
"2:1",1333,667,136,"RNABC",0.858,0.17816091954023,2088,0.968342531779661,0.11433615819209,0.9265
"2:1",1333,667,136,"limma",0.8585,0.228314606741573,2225,0.96329011299435,0.134533898305085,0.925
"2:1",1333,667,136,"MNN",0.5755,0.36126526082131,1802,0.881093714689266,0.147669491525424,0.7695
"3:1",1500,500,136,"QN",0.5355,0.0555555555555556,1134,0.943764212570621,0.0443502824858757,0.772
"3:1",1500,500,136,"Angel",0.5355,0.0555555555555556,1134,0.943762376412429,0.0443502824858757,0.7715
"3:1",1500,500,136,"TDM",0.421,0.0163551401869159,856,0.954336370056497,0.0215395480225989,0.7015
"3:1",1500,500,136,"MMR",0.6475,0.0776353276353276,1404,0.909080455508475,0.0678672316384181,0.771
"3:1",1500,500,136,"ComBat",0.833,0.321108394458028,2454,0.956280561440678,0.155296610169492,0.9065
"3:1",1500,500,136,"ComBat_seq",0.749,0.104066985645933,1672,0.942945374293785,0.0865819209039548,0.855
"3:1",1500,500,136,"RNABC",0.872,0.232732072151342,2273,0.966941613700565,0.135098870056497,0.933
"3:1",1500,500,136,"limma",0.866,0.305254713196951,2493,0.959349329096045,0.156991525423729,0.9245
"3:1",1500,500,136,"MNN",0.5875,0.377648305084746,1888,0.881379449152542,0.145268361581921,0.764
"4:1",1600,400,136,"QN",0.5245,0.0854402789886661,1147,0.929434269067797,0.0604519774011299,0.751
"4:1",1600,400,136,"Angel",0.5245,0.0846422338568935,1146,0.929559851694915,0.0601694915254237,0.751
"4:1",1600,400,136,"TDM",0.42,0.0152403282532239,853,0.951738471045198,0.0213276836158192,0.691
"4:1",1600,400,136,"MMR",0.636,0.0782041998551774,1381,0.905783262711864,0.0675141242937853,0.7645
"4:1",1600,400,136,"ComBat",0.833,0.372031662269129,2653,0.951944456214689,0.170762711864407,0.9065
"4:1",1600,400,136,"ComBat_seq",0.75,0.105545617173524,1677,0.944953778248588,0.0872881355932203,0.858
"4:1",1600,400,136,"RNABC",0.8705,0.279685560612329,2417,0.961220868644068,0.159110169491525,0.927
"4:1",1600,400,136,"limma",0.8545,0.350437096161155,2631,0.953699099576271,0.173305084745763,0.9225
"4:1",1600,400,136,"MNN",0.561,0.336094674556213,1690,0.891750918079096,0.127754237288136,0.765
"9:1",1800,200,136,"QN",0.512,0.164763458401305,1226,0.899060310734463,0.102189265536723,0.729
"9:1",1800,200,136,"Angel",0.512,0.164763458401305,1226,0.899061016949153,0.102189265536723,0.729
"9:1",1800,200,136,"TDM",0.4265,0.0138728323699422,865,0.951293855932203,0.0207627118644068,0.682
