"ratio","n_up","n_down","seed","method","TPR_BH","FDR_BH","n_called","AUC","typeI_raw","power_raw"
"1:1",1000,1000,130,"XPN",0.877,0.0212053571428571,1792,0.988243979519774,0.0365112994350282,0.9565
"2:1",1333,667,130,"XPN",0.8665,0.0307606263982103,1788,0.986149558615819,0.0483050847457627,0.9495
"3:1",1500,500,130,"XPN",0.866,0.0275126333520494,1781,0.985961193502825,0.0461864406779661,0.9455
"4:1",1600,400,130,"XPN",0.863,0.0325112107623318,1784,0.984624329096045,0.0513418079096045,0.945
"9:1",1800,200,130,"XPN",0.86,0.0374930050363738,1787,0.984434251412429,0.0529661016949153,0.9445
"1:0",2000,0,130,"XPN",0.866,0.0393788130892956,1803,0.984717584745763,0.0511299435028249,0.9435
