"ratio","n_up","n_down","seed","method","TPR_BH","FDR_BH","n_called","AUC","typeI_raw","power_raw"
"1:1",1000,1000,141,"QN",0.49,0.018018018018018,999,0.964583139124294,0.0213983050847458,0.7485
"1:1",1000,1000,141,"Angel",0.4905,0.018018018018018,999,0.964594632768362,0.0214689265536723,0.749
"1:1",1000,1000,141,"TDM",0.3765,0,753,0.98217219279661,0.00459039548022599,0.687
"1:1",1000,1000,141,"MMR",0.673,0.00810611643330877,1357,0.940541807909605,0.0259180790960452,0.81
"1:1",1000,1000,141,"ComBat",0.7795,0.0207286432160804,1592,0.983575900423729,0.0377824858757062,0.8985
"1:1",1000,1000,141,"ComBat_seq",0.685,0.00652646845540247,1379,0.952627577683616,0.0220338983050847,0.822
"1:1",1000,1000,141,"RNABC",0.8305,0.0292056074766355,1712,0.984784939971751,0.0463983050847458,0.9395
"1:1",1000,1000,141,"limma",0.8465,0.0264367816091954,1740,0.986096292372881,0.0462570621468927,0.944
"1:1",1000,1000,141,"MNN",0.6505,0.057929036929761,1381,0.954872740112994,0.0588276836158192,0.845
"2:1",1333,667,141,"QN",0.5195,0.00478927203065134,1044,0.972587570621469,0.0147598870056497,0.7715
"2:1",1333,667,141,"Angel",0.5195,0.00478927203065134,1044,0.972625847457627,0.0146186440677966,0.772
"2:1",1333,667,141,"TDM",0.4115,0,823,0.981076059322034,0.00430790960451977,0.686
"2:1",1333,667,141,"MMR",0.65,0.00763358778625954,1310,0.93158373940678,0.0267655367231638,0.7985
"2:1",1333,667,141,"ComBat",0.797,0.0759420289855072,1725,0.978999452683616,0.0674435028248588,0.9135
"2:1",1333,667,141,"ComBat_seq",0.713,0.00834492350486787,1438,0.964047210451977,0.0251412429378531,0.8555
"2:1",1333,667,141,"RNABC",0.8535,0.0453020134228188,1788,0.986798093220339,0.0504237288135593,0.947
"2:1",1333,667,141,"limma",0.8425,0.0711135611907387,1814,0.981194738700565,0.0724576271186441,0.9405
"2:1",1333,667,141,"MNN",0.5655,0.241448692152918,1491,0.897377930790961,0.122175141242938,0.775
"3:1",1500,500,141,"QN",0.539,0.0235507246376812,1104,0.957964512711864,0.030225988700565,0.764
"3:1",1500,500,141,"Angel",0.539,0.0235507246376812,1104,0.958021892655367,0.0301553672316384,0.764
"3:1",1500,500,141,"TDM",0.422,0,844,0.98016154661017,0.00437853107344633,0.6855
"3:1",1500,500,141,"MMR",0.647,0.00766871165644172,1304,0.926137711864407,0.0271186440677966,0.789
"3:1",1500,500,141,"ComBat",0.811,0.136774880255455,1879,0.973882609463277,0.0913841807909604,0.912
"3:1",1500,500,141,"ComBat_seq",0.7325,0.0087956698240866,1478,0.968453584039548,0.0262005649717514,0.8675
"3:1",1500,500,141,"RNABC",0.8655,0.11457800511509,1955,0.981643396892655,0.0922316384180791,0.9485
"3:1",1500,500,141,"limma",0.842,0.127008812856402,1929,0.975424311440678,0.0978813559322034,0.93
"3:1",1500,500,141,"MNN",0.5325,0.369822485207101,1690,0.848220338983051,0.159110169491525,0.714
"4:1",1600,400,141,"QN",0.5275,0.0546594982078853,1116,0.940170356638418,0.0542372881355932,0.755
"4:1",1600,400,141,"Angel",0.5275,0.0546594982078853,1116,0.94023105579096,0.0541666666666667,0.755
"4:1",1600,400,141,"TDM",0.417,0,834,0.980390925141243,0.00437853107344633,0.682
"4:1",1600,400,141,"MMR",0.644,0.00770416024653313,1298,0.925856426553672,0.0274011299435028,0.7815
"4:1",1600,400,141,"ComBat",0.81,0.183467741935484,1984,0.970991401836158,0.107768361581921,0.916
"4:1",1600,400,141,"ComBat_seq",0.734,0.00944669365721997,1482,0.972185098870057,0.0271186440677966,0.874
"4:1",1600,400,141,"RNABC",0.8675,0.215996384997741,2213,0.975036776129944,0.141454802259887,0.9475
"4:1",1600,400,141,"limma",0.8335,0.174343734522041,2019,0.971852860169492,0.114406779661017,0.929
"4:1",1600,400,141,"MNN",0.532,0.651733158927404,3058,0.745189936440678,0.276200564971751,0.644
"9:1",1800,200,141,"QN",0.508,0.171288743882545,1226,0.89774228460452,0.116172316384181,0.7225
"9:1",1800,200,141,"Angel",0.508,0.171288743882545,1226,0.897723199152542,0.116172316384181,0.7225
"9:1",1800,200,141,"TDM",0.413,0.00120918984280532,827,0.978954201977401,0.00466101694915254,0.6765
"9:1",1800,200,141,"MMR",0.622,0.00638977635782748,1252,0.922987605932203,0.0271892655367232,0.7685
"9:1",1800,200,141,"ComBat",0.802,0.28963684676705,2258,0.95986186440678,0.150847457627119,0.911
"9:1",1800,200,141,"ComBat_seq",0.7455,0.0125827814569536,1510,0.974890572033898,0.0305790960451977,0.888
"9:1",1800,200,141,"RNABC",0.878,0.450391236306729,3195,0.960059745762712,0.232556497175141,0.9435
"9:1",1800,200,141,"limma",0.8185,0.277581641659312,2266,0.958715854519774,0.157062146892655,0.917
"9:1",1800,200,141,"MNN",0.677,0.370817843866171,2152,0.887135487288136,0.189618644067797,0.804
"1:0",2000,0,141,"QN",0.5085,0.482706002034588,1966,0.839370586158192,0.224081920903955,0.701
"1:0",2000,0,141,"Angel",0.5085,0.482179226069246,1964,0.839461299435028,0.223870056497175,0.701
"1:0",2000,0,141,"TDM",0.441,0.00113250283125708,883,0.978768396892655,0.00444915254237288,0.678
"1:0",2000,0,141,"MMR",0.599,0.00580912863070539,1205,0.917242196327684,0.0271186440677966,0.7605
"1:0",2000,0,141,"ComBat",0.813,0.415528396836808,2782,0.947227895480226,0.19385593220339,0.9065
"1:0",2000,0,141,"ComBat_seq",0.759,0.016202203499676,1543,0.984257132768362,0.0317090395480226,0.904
"1:0",2000,0,141,"RNABC",0.8985,0.641030763084299,5006,0.935284851694915,0.329025423728814,0.9465
"1:0",2000,0,141,"limma",0.81,0.407894736842105,2736,0.941875582627119,0.201977401129944,0.9005
"1:0",2000,0,141,"MNN",0.5755,0.425361957064403,2003,0.846808651129944,0.202612994350282,0.7335
