"ratio","n_up","n_down","seed","method","TPR_BH","FDR_BH","n_called","AUC","typeI_raw","power_raw"
"1:1",1000,1000,115,"QN",0.511,0.01256038647343,1035,0.976426765536723,0.0158898305084746,0.775
"1:1",1000,1000,115,"Angel",0.511,0.01256038647343,1035,0.976424770480226,0.0160310734463277,0.775
"1:1",1000,1000,115,"TDM",0.391,0,782,0.987085028248588,0.00338983050847458,0.7045
"1:1",1000,1000,115,"MMR",0.6825,0.0158615717375631,1387,0.971731373587571,0.0187853107344633,0.857
"1:1",1000,1000,115,"ComBat",0.8025,0.0207443563148261,1639,0.985490801553672,0.0273305084745763,0.9005
"1:1",1000,1000,115,"ComBat_seq",0.7235,0.00481430536451169,1454,0.957786723163842,0.00854519774011299,0.8365
"1:1",1000,1000,115,"RNABC",0.846,0.0386363636363636,1760,0.986671310028249,0.0470338983050847,0.9495
"1:1",1000,1000,115,"limma",0.868,0.0440528634361234,1816,0.987961599576271,0.0423022598870057,0.9495
"1:1",1000,1000,115,"MNN",0.4605,0.0284810126582278,948,0.938778813559322,0.036228813559322,0.755
"2:1",1333,667,115,"QN",0.548,0.0240427426536064,1123,0.972131091101695,0.0230225988700565,0.785
"2:1",1333,667,115,"Angel",0.548,0.0223015165031222,1121,0.972193608757062,0.0229519774011299,0.785
"2:1",1333,667,115,"TDM",0.4285,0,857,0.987276165254237,0.00324858757062147,0.726
"2:1",1333,667,115,"MMR",0.6935,0.0170092133238838,1411,0.973548516949153,0.0186440677966102,0.8645
"2:1",1333,667,115,"ComBat",0.8215,0.0530259365994236,1735,0.982887235169492,0.05,0.9255
"2:1",1333,667,115,"ComBat_seq",0.7655,0.00390370852309694,1537,0.971042761299435,0.00903954802259887,0.8785
"2:1",1333,667,115,"RNABC",0.868,0.0524017467248908,1832,0.986235416666667,0.0586864406779661,0.9575
"2:1",1333,667,115,"limma",0.866,0.0678148546824543,1858,0.984931461864407,0.0615112994350282,0.953
"2:1",1333,667,115,"MNN",0.432,0.093389296956978,953,0.906256744350282,0.0622175141242938,0.7095
"3:1",1500,500,115,"QN",0.5495,0.0590753424657534,1168,0.956561846751412,0.0478813559322034,0.778
"3:1",1500,500,115,"Angel",0.5495,0.0582690659811482,1167,0.956608615819209,0.0478813559322034,0.778
"3:1",1500,500,115,"TDM",0.447,0,894,0.988238206214689,0.00395480225988701,0.738
"3:1",1500,500,115,"MMR",0.701,0.0188943317004899,1429,0.974004519774011,0.0187146892655367,0.874
"3:1",1500,500,115,"ComBat",0.833,0.0920980926430518,1835,0.980054343220339,0.071680790960452,0.9275
"3:1",1500,500,115,"ComBat_seq",0.7915,0.00377595972309629,1589,0.976294420903955,0.00875706214689266,0.8965
"3:1",1500,500,115,"RNABC",0.871,0.126817042606516,1995,0.981134798728814,0.0997175141242938,0.955
"3:1",1500,500,115,"limma",0.8625,0.102964118564743,1923,0.981642337570621,0.0811440677966102,0.9495
"3:1",1500,500,115,"MNN",0.4415,0.105369807497467,987,0.904875564971751,0.0634887005649717,0.718
"4:1",1600,400,115,"QN",0.5455,0.110114192495922,1226,0.941562853107345,0.0724576271186441,0.7735
"4:1",1600,400,115,"Angel",0.5455,0.110114192495922,1226,0.941572899011299,0.0723870056497175,0.7735
"4:1",1600,400,115,"TDM",0.464,0,928,0.988168043785311,0.00395480225988701,0.7495
"4:1",1600,400,115,"MMR",0.72,0.0197413206262764,1469,0.973909851694915,0.0189971751412429,0.8755
"4:1",1600,400,115,"ComBat",0.8395,0.132747933884298,1936,0.977782680084746,0.0877824858757062,0.932
"4:1",1600,400,115,"ComBat_seq",0.81,0.00491400491400491,1628,0.979081091101695,0.00903954802259887,0.9085
"4:1",1600,400,115,"RNABC",0.875,0.208860759493671,2212,0.975846998587571,0.136511299435028,0.955
"4:1",1600,400,115,"limma",0.865,0.145256916996047,2024,0.978839848163842,0.0961158192090396,0.9455
"4:1",1600,400,115,"MNN",0.4395,0.109422492401216,987,0.898449046610169,0.0680790960451977,0.7035
"9:1",1800,200,115,"QN",0.538,0.284098469727212,1503,0.904371769067797,0.140042372881356,0.744
"9:1",1800,200,115,"Angel",0.538,0.284098469727212,1503,0.90437563559322,0.140042372881356,0.744
"9:1",1800,200,115,"TDM",0.482,0,964,0.988462923728814,0.00360169491525424,0.751
"9:1",1800,200,115,"MMR",0.721,0.0197144799456152,1471,0.975130225988701,0.019138418079096,0.8715
"9:1",1800,200,115,"ComBat",0.8355,0.227104532839963,2162,0.97094885240113,0.119562146892655,0.931
"9:1",1800,200,115,"ComBat_seq",0.8185,0.00486322188449848,1645,0.984188700564972,0.00896892655367232,0.9255
"9:1",1800,200,115,"RNABC",0.879,0.419610432485969,3029,0.962104007768362,0.215254237288136,0.951
"9:1",1800,200,115,"limma",0.8465,0.227293473299863,2191,0.970612323446328,0.127683615819209,0.933
"9:1",1800,200,115,"MNN",0.37,0.145496535796767,866,0.878839442090395,0.0771892655367232,0.6685
"1:0",2000,0,115,"QN",0.5445,0.539145154464664,2363,0.853249435028249,0.232980225988701,0.7315
"1:0",2000,0,115,"Angel",0.5445,0.539145154464664,2363,0.85325988700565,0.232980225988701,0.7315
"1:0",2000,0,115,"TDM",0.507,0,1014,0.989128566384181,0.00360169491525424,0.767
"1:0",2000,0,115,"MMR",0.728,0.0195286195286195,1485,0.976208651129943,0.0193502824858757,0.8745
"1:0",2000,0,115,"ComBat",0.843,0.347775628626692,2585,0.96253239759887,0.161511299435028,0.9315
"1:0",2000,0,115,"ComBat_seq",0.8395,0.00415183867141162,1686,0.99380197740113,0.00889830508474576,0.947
"1:0",2000,0,115,"RNABC",0.89,0.611523352247927,4582,0.938744721045198,0.308121468926554,0.945
"1:0",2000,0,115,"limma",0.8365,0.345973416731822,2558,0.958371927966102,0.167372881355932,0.9245
"1:0",2000,0,115,"MNN",0.3625,0.139810426540284,844,0.875742955508475,0.0769067796610169,0.6495
