"ratio","n_up","n_down","seed","method","TPR_BH","FDR_BH","n_called","AUC","typeI_raw","power_raw"
"1:1",1000,1000,117,"XPN",0.8745,0.120663650075415,1989,0.973736052259887,0.0971045197740113,0.9355
"2:1",1333,667,117,"XPN",0.878,0.122,2000,0.971959269067797,0.0955508474576271,0.9325
"3:1",1500,500,117,"XPN",0.873,0.137777777777778,2025,0.96881989759887,0.100282485875706,0.928
"4:1",1600,400,117,"XPN",0.8715,0.150584795321637,2052,0.965966596045198,0.107697740112994,0.924
"9:1",1800,200,117,"XPN",0.8715,0.159594985535198,2074,0.966729025423729,0.111440677966102,0.929
"1:0",2000,0,117,"XPN",0.8805,0.16262482168331,2103,0.967417372881356,0.114265536723164,0.9285
