"ratio","n_up","n_down","seed","method","TPR_BH","FDR_BH","n_called","AUC","typeI_raw","power_raw"
"1:1",1000,1000,106,"XPN",0.863,0.0432372505543237,1804,0.985185416666667,0.0528954802259887,0.944
"2:1",1333,667,106,"XPN",0.84,0.0933621154883972,1853,0.980399611581921,0.067725988700565,0.9365
"3:1",1500,500,106,"XPN",0.841,0.0833787465940054,1835,0.979186899717514,0.0656779661016949,0.932
"4:1",1600,400,106,"XPN",0.8305,0.117428267800213,1882,0.977263629943503,0.0757062146892655,0.931
"9:1",1800,200,106,"XPN",0.8065,0.0638421358096344,1723,0.978345162429379,0.0588983050847458,0.922
"1:0",2000,0,106,"XPN",0.8025,0.100336322869955,1784,0.974329625706215,0.0703389830508475,0.913
