"ratio","n_up","n_down","seed","method","TPR_BH","FDR_BH","n_called","AUC","typeI_raw","power_raw"
"1:1",1000,1000,104,"XPN",0.8655,0.0198187995469989,1766,0.990872528248588,0.0274011299435028,0.9535
"2:1",1333,667,104,"XPN",0.8845,0.0177679067184897,1801,0.992123834745763,0.0285310734463277,0.9615
"3:1",1500,500,104,"XPN",0.888,0.0176991150442478,1808,0.991700247175141,0.0280367231638418,0.96
"4:1",1600,400,104,"XPN",0.8875,0.0241891148982958,1819,0.99194738700565,0.0293079096045198,0.962
"9:1",1800,200,104,"XPN",0.8915,0.0176308539944904,1815,0.992532026836158,0.0246468926553672,0.961
"1:0",2000,0,104,"XPN",0.896,0.0170049369171695,1823,0.992942690677966,0.0259887005649717,0.9685
