"level","total","ratio","n_up","n_down","seed","method","Type_I_error","Power","Power_up","Power_down","secs"
"500_1:1",500,"1:1",250,250,117,"XPN",0.0881864623243934,0.948,0.94,0.956,295.5
"1000_1:1",1000,"1:1",500,500,117,"XPN",0.0928100263852243,0.927,0.936,0.918,308.3
"2000_1:1",2000,"1:1",1000,1000,117,"XPN",0.0971045197740113,0.9355,0.94,0.931,333.3
"4000_1:1",4000,"1:1",2000,2000,117,"XPN",0.105263157894737,0.93525,0.932,0.9385,271.8
"500_2:1",500,"2:1",333,167,117,"XPN",0.0861430395913155,0.944,0.936936936936937,0.958083832335329,296.2
"1000_2:1",1000,"2:1",667,333,117,"XPN",0.0911609498680739,0.933,0.940029985007496,0.918918918918919,250.6
"2000_2:1",2000,"2:1",1333,667,117,"XPN",0.0955508474576271,0.9325,0.933233308327082,0.931034482758621,279.8
"4000_2:1",4000,"2:1",2667,1333,117,"XPN",0.151233552631579,0.9355,0.938132733408324,0.930232558139535,274.5
"500_4:1",500,"4:1",400,100,117,"XPN",0.0879310344827586,0.948,0.9425,0.97,286.9
"1000_4:1",1000,"4:1",800,200,117,"XPN",0.0849604221635884,0.94,0.9475,0.91,287
"2000_4:1",2000,"4:1",1600,400,117,"XPN",0.107697740112994,0.924,0.926875,0.9125,299
"4000_4:1",4000,"4:1",3200,800,117,"XPN",0.172450657894737,0.93275,0.93625,0.91875,278.2
