"level","total","ratio","n_up","n_down","seed","method","Type_I_error","Power","Power_up","Power_down","secs"
"500_1:1",500,"1:1",250,250,191,"QN",0.00223499361430396,0.8,0.816,0.784,54.5
"500_1:1",500,"1:1",250,250,191,"Angel",0.00229885057471264,0.8,0.816,0.784,55
"500_1:1",500,"1:1",250,250,191,"TDM",0.000957854406130268,0.758,0.78,0.736,65.9
"500_1:1",500,"1:1",250,250,191,"MMR",0.00229885057471264,0.842,0.88,0.804,48.4
"500_1:1",500,"1:1",250,250,191,"ComBat",0.00708812260536398,0.954,0.936,0.972,53.2
"500_1:1",500,"1:1",250,250,191,"ComBat_seq",0.00268199233716475,0.936,0.94,0.932,91
"500_1:1",500,"1:1",250,250,191,"RNABC",0.00683269476372925,0.954,0.94,0.968,51.1
"500_1:1",500,"1:1",250,250,191,"limma",0.0101532567049808,0.954,0.936,0.972,48.4
"500_1:1",500,"1:1",250,250,191,"MNN",0.00734355044699872,0.902,0.888,0.916,52.6
"1000_1:1",1000,"1:1",500,500,191,"QN",0.00296833773087071,0.788,0.798,0.778,49
"1000_1:1",1000,"1:1",500,500,191,"Angel",0.00296833773087071,0.788,0.798,0.778,50.4
"1000_1:1",1000,"1:1",500,500,191,"TDM",0.000857519788918206,0.754,0.78,0.728,62.2
"1000_1:1",1000,"1:1",500,500,191,"MMR",0.00224274406332454,0.852,0.902,0.802,46.7
"1000_1:1",1000,"1:1",500,500,191,"ComBat",0.00751978891820581,0.946,0.954,0.938,50.6
"1000_1:1",1000,"1:1",500,500,191,"ComBat_seq",0.00257255936675462,0.929,0.946,0.912,88.7
"1000_1:1",1000,"1:1",500,500,191,"RNABC",0.00771767810026385,0.945,0.954,0.936,49.1
"1000_1:1",1000,"1:1",500,500,191,"limma",0.0108179419525066,0.947,0.952,0.942,49.5
"1000_1:1",1000,"1:1",500,500,191,"MNN",0.0282321899736148,0.821,0.856,0.786,52.7
"2000_1:1",2000,"1:1",1000,1000,191,"QN",0.00557909604519774,0.768,0.772,0.764,50
"2000_1:1",2000,"1:1",1000,1000,191,"Angel",0.00557909604519774,0.7685,0.773,0.764,51.4
"2000_1:1",2000,"1:1",1000,1000,191,"TDM",0.000847457627118644,0.715,0.767,0.663,63.9
"2000_1:1",2000,"1:1",1000,1000,191,"MMR",0.00233050847457627,0.7775,0.888,0.667,47.9
"2000_1:1",2000,"1:1",1000,1000,191,"ComBat",0.0117937853107345,0.909,0.955,0.863,51
"2000_1:1",2000,"1:1",1000,1000,191,"ComBat_seq",0.00254237288135593,0.8315,0.952,0.711,92.9
"2000_1:1",2000,"1:1",1000,1000,191,"RNABC",0.0117231638418079,0.95,0.948,0.952,55.2
"2000_1:1",2000,"1:1",1000,1000,191,"limma",0.0153248587570621,0.9535,0.95,0.957,52.9
"2000_1:1",2000,"1:1",1000,1000,191,"MNN",0.0338983050847458,0.8325,0.851,0.814,55.8
"4000_1:1",4000,"1:1",2000,2000,191,"QN",0.00559210526315789,0.80275,0.77,0.8355,52.1
"4000_1:1",4000,"1:1",2000,2000,191,"Angel",0.00559210526315789,0.803,0.77,0.836,54.5
"4000_1:1",4000,"1:1",2000,2000,191,"TDM",0.000740131578947368,0.72925,0.773,0.6855,67.1
"4000_1:1",4000,"1:1",2000,2000,191,"MMR",0.00254934210526316,0.773,0.892,0.654,50.5
