"level","total","ratio","n_up","n_down","seed","method","Type_I_error","Power","Power_up","Power_down","secs"
"500_1:1",500,"1:1",250,250,109,"XPN",0.0416347381864623,0.948,0.956,0.94,277.8
"1000_1:1",1000,"1:1",500,500,109,"XPN",0.0536279683377309,0.952,0.966,0.938,276.4
"2000_1:1",2000,"1:1",1000,1000,109,"XPN",0.0386299435028249,0.933,0.959,0.907,278
"4000_1:1",4000,"1:1",2000,2000,109,"XPN",0.0541118421052632,0.935,0.9595,0.9105,304.8
"500_2:1",500,"2:1",333,167,109,"XPN",0.0415708812260536,0.96,0.960960960960961,0.958083832335329,286.3
"1000_2:1",1000,"2:1",667,333,109,"XPN",0.0513852242744063,0.953,0.956521739130435,0.945945945945946,275.9
"2000_2:1",2000,"2:1",1333,667,109,"XPN",0.054590395480226,0.939,0.955738934733683,0.905547226386807,272.5
"4000_2:1",4000,"2:1",2667,1333,109,"XPN",0.126891447368421,0.93475,0.953880764904387,0.896474118529632,292.8
"500_4:1",500,"4:1",400,100,109,"XPN",0.0477011494252874,0.96,0.9675,0.93,291.9
"1000_4:1",1000,"4:1",800,200,109,"XPN",0.0480870712401055,0.955,0.95875,0.94,288.3
"2000_4:1",2000,"4:1",1600,400,109,"XPN",0.048728813559322,0.9425,0.9525,0.9025,296.1
"4000_4:1",4000,"4:1",3200,800,109,"XPN",0.101480263157895,0.94525,0.956875,0.89875,292.6
