"level","total","ratio","n_up","n_down","seed","method","Type_I_error","Power","Power_up","Power_down","secs"
"500_1:1",500,"1:1",250,250,160,"QN",0.0390804597701149,0.762,0.78,0.744,78.1
"500_1:1",500,"1:1",250,250,160,"Angel",0.0390166028097063,0.764,0.78,0.748,80.4
"500_1:1",500,"1:1",250,250,160,"TDM",0.0422094508301405,0.72,0.828,0.612,94.4
"500_1:1",500,"1:1",250,250,160,"MMR",0.220498084291188,0.764,0.848,0.68,74.2
"500_1:1",500,"1:1",250,250,160,"ComBat",0.150830140485313,0.876,0.852,0.9,82.6
"500_1:1",500,"1:1",250,250,160,"ComBat_seq",0.140357598978289,0.858,0.884,0.832,135.4
"500_1:1",500,"1:1",250,250,160,"RNABC",0.160025542784163,0.882,0.86,0.904,75.6
"500_1:1",500,"1:1",250,250,160,"limma",0.162068965517241,0.874,0.856,0.892,74.8
"500_1:1",500,"1:1",250,250,160,"MNN",0.11992337164751,0.854,0.876,0.832,74.5
"1000_1:1",1000,"1:1",500,500,160,"QN",0.0383905013192612,0.77,0.782,0.758,71.9
"1000_1:1",1000,"1:1",500,500,160,"Angel",0.0383905013192612,0.769,0.782,0.756,71.6
"1000_1:1",1000,"1:1",500,500,160,"TDM",0.0420844327176781,0.717,0.81,0.624,85.7
"1000_1:1",1000,"1:1",500,500,160,"MMR",0.21754617414248,0.785,0.866,0.704,66.8
"1000_1:1",1000,"1:1",500,500,160,"ComBat",0.148746701846966,0.901,0.878,0.924,73.1
"1000_1:1",1000,"1:1",500,500,160,"ComBat_seq",0.137401055408971,0.884,0.908,0.86,109.4
"1000_1:1",1000,"1:1",500,500,160,"RNABC",0.156332453825858,0.896,0.876,0.916,61.8
"1000_1:1",1000,"1:1",500,500,160,"limma",0.158311345646438,0.896,0.882,0.91,62.4
"1000_1:1",1000,"1:1",500,500,160,"MNN",0.13245382585752,0.85,0.866,0.834,63.9
"2000_1:1",2000,"1:1",1000,1000,160,"QN",0.0410310734463277,0.748,0.751,0.745,61.1
"2000_1:1",2000,"1:1",1000,1000,160,"Angel",0.0410310734463277,0.748,0.751,0.745,62.8
"2000_1:1",2000,"1:1",1000,1000,160,"TDM",0.0418079096045198,0.686,0.807,0.565,76.1
"2000_1:1",2000,"1:1",1000,1000,160,"MMR",0.217937853107345,0.7005,0.849,0.552,59.1
"2000_1:1",2000,"1:1",1000,1000,160,"ComBat",0.142584745762712,0.8465,0.868,0.825,62
"2000_1:1",2000,"1:1",1000,1000,160,"ComBat_seq",0.137570621468927,0.7675,0.89,0.645,105.8
"2000_1:1",2000,"1:1",1000,1000,160,"RNABC",0.152330508474576,0.8895,0.866,0.913,62.1
"2000_1:1",2000,"1:1",1000,1000,160,"limma",0.155367231638418,0.892,0.867,0.917,62.4
"2000_1:1",2000,"1:1",1000,1000,160,"MNN",0.190254237288136,0.842,0.848,0.836,63.8
"4000_1:1",4000,"1:1",2000,2000,160,"QN",0.0426809210526316,0.80075,0.7605,0.841,60.2
