"level","total","ratio","n_up","n_down","seed","method","Type_I_error","Power","Power_up","Power_down","secs"
"500_1:1",500,"1:1",250,250,178,"QN",0.0125159642401022,0.802,0.804,0.8,52.4
"500_1:1",500,"1:1",250,250,178,"Angel",0.0125159642401022,0.802,0.804,0.8,53.4
"500_1:1",500,"1:1",250,250,178,"TDM",0.00530012771392082,0.762,0.752,0.772,64.3
"500_1:1",500,"1:1",250,250,178,"MMR",0.0126436781609195,0.838,0.82,0.856,50.3
"500_1:1",500,"1:1",250,250,178,"ComBat",0.0336526181353768,0.944,0.944,0.944,55.7
"500_1:1",500,"1:1",250,250,178,"ComBat_seq",0.0179438058748404,0.928,0.932,0.924,92.4
"500_1:1",500,"1:1",250,250,178,"RNABC",0.0410600255427842,0.948,0.94,0.956,50.6
"500_1:1",500,"1:1",250,250,178,"limma",0.0462324393358876,0.94,0.936,0.944,50.2
"500_1:1",500,"1:1",250,250,178,"MNN",0.0337164750957854,0.864,0.848,0.88,53.9
"1000_1:1",1000,"1:1",500,500,178,"QN",0.0143139841688654,0.782,0.802,0.762,50.2
"1000_1:1",1000,"1:1",500,500,178,"Angel",0.0144459102902375,0.782,0.802,0.762,51.4
"1000_1:1",1000,"1:1",500,500,178,"TDM",0.00534300791556728,0.755,0.754,0.756,63.8
"1000_1:1",1000,"1:1",500,500,178,"MMR",0.012467018469657,0.841,0.82,0.862,48.1
"1000_1:1",1000,"1:1",500,500,178,"ComBat",0.0342348284960422,0.947,0.952,0.942,50.9
"1000_1:1",1000,"1:1",500,500,178,"ComBat_seq",0.0175461741424802,0.93,0.926,0.934,92.8
"1000_1:1",1000,"1:1",500,500,178,"RNABC",0.0465699208443272,0.946,0.944,0.948,50.9
"1000_1:1",1000,"1:1",500,500,178,"limma",0.0467678100263852,0.944,0.95,0.938,51.9
"1000_1:1",1000,"1:1",500,500,178,"MNN",0.109366754617414,0.684,0.672,0.696,52.7
"2000_1:1",2000,"1:1",1000,1000,178,"QN",0.0228107344632768,0.7475,0.775,0.72,50.2
"2000_1:1",2000,"1:1",1000,1000,178,"Angel",0.0228107344632768,0.7475,0.775,0.72,51.6
"2000_1:1",2000,"1:1",1000,1000,178,"TDM",0.00515536723163842,0.6885,0.734,0.643,64.8
"2000_1:1",2000,"1:1",1000,1000,178,"MMR",0.0114406779661017,0.76,0.816,0.704,48.6
"2000_1:1",2000,"1:1",1000,1000,178,"ComBat",0.0403954802259887,0.894,0.942,0.846,51.9
"2000_1:1",2000,"1:1",1000,1000,178,"ComBat_seq",0.0175847457627119,0.8215,0.924,0.719,90.1
"2000_1:1",2000,"1:1",1000,1000,178,"RNABC",0.0565677966101695,0.929,0.934,0.924,50.6
"2000_1:1",2000,"1:1",1000,1000,178,"limma",0.053954802259887,0.939,0.946,0.932,51.6
"2000_1:1",2000,"1:1",1000,1000,178,"MNN",0.116172316384181,0.8885,0.897,0.88,53.2
"4000_1:1",4000,"1:1",2000,2000,178,"QN",0.0182565789473684,0.788,0.7665,0.8095,51.5
"4000_1:1",4000,"1:1",2000,2000,178,"Angel",0.0184210526315789,0.788,0.766,0.81,51.4
"4000_1:1",4000,"1:1",2000,2000,178,"TDM",0.00476973684210526,0.70375,0.741,0.6665,64.4
"4000_1:1",4000,"1:1",2000,2000,178,"MMR",0.0117598684210526,0.76725,0.8355,0.699,48.9
"4000_1:1",4000,"1:1",2000,2000,178,"ComBat",0.0553453947368421,0.87375,0.9355,0.812,51.9
"4000_1:1",4000,"1:1",2000,2000,178,"ComBat_seq",0.0167763157894737,0.8075,0.921,0.694,90.6
"4000_1:1",4000,"1:1",2000,2000,178,"RNABC",0.0602796052631579,0.946,0.9325,0.9595,50.7
"4000_1:1",4000,"1:1",2000,2000,178,"limma",0.0702302631578947,0.94225,0.9385,0.946,51.3
"4000_1:1",4000,"1:1",2000,2000,178,"MNN",0.0791118421052632,0.82575,0.834,0.8175,52.7
"500_2:1",500,"2:1",333,167,178,"QN",0.0118135376756066,0.796,0.804804804804805,0.778443113772455,50.1
"500_2:1",500,"2:1",333,167,178,"Angel",0.0118135376756066,0.796,0.804804804804805,0.778443113772455,51.5
"500_2:1",500,"2:1",333,167,178,"TDM",0.00530012771392082,0.762,0.768768768768769,0.748502994011976,63.9
"500_2:1",500,"2:1",333,167,178,"MMR",0.0125798212005109,0.84,0.840840840840841,0.838323353293413,48
"500_2:1",500,"2:1",333,167,178,"ComBat",0.0353767560664112,0.956,0.951951951951952,0.964071856287425,51.1
"500_2:1",500,"2:1",333,167,178,"ComBat_seq",0.0177522349936143,0.942,0.942942942942943,0.940119760479042,90.5
"500_2:1",500,"2:1",333,167,178,"RNABC",0.0395913154533844,0.95,0.942942942942943,0.964071856287425,52.5
"500_2:1",500,"2:1",333,167,178,"limma",0.0481481481481481,0.946,0.942942942942943,0.952095808383233,50.3
"500_2:1",500,"2:1",333,167,178,"MNN",0.0349297573435504,0.848,0.828828828828829,0.88622754491018,53.7
"1000_2:1",1000,"2:1",667,333,178,"QN",0.0139841688654354,0.78,0.779610194902549,0.780780780780781,50.4
"1000_2:1",1000,"2:1",667,333,178,"Angel",0.0139841688654354,0.78,0.779610194902549,0.780780780780781,51.9
"1000_2:1",1000,"2:1",667,333,178,"TDM",0.00521108179419525,0.754,0.737631184407796,0.786786786786787,63.5
"1000_2:1",1000,"2:1",667,333,178,"MMR",0.012598944591029,0.838,0.826086956521739,0.861861861861862,49.4
"1000_2:1",1000,"2:1",667,333,178,"ComBat",0.0405672823218997,0.949,0.947526236881559,0.951951951951952,51.8
