"level","total","ratio","n_up","n_down","seed","method","Type_I_error","Power","Power_up","Power_down","secs"
"500_1:1",500,"1:1",250,250,189,"XPN",0.037037037037037,0.93,0.916,0.944,218.6
"1000_1:1",1000,"1:1",500,500,189,"XPN",0.0330474934036939,0.947,0.934,0.96,205
"2000_1:1",2000,"1:1",1000,1000,189,"XPN",0.0356638418079096,0.939,0.929,0.949,229.1
"4000_1:1",4000,"1:1",2000,2000,189,"XPN",0.0461348684210526,0.9445,0.9355,0.9535,223.6
"500_2:1",500,"2:1",333,167,189,"XPN",0.0365900383141762,0.93,0.918918918918919,0.952095808383233,235.9
"1000_2:1",1000,"2:1",667,333,189,"XPN",0.0325857519788918,0.94,0.926536731634183,0.966966966966967,205.4
"2000_2:1",2000,"2:1",1333,667,189,"XPN",0.0353107344632768,0.936,0.928732183045761,0.950524737631184,218.6
"4000_2:1",4000,"2:1",2667,1333,189,"XPN",0.0638980263157895,0.931,0.931758530183727,0.929482370592648,223.1
"500_4:1",500,"4:1",400,100,189,"XPN",0.0378033205619413,0.926,0.9275,0.92,225.5
"1000_4:1",1000,"4:1",800,200,189,"XPN",0.0294195250659631,0.933,0.92625,0.96,209.4
"2000_4:1",2000,"4:1",1600,400,189,"XPN",0.0350988700564972,0.927,0.921875,0.9475,229.2
"4000_4:1",4000,"4:1",3200,800,189,"XPN",0.0911184210526316,0.926,0.9275,0.92,215.7
