"level","total","ratio","n_up","n_down","seed","method","Type_I_error","Power","Power_up","Power_down","secs"
"500_1:1",500,"1:1",250,250,188,"XPN",0.0337803320561941,0.942,0.964,0.92,253.9
"1000_1:1",1000,"1:1",500,500,188,"XPN",0.0324538258575198,0.954,0.974,0.934,225.2
"2000_1:1",2000,"1:1",1000,1000,188,"XPN",0.0353813559322034,0.9515,0.973,0.93,215.2
"4000_1:1",4000,"1:1",2000,2000,188,"XPN",0.0696546052631579,0.938,0.9585,0.9175,212.9
"500_2:1",500,"2:1",333,167,188,"XPN",0.034610472541507,0.952,0.96996996996997,0.916167664670659,246.4
"1000_2:1",1000,"2:1",667,333,188,"XPN",0.0319920844327177,0.967,0.971514242878561,0.957957957957958,219.5
"2000_2:1",2000,"2:1",1333,667,188,"XPN",0.0332627118644068,0.957,0.971492873218305,0.928035982008996,222.5
"4000_2:1",4000,"2:1",2667,1333,188,"XPN",0.0821546052631579,0.943,0.958755155605549,0.911477869467367,208.4
"500_4:1",500,"4:1",400,100,188,"XPN",0.0343550446998723,0.962,0.9725,0.92,243.7
"1000_4:1",1000,"4:1",800,200,188,"XPN",0.0308707124010554,0.974,0.97375,0.975,204.2
"2000_4:1",2000,"4:1",1600,400,188,"XPN",0.0378531073446328,0.9585,0.969375,0.915,210.2
"4000_4:1",4000,"4:1",3200,800,188,"XPN",0.075,0.946,0.955625,0.9075,207.3
