"level","total","ratio","n_up","n_down","seed","method","Type_I_error","Power","Power_up","Power_down","secs"
"500_1:1",500,"1:1",250,250,115,"XPN",0.0309067688378033,0.954,0.944,0.964,292.5
"1000_1:1",1000,"1:1",500,500,115,"XPN",0.0364116094986807,0.943,0.946,0.94,267.4
"2000_1:1",2000,"1:1",1000,1000,115,"XPN",0.0449858757062147,0.9555,0.96,0.951,253.5
"4000_1:1",4000,"1:1",2000,2000,115,"XPN",0.111348684210526,0.92925,0.946,0.9125,282.1
"500_2:1",500,"2:1",333,167,115,"XPN",0.0305236270753512,0.94,0.933933933933934,0.952095808383233,275.2
"1000_2:1",1000,"2:1",667,333,115,"XPN",0.0367414248021108,0.955,0.952023988005997,0.960960960960961,270.7
"2000_2:1",2000,"2:1",1333,667,115,"XPN",0.0575564971751412,0.9555,0.95648912228057,0.95352323838081,262.2
"4000_2:1",4000,"2:1",2667,1333,115,"XPN",0.189802631578947,0.92775,0.942257217847769,0.898724681170293,274.3
"500_4:1",500,"4:1",400,100,115,"XPN",0.0328863346104725,0.936,0.935,0.94,293.7
"1000_4:1",1000,"4:1",800,200,115,"XPN",0.0379947229551451,0.955,0.95625,0.95,278.1
"2000_4:1",2000,"4:1",1600,400,115,"XPN",0.0452683615819209,0.955,0.955625,0.9525,275.8
"4000_4:1",4000,"4:1",3200,800,115,"XPN",0.183388157894737,0.92775,0.9378125,0.8875,258.4
