"level","total","ratio","n_up","n_down","seed","method","Type_I_error","Power","Power_up","Power_down","secs"
"1000_2:1",1000,"2:1",667,333,176,"ComBat_seq",0.0172823218997361,0.925,0.926536731634183,0.921921921921922,92.8
"1000_2:1",1000,"2:1",667,333,176,"RNABC",0.0387862796833773,0.944,0.946026986506747,0.93993993993994,50.1
"1000_2:1",1000,"2:1",667,333,176,"limma",0.0441952506596306,0.941,0.941529235382309,0.93993993993994,49.9
"1000_2:1",1000,"2:1",667,333,176,"MNN",0.0396437994722955,0.805,0.799100449775112,0.816816816816817,53.2
"2000_2:1",2000,"2:1",1333,667,176,"QN",0.0206920903954802,0.78,0.762190547636909,0.815592203898051,49.6
"2000_2:1",2000,"2:1",1333,667,176,"Angel",0.0206920903954802,0.7795,0.762190547636909,0.814092953523238,51.2
"2000_2:1",2000,"2:1",1333,667,176,"TDM",0.00480225988700565,0.7085,0.723930982745686,0.677661169415292,63.8
"2000_2:1",2000,"2:1",1333,667,176,"MMR",0.0248587570621469,0.7815,0.81695423855964,0.710644677661169,47.7
"2000_2:1",2000,"2:1",1333,667,176,"ComBat",0.0740819209039548,0.9075,0.933233308327082,0.856071964017991,50.6
"2000_2:1",2000,"2:1",1333,667,176,"ComBat_seq",0.0175141242937853,0.8555,0.925731432858215,0.715142428785607,95.1
"2000_2:1",2000,"2:1",1333,667,176,"RNABC",0.0605932203389831,0.937,0.939234808702176,0.932533733133433,50.2
"2000_2:1",2000,"2:1",1333,667,176,"limma",0.0748587570621469,0.9355,0.932483120780195,0.941529235382309,50
"2000_2:1",2000,"2:1",1333,667,176,"MNN",0.0886299435028249,0.7405,0.753188297074269,0.715142428785607,53.1
"4000_2:1",4000,"2:1",2667,1333,176,"QN",0.243338815789474,0.784,0.756655418072741,0.838709677419355,50
"4000_2:1",4000,"2:1",2667,1333,176,"Angel",0.243092105263158,0.784,0.756655418072741,0.838709677419355,51.4
"4000_2:1",4000,"2:1",2667,1333,176,"TDM",0.00444078947368421,0.729,0.758530183727034,0.669917479369842,64.5
"4000_2:1",4000,"2:1",2667,1333,176,"MMR",0.0257401315789474,0.7935,0.850393700787402,0.67966991747937,47.8
"4000_2:1",4000,"2:1",2667,1333,176,"ComBat",0.187911184210526,0.89825,0.936257967754031,0.822205551387847,51.7
"4000_2:1",4000,"2:1",2667,1333,176,"ComBat_seq",0.0182565789473684,0.84725,0.938882639670041,0.663915978994749,94.8
"4000_2:1",4000,"2:1",2667,1333,176,"RNABC",0.363898026315789,0.9405,0.948256467941507,0.924981245311328,50.5
"4000_2:1",4000,"2:1",2667,1333,176,"limma",0.190542763157895,0.9345,0.932883389576303,0.937734433608402,50.1
"4000_2:1",4000,"2:1",2667,1333,176,"MNN",0.287993421052632,0.688,0.717285339332583,0.629407351837959,53.4
"500_4:1",500,"4:1",400,100,176,"QN",0.0086845466155811,0.808,0.805,0.82,49.7
"500_4:1",500,"4:1",400,100,176,"Angel",0.0086845466155811,0.808,0.805,0.82,51.2
"500_4:1",500,"4:1",400,100,176,"TDM",0.00517241379310345,0.746,0.74,0.77,62.8
"500_4:1",500,"4:1",400,100,176,"MMR",0.0246487867177522,0.84,0.8325,0.87,48.7
"500_4:1",500,"4:1",400,100,176,"ComBat",0.0398467432950192,0.95,0.945,0.97,50.5
"500_4:1",500,"4:1",400,100,176,"ComBat_seq",0.0168582375478927,0.94,0.945,0.92,91.3
"500_4:1",500,"4:1",400,100,176,"RNABC",0.0359514687100894,0.946,0.945,0.95,51.1
"500_4:1",500,"4:1",400,100,176,"limma",0.041507024265645,0.948,0.9475,0.95,49.8
"500_4:1",500,"4:1",400,100,176,"MNN",0.0309067688378033,0.85,0.8575,0.82,53.3
"1000_4:1",1000,"4:1",800,200,176,"QN",0.0122031662269129,0.771,0.76375,0.8,49.4
"1000_4:1",1000,"4:1",800,200,176,"Angel",0.0122031662269129,0.771,0.76375,0.8,51.3
"1000_4:1",1000,"4:1",800,200,176,"TDM",0.00507915567282322,0.725,0.7075,0.795,63.3
"1000_4:1",1000,"4:1",800,200,176,"MMR",0.0243403693931398,0.824,0.82,0.84,47.7
"1000_4:1",1000,"4:1",800,200,176,"ComBat",0.0544854881266491,0.943,0.93875,0.96,51.1
"1000_4:1",1000,"4:1",800,200,176,"ComBat_seq",0.0175461741424802,0.932,0.93125,0.935,91.3
"1000_4:1",1000,"4:1",800,200,176,"RNABC",0.0432058047493404,0.942,0.9425,0.94,50.4
"1000_4:1",1000,"4:1",800,200,176,"limma",0.0554089709762533,0.941,0.93625,0.96,49.8
"1000_4:1",1000,"4:1",800,200,176,"MNN",0.0763192612137203,0.82,0.8275,0.79,53.4
"2000_4:1",2000,"4:1",1600,400,176,"QN",0.0655367231638418,0.7645,0.74625,0.8375,49.7
"2000_4:1",2000,"4:1",1600,400,176,"Angel",0.0655367231638418,0.764,0.74625,0.835,51.2
"2000_4:1",2000,"4:1",1600,400,176,"TDM",0.00508474576271186,0.7215,0.733125,0.675,63.6
"2000_4:1",2000,"4:1",1600,400,176,"MMR",0.0251412429378531,0.798,0.8225,0.7,49
"2000_4:1",2000,"4:1",1600,400,176,"ComBat",0.116666666666667,0.9125,0.926875,0.855,51.2
"2000_4:1",2000,"4:1",1600,400,176,"ComBat_seq",0.0180084745762712,0.883,0.926875,0.7075,91.3
"2000_4:1",2000,"4:1",1600,400,176,"RNABC",0.137358757062147,0.936,0.94,0.92,51.5
"2000_4:1",2000,"4:1",1600,400,176,"limma",0.116242937853107,0.9285,0.925625,0.94,49.9
"2000_4:1",2000,"4:1",1600,400,176,"MNN",0.16045197740113,0.737,0.73875,0.73,53.6
"4000_4:1",4000,"4:1",3200,800,176,"QN",0.395394736842105,0.75075,0.7253125,0.8525,50.8
"4000_4:1",4000,"4:1",3200,800,176,"Angel",0.395394736842105,0.751,0.725625,0.8525,50.6
"4000_4:1",4000,"4:1",3200,800,176,"TDM",0.00476973684210526,0.74325,0.7640625,0.66,64.8
"4000_4:1",4000,"4:1",3200,800,176,"MMR",0.0258223684210526,0.81725,0.8525,0.67625,48.1
"4000_4:1",4000,"4:1",3200,800,176,"ComBat",0.270805921052632,0.90625,0.921875,0.84375,51
"4000_4:1",4000,"4:1",3200,800,176,"ComBat_seq",0.021875,0.88275,0.9384375,0.66,93.4
"4000_4:1",4000,"4:1",3200,800,176,"RNABC",0.453453947368421,0.9435,0.94625,0.9325,51.1
"4000_4:1",4000,"4:1",3200,800,176,"limma",0.275328947368421,0.92225,0.9159375,0.9475,49.1
"4000_4:1",4000,"4:1",3200,800,176,"MNN",0.282894736842105,0.59375,0.6040625,0.5525,51.7
