"level","total","ratio","n_up","n_down","seed","method","Type_I_error","Power","Power_up","Power_down","secs"
"500_1:1",500,"1:1",250,250,140,"XPN",0.0284802043422733,0.942,0.972,0.912,286.7
"1000_1:1",1000,"1:1",500,500,140,"XPN",0.0314643799472296,0.952,0.984,0.92,274.5
"2000_1:1",2000,"1:1",1000,1000,140,"XPN",0.0274011299435028,0.9375,0.981,0.894,311.5
"4000_1:1",4000,"1:1",2000,2000,140,"XPN",0.0388157894736842,0.946,0.973,0.919,296.1
"500_2:1",500,"2:1",333,167,140,"XPN",0.0280970625798212,0.96,0.978978978978979,0.922155688622755,277.6
"1000_2:1",1000,"2:1",667,333,140,"XPN",0.0277044854881266,0.959,0.979010494752624,0.918918918918919,278.6
"2000_2:1",2000,"2:1",1333,667,140,"XPN",0.025,0.9555,0.979744936234059,0.907046476761619,283.8
"4000_2:1",4000,"2:1",2667,1333,140,"XPN",0.0733552631578947,0.94025,0.967004124484439,0.886721680420105,281.5
"500_4:1",500,"4:1",400,100,140,"XPN",0.0269476372924649,0.966,0.985,0.89,271.3
"1000_4:1",1000,"4:1",800,200,140,"XPN",0.0283641160949868,0.971,0.98,0.935,296.9
"2000_4:1",2000,"4:1",1600,400,140,"XPN",0.0261299435028249,0.964,0.97625,0.915,291.9
"4000_4:1",4000,"4:1",3200,800,140,"XPN",0.0691611842105263,0.9485,0.961875,0.895,271.2
