"level","total","ratio","n_up","n_down","seed","method","Type_I_error","Power","Power_up","Power_down","secs"
"500_1:1",500,"1:1",250,250,107,"XPN",0.173499361430396,0.92,0.88,0.96,271.9
"1000_1:1",1000,"1:1",500,500,107,"XPN",0.161015831134565,0.911,0.89,0.932,266.5
"2000_1:1",2000,"1:1",1000,1000,107,"XPN",0.168290960451977,0.909,0.876,0.942,280.7
"4000_1:1",4000,"1:1",2000,2000,107,"XPN",0.173026315789474,0.8935,0.8715,0.9155,245.3
"500_2:1",500,"2:1",333,167,107,"XPN",0.182311621966794,0.908,0.876876876876877,0.970059880239521,298.3
"1000_2:1",1000,"2:1",667,333,107,"XPN",0.169327176781003,0.897,0.87856071964018,0.933933933933934,264
"2000_2:1",2000,"2:1",1333,667,107,"XPN",0.172104519774011,0.886,0.861215303825956,0.935532233883059,263.5
"4000_2:1",4000,"2:1",2667,1333,107,"XPN",0.222861842105263,0.8845,0.874765654293213,0.9039759939985,249.2
"500_4:1",500,"4:1",400,100,107,"XPN",0.167624521072797,0.916,0.9025,0.97,302
"1000_4:1",1000,"4:1",800,200,107,"XPN",0.16523746701847,0.884,0.8725,0.93,263
"2000_4:1",2000,"4:1",1600,400,107,"XPN",0.180084745762712,0.875,0.86375,0.92,258.5
"4000_4:1",4000,"4:1",3200,800,107,"XPN",0.233799342105263,0.876,0.8728125,0.88875,257
