"level","total","ratio","n_up","n_down","seed","method","Type_I_error","Power","Power_up","Power_down","secs"
"500_1:1",500,"1:1",250,250,104,"QN",0.00727969348659004,0.78,0.804,0.756,46.5
"500_1:1",500,"1:1",250,250,104,"Angel",0.00747126436781609,0.782,0.804,0.76,47.7
"500_1:1",500,"1:1",250,250,104,"TDM",0.0024904214559387,0.744,0.788,0.7,58
"500_1:1",500,"1:1",250,250,104,"MMR",0.00798212005108557,0.82,0.844,0.796,43.5
"500_1:1",500,"1:1",250,250,104,"ComBat",0.0199233716475096,0.938,0.944,0.932,49
"500_1:1",500,"1:1",250,250,104,"ComBat_seq",0.010727969348659,0.912,0.94,0.884,81.3
"500_1:1",500,"1:1",250,250,104,"RNABC",0.0218390804597701,0.944,0.944,0.944,43.7
"500_1:1",500,"1:1",250,250,104,"limma",0.0311621966794381,0.936,0.944,0.928,43.7
"500_1:1",500,"1:1",250,250,104,"MNN",0.0234355044699872,0.768,0.784,0.752,46.1
"1000_1:1",1000,"1:1",500,500,104,"QN",0.00804749340369393,0.799,0.818,0.78,44
"1000_1:1",1000,"1:1",500,500,104,"Angel",0.00804749340369393,0.799,0.818,0.78,43.5
"1000_1:1",1000,"1:1",500,500,104,"TDM",0.00244063324538259,0.752,0.786,0.718,56
"1000_1:1",1000,"1:1",500,500,104,"MMR",0.00784960422163588,0.832,0.868,0.796,41.1
"1000_1:1",1000,"1:1",500,500,104,"ComBat",0.020778364116095,0.957,0.964,0.95,46.2
"1000_1:1",1000,"1:1",500,500,104,"ComBat_seq",0.0107519788918206,0.934,0.956,0.912,78.7
"1000_1:1",1000,"1:1",500,500,104,"RNABC",0.0247361477572559,0.954,0.958,0.95,44.6
"1000_1:1",1000,"1:1",500,500,104,"limma",0.0318601583113456,0.954,0.96,0.948,45.5
"1000_1:1",1000,"1:1",500,500,104,"MNN",0.0268469656992084,0.78,0.772,0.788,48.1
"2000_1:1",2000,"1:1",1000,1000,104,"QN",0.0129237288135593,0.764,0.791,0.737,45.7
"2000_1:1",2000,"1:1",1000,1000,104,"Angel",0.0129237288135593,0.764,0.791,0.737,44.9
"2000_1:1",2000,"1:1",1000,1000,104,"TDM",0.00233050847457627,0.718,0.777,0.659,56.6
"2000_1:1",2000,"1:1",1000,1000,104,"MMR",0.00783898305084746,0.764,0.861,0.667,41.5
"2000_1:1",2000,"1:1",1000,1000,104,"ComBat",0.0237994350282486,0.901,0.949,0.853,45.3
"2000_1:1",2000,"1:1",1000,1000,104,"ComBat_seq",0.0108757062146893,0.8255,0.936,0.715,74.7
"2000_1:1",2000,"1:1",1000,1000,104,"RNABC",0.0296610169491525,0.9475,0.948,0.947,43.8
"2000_1:1",2000,"1:1",1000,1000,104,"limma",0.0362994350282486,0.9455,0.95,0.941,46.6
"2000_1:1",2000,"1:1",1000,1000,104,"MNN",0.030861581920904,0.8195,0.811,0.828,46.5
"4000_1:1",4000,"1:1",2000,2000,104,"QN",0.0123355263157895,0.799,0.7855,0.8125,43.7
"4000_1:1",4000,"1:1",2000,2000,104,"Angel",0.0123355263157895,0.79925,0.7855,0.813,43.5
"4000_1:1",4000,"1:1",2000,2000,104,"TDM",0.00205592105263158,0.7305,0.787,0.674,56.6
"4000_1:1",4000,"1:1",2000,2000,104,"MMR",0.00764802631578947,0.77225,0.8845,0.66,41.4
"4000_1:1",4000,"1:1",2000,2000,104,"ComBat",0.0421875,0.877,0.95,0.804,44.6
"4000_1:1",4000,"1:1",2000,2000,104,"ComBat_seq",0.0110197368421053,0.808,0.9475,0.6685,77.3
"4000_1:1",4000,"1:1",2000,2000,104,"RNABC",0.0582236842105263,0.946,0.9505,0.9415,43.8
"4000_1:1",4000,"1:1",2000,2000,104,"limma",0.058141447368421,0.94175,0.947,0.9365,43
"4000_1:1",4000,"1:1",2000,2000,104,"MNN",0.0712171052631579,0.727,0.714,0.74,46.8
"500_2:1",500,"2:1",333,167,104,"QN",0.00708812260536398,0.796,0.813813813813814,0.760479041916168,42.8
"500_2:1",500,"2:1",333,167,104,"Angel",0.00708812260536398,0.798,0.813813813813814,0.766467065868264,44.2
"500_2:1",500,"2:1",333,167,104,"TDM",0.0024904214559387,0.758,0.783783783783784,0.706586826347305,56.2
"500_2:1",500,"2:1",333,167,104,"MMR",0.00804597701149425,0.846,0.87987987987988,0.778443113772455,39.9
