"level","total","ratio","n_up","n_down","seed","method","Type_I_error","Power","Power_up","Power_down","secs"
"500_1:1",500,"1:1",250,250,118,"QN",0.0167305236270754,0.798,0.816,0.78,35.6
"500_1:1",500,"1:1",250,250,118,"Angel",0.016794380587484,0.798,0.816,0.78,36.9
"500_1:1",500,"1:1",250,250,118,"TDM",0.00804597701149425,0.758,0.764,0.752,46.9
"500_1:1",500,"1:1",250,250,118,"MMR",0.0157088122605364,0.84,0.84,0.84,33.8
"500_1:1",500,"1:1",250,250,118,"ComBat",0.042911877394636,0.946,0.952,0.94,37.7
"500_1:1",500,"1:1",250,250,118,"ComBat_seq",0.0216475095785441,0.934,0.94,0.928,63.4
"500_1:1",500,"1:1",250,250,118,"RNABC",0.0484674329501916,0.948,0.944,0.952,34.5
"500_1:1",500,"1:1",250,250,118,"limma",0.056066411238825,0.944,0.948,0.94,34.2
"500_1:1",500,"1:1",250,250,118,"MNN",0.0440613026819923,0.834,0.804,0.864,37.3
"1000_1:1",1000,"1:1",500,500,118,"QN",0.0201846965699208,0.78,0.814,0.746,34.6
"1000_1:1",1000,"1:1",500,500,118,"Angel",0.0202506596306069,0.78,0.814,0.746,33.6
"1000_1:1",1000,"1:1",500,500,118,"TDM",0.00824538258575198,0.746,0.764,0.728,46
"1000_1:1",1000,"1:1",500,500,118,"MMR",0.0149076517150396,0.847,0.874,0.82,32.9
"1000_1:1",1000,"1:1",500,500,118,"ComBat",0.0431398416886544,0.953,0.964,0.942,34.8
"1000_1:1",1000,"1:1",500,500,118,"ComBat_seq",0.0217018469656992,0.94,0.96,0.92,59.1
"1000_1:1",1000,"1:1",500,500,118,"RNABC",0.0534300791556728,0.95,0.962,0.938,35.2
"1000_1:1",1000,"1:1",500,500,118,"limma",0.0573878627968338,0.947,0.958,0.936,33.4
"1000_1:1",1000,"1:1",500,500,118,"MNN",0.0472955145118734,0.848,0.838,0.858,36.5
"2000_1:1",2000,"1:1",1000,1000,118,"QN",0.0307203389830508,0.7525,0.795,0.71,34.6
"2000_1:1",2000,"1:1",1000,1000,118,"Angel",0.030861581920904,0.7515,0.795,0.708,34.7
"2000_1:1",2000,"1:1",1000,1000,118,"TDM",0.00790960451977401,0.7035,0.768,0.639,44
"2000_1:1",2000,"1:1",1000,1000,118,"MMR",0.0140536723163842,0.782,0.864,0.7,32.5
"2000_1:1",2000,"1:1",1000,1000,118,"ComBat",0.0451271186440678,0.9015,0.961,0.842,33.7
"2000_1:1",2000,"1:1",1000,1000,118,"ComBat_seq",0.0212570621468927,0.84,0.953,0.727,59.7
"2000_1:1",2000,"1:1",1000,1000,118,"RNABC",0.0604519774011299,0.9415,0.962,0.921,34.1
"2000_1:1",2000,"1:1",1000,1000,118,"limma",0.0606638418079096,0.9455,0.96,0.931,33.8
"2000_1:1",2000,"1:1",1000,1000,118,"MNN",0.0733757062146893,0.845,0.851,0.839,35.6
"4000_1:1",4000,"1:1",2000,2000,118,"QN",0.0229440789473684,0.794,0.7905,0.7975,33.8
"4000_1:1",4000,"1:1",2000,2000,118,"Angel",0.0231085526315789,0.79375,0.7905,0.797,33.1
"4000_1:1",4000,"1:1",2000,2000,118,"TDM",0.00740131578947368,0.71425,0.772,0.6565,44.2
"4000_1:1",4000,"1:1",2000,2000,118,"MMR",0.0138157894736842,0.77475,0.879,0.6705,31.8
"4000_1:1",4000,"1:1",2000,2000,118,"ComBat",0.0647203947368421,0.87875,0.956,0.8015,35
"4000_1:1",4000,"1:1",2000,2000,118,"ComBat_seq",0.0207236842105263,0.812,0.9485,0.6755,58
