"level","total","ratio","n_up","n_down","seed","method","Type_I_error","Power","Power_up","Power_down","secs"
"500_1:1",500,"1:1",250,250,161,"QN",0.0112388250319285,0.782,0.784,0.78,56.8
"500_1:1",500,"1:1",250,250,161,"Angel",0.0112388250319285,0.782,0.784,0.78,56.9
"500_1:1",500,"1:1",250,250,161,"TDM",0.00306513409961686,0.732,0.672,0.792,64.3
"500_1:1",500,"1:1",250,250,161,"MMR",0.0109833971902937,0.812,0.72,0.904,51.5
"500_1:1",500,"1:1",250,250,161,"ComBat",0.0167305236270754,0.954,0.944,0.964,54.5
"500_1:1",500,"1:1",250,250,161,"ComBat_seq",0.0133461047254151,0.92,0.876,0.964,93.3
"500_1:1",500,"1:1",250,250,161,"RNABC",0.0582375478927203,0.948,0.928,0.968,50.5
"500_1:1",500,"1:1",250,250,161,"limma",0.0254789272030651,0.95,0.936,0.964,50.6
"500_1:1",500,"1:1",250,250,161,"MNN",0.0220306513409962,0.804,0.82,0.788,52.9
"1000_1:1",1000,"1:1",500,500,161,"QN",0.0149076517150396,0.783,0.78,0.786,50.6
"1000_1:1",1000,"1:1",500,500,161,"Angel",0.0149736147757256,0.783,0.78,0.786,50.8
"1000_1:1",1000,"1:1",500,500,161,"TDM",0.00303430079155673,0.744,0.684,0.804,64.2
"1000_1:1",1000,"1:1",500,500,161,"MMR",0.0104881266490765,0.822,0.752,0.892,49.6
"1000_1:1",1000,"1:1",500,500,161,"ComBat",0.0178759894459103,0.947,0.946,0.948,53
"1000_1:1",1000,"1:1",500,500,161,"ComBat_seq",0.012664907651715,0.927,0.898,0.956,91
"1000_1:1",1000,"1:1",500,500,161,"RNABC",0.0764511873350923,0.943,0.942,0.944,51.7
"1000_1:1",1000,"1:1",500,500,161,"limma",0.0265831134564644,0.944,0.944,0.944,51.3
"1000_1:1",1000,"1:1",500,500,161,"MNN",0.0320580474934037,0.758,0.78,0.736,53
"2000_1:1",2000,"1:1",1000,1000,161,"QN",0.0288841807909605,0.7345,0.759,0.71,51.6
"2000_1:1",2000,"1:1",1000,1000,161,"Angel",0.0288841807909605,0.7345,0.759,0.71,50.8
"2000_1:1",2000,"1:1",1000,1000,161,"TDM",0.00324858757062147,0.658,0.662,0.654,64.5
"2000_1:1",2000,"1:1",1000,1000,161,"MMR",0.0104519774011299,0.7515,0.745,0.758,49.3
"2000_1:1",2000,"1:1",1000,1000,161,"ComBat",0.0233050847457627,0.897,0.945,0.849,55.7
"2000_1:1",2000,"1:1",1000,1000,161,"ComBat_seq",0.013135593220339,0.8185,0.893,0.744,93.4
"2000_1:1",2000,"1:1",1000,1000,161,"RNABC",0.103248587570621,0.924,0.946,0.902,52.5
"2000_1:1",2000,"1:1",1000,1000,161,"limma",0.0336864406779661,0.943,0.944,0.942,52.9
"2000_1:1",2000,"1:1",1000,1000,161,"MNN",0.0439265536723164,0.6705,0.696,0.645,56.4
"4000_1:1",4000,"1:1",2000,2000,161,"QN",0.0146381578947368,0.77625,0.7575,0.795,52.6
"4000_1:1",4000,"1:1",2000,2000,161,"Angel",0.0145559210526316,0.77625,0.7575,0.795,52.6
"4000_1:1",4000,"1:1",2000,2000,161,"TDM",0.00320723684210526,0.681,0.683,0.679,66.9
"4000_1:1",4000,"1:1",2000,2000,161,"MMR",0.0110197368421053,0.7415,0.759,0.724,50.2
"4000_1:1",4000,"1:1",2000,2000,161,"ComBat",0.0413651315789474,0.875,0.947,0.803,59.6
"4000_1:1",4000,"1:1",2000,2000,161,"ComBat_seq",0.0139802631578947,0.80275,0.8995,0.706,103.8
"4000_1:1",4000,"1:1",2000,2000,161,"RNABC",0.0420230263157895,0.94525,0.9475,0.943,59.3
"4000_1:1",4000,"1:1",2000,2000,161,"limma",0.0578947368421053,0.94575,0.945,0.9465,59.3
"4000_1:1",4000,"1:1",2000,2000,161,"MNN",0.108223684210526,0.59175,0.6105,0.573,60.9
"500_2:1",500,"2:1",333,167,161,"QN",0.00996168582375479,0.788,0.783783783783784,0.796407185628742,59.7
"500_2:1",500,"2:1",333,167,161,"Angel",0.0100255427841635,0.79,0.783783783783784,0.802395209580838,58.9
"500_2:1",500,"2:1",333,167,161,"TDM",0.00306513409961686,0.72,0.690690690690691,0.778443113772455,72.6
"500_2:1",500,"2:1",333,167,161,"MMR",0.0110472541507024,0.776,0.720720720720721,0.88622754491018,55.6
"500_2:1",500,"2:1",333,167,161,"ComBat",0.0199233716475096,0.938,0.930930930930931,0.952095808383233,60.2
"500_2:1",500,"2:1",333,167,161,"ComBat_seq",0.0135376756066411,0.918,0.891891891891892,0.970059880239521,105.5
"500_2:1",500,"2:1",333,167,161,"RNABC",0.0483397190293742,0.938,0.930930930930931,0.952095808383233,58.1
"500_2:1",500,"2:1",333,167,161,"limma",0.0284802043422733,0.936,0.924924924924925,0.958083832335329,59.3
"500_2:1",500,"2:1",333,167,161,"MNN",0.0193486590038314,0.814,0.834834834834835,0.772455089820359,61.2
"1000_2:1",1000,"2:1",667,333,161,"QN",0.0112796833773087,0.776,0.758620689655172,0.810810810810811,59.2
"1000_2:1",1000,"2:1",667,333,161,"Angel",0.0111477572559367,0.776,0.758620689655172,0.810810810810811,58.2
"1000_2:1",1000,"2:1",667,333,161,"TDM",0.00303430079155673,0.721,0.679160419790105,0.804804804804805,72.4
"1000_2:1",1000,"2:1",667,333,161,"MMR",0.0104881266490765,0.795,0.739130434782609,0.906906906906907,56.1
"1000_2:1",1000,"2:1",667,333,161,"ComBat",0.0244063324538259,0.941,0.934032983508246,0.954954954954955,59.5
"1000_2:1",1000,"2:1",667,333,161,"ComBat_seq",0.0131266490765172,0.919,0.898050974512744,0.960960960960961,102.3
"1000_2:1",1000,"2:1",667,333,161,"RNABC",0.0569261213720317,0.943,0.935532233883059,0.957957957957958,55.8
"1000_2:1",1000,"2:1",667,333,161,"limma",0.0324538258575198,0.94,0.932533733133433,0.954954954954955,55.6
"1000_2:1",1000,"2:1",667,333,161,"MNN",0.0340369393139842,0.795,0.79160419790105,0.801801801801802,61.3
"2000_2:1",2000,"2:1",1333,667,161,"QN",0.0139124293785311,0.762,0.740435108777194,0.805097451274363,59
"2000_2:1",2000,"2:1",1333,667,161,"Angel",0.0139124293785311,0.762,0.740435108777194,0.805097451274363,61
"2000_2:1",2000,"2:1",1333,667,161,"TDM",0.00317796610169492,0.669,0.669167291822956,0.668665667166417,74.6
"2000_2:1",2000,"2:1",1333,667,161,"MMR",0.0105932203389831,0.75,0.746436609152288,0.75712143928036,53.7
"2000_2:1",2000,"2:1",1333,667,161,"ComBat",0.0464689265536723,0.9115,0.932483120780195,0.869565217391304,58.6
"2000_2:1",2000,"2:1",1333,667,161,"ComBat_seq",0.0140536723163842,0.8485,0.895723930982746,0.754122938530735,101.7
"2000_2:1",2000,"2:1",1333,667,161,"RNABC",0.0406779661016949,0.943,0.939234808702176,0.950524737631184,59.3
"2000_2:1",2000,"2:1",1333,667,161,"limma",0.0543079096045198,0.939,0.933233308327082,0.950524737631184,57.9
"2000_2:1",2000,"2:1",1333,667,161,"MNN",0.0538135593220339,0.7035,0.720180045011253,0.670164917541229,62.4
"4000_2:1",4000,"2:1",2667,1333,161,"QN",0.176151315789474,0.77625,0.740157480314961,0.848462115528882,59.2
"4000_2:1",4000,"2:1",2667,1333,161,"Angel",0.176069078947368,0.77625,0.740157480314961,0.848462115528882,61.3
"4000_2:1",4000,"2:1",2667,1333,161,"TDM",0.00296052631578947,0.6985,0.714285714285714,0.666916729182296,76.1
"4000_2:1",4000,"2:1",2667,1333,161,"MMR",0.0111842105263158,0.7665,0.78740157480315,0.724681170292573,60.5
"4000_2:1",4000,"2:1",2667,1333,161,"ComBat",0.153125,0.89825,0.93363329583802,0.827456864216054,60.3
"4000_2:1",4000,"2:1",2667,1333,161,"ComBat_seq",0.0155427631578947,0.841,0.910011248593926,0.702925731432858,106.6
"4000_2:1",4000,"2:1",2667,1333,161,"RNABC",0.259786184210526,0.94625,0.946756655418073,0.945236309077269,60.3
"4000_2:1",4000,"2:1",2667,1333,161,"limma",0.162828947368421,0.9375,0.932133483314586,0.948237059264816,60.1
"4000_2:1",4000,"2:1",2667,1333,161,"MNN",0.250246710526316,0.591,0.615298087739033,0.5423855963991,62.4
"500_4:1",500,"4:1",400,100,161,"QN",0.00887611749680715,0.784,0.7875,0.77,61.2
"500_4:1",500,"4:1",400,100,161,"Angel",0.00881226053639847,0.784,0.7875,0.77,61.2
"500_4:1",500,"4:1",400,100,161,"TDM",0.00306513409961686,0.706,0.6925,0.76,74.4
"500_4:1",500,"4:1",400,100,161,"MMR",0.0111111111111111,0.776,0.7475,0.89,56.4
"500_4:1",500,"4:1",400,100,161,"ComBat",0.0227969348659004,0.944,0.94,0.96,59.8
"500_4:1",500,"4:1",400,100,161,"ComBat_seq",0.0138569604086845,0.912,0.9,0.96,103.2
"500_4:1",500,"4:1",400,100,161,"RNABC",0.0400383141762452,0.94,0.9375,0.95,62.4
"500_4:1",500,"4:1",400,100,161,"limma",0.0303320561941252,0.942,0.9375,0.96,60
"500_4:1",500,"4:1",400,100,161,"MNN",0.023882503192848,0.824,0.8325,0.79,61.6
"1000_4:1",1000,"4:1",800,200,161,"QN",0.0116094986807388,0.753,0.7375,0.815,57
"1000_4:1",1000,"4:1",800,200,161,"Angel",0.0116094986807388,0.753,0.7375,0.815,60.2
"1000_4:1",1000,"4:1",800,200,161,"TDM",0.00296833773087071,0.694,0.66875,0.795,73.5
"1000_4:1",1000,"4:1",800,200,161,"MMR",0.0105540897097625,0.773,0.73875,0.91,56.1
"1000_4:1",1000,"4:1",800,200,161,"ComBat",0.0328496042216359,0.939,0.9325,0.965,60.4
"1000_4:1",1000,"4:1",800,200,161,"ComBat_seq",0.0138522427440633,0.899,0.885,0.955,103.1
"1000_4:1",1000,"4:1",800,200,161,"RNABC",0.0509234828496042,0.944,0.94,0.96,59.3
"1000_4:1",1000,"4:1",800,200,161,"limma",0.0405672823218997,0.939,0.93375,0.96,59.6
"1000_4:1",1000,"4:1",800,200,161,"MNN",0.0228232189973615,0.819,0.82125,0.81,64.3
"2000_4:1",2000,"4:1",1600,400,161,"QN",0.0373587570621469,0.7515,0.72625,0.8525,59.1
"2000_4:1",2000,"4:1",1600,400,161,"Angel",0.0378531073446328,0.7515,0.72625,0.8525,59.5
"2000_4:1",2000,"4:1",1600,400,161,"TDM",0.00324858757062147,0.683,0.681875,0.6875,72.4
"2000_4:1",2000,"4:1",1600,400,161,"MMR",0.0107344632768362,0.7565,0.7525,0.7725,58.6
"2000_4:1",2000,"4:1",1600,400,161,"ComBat",0.0829802259887006,0.923,0.931875,0.8875,57.4
"2000_4:1",2000,"4:1",1600,400,161,"ComBat_seq",0.0151129943502825,0.871,0.896875,0.7675,99.3
"2000_4:1",2000,"4:1",1600,400,161,"RNABC",0.0620762711864407,0.9465,0.940625,0.97,56.9
"2000_4:1",2000,"4:1",1600,400,161,"limma",0.0890536723163842,0.9355,0.9275,0.9675,56
"2000_4:1",2000,"4:1",1600,400,161,"MNN",0.124223163841808,0.74,0.74875,0.705,58.1
"4000_4:1",4000,"4:1",3200,800,161,"QN",0.373190789473684,0.747,0.714375,0.8775,56.8
"4000_4:1",4000,"4:1",3200,800,161,"Angel",0.373190789473684,0.747,0.714375,0.8775,52.4
"4000_4:1",4000,"4:1",3200,800,161,"TDM",0.00345394736842105,0.71075,0.7221875,0.665,63.3
"4000_4:1",4000,"4:1",3200,800,161,"MMR",0.0111842105263158,0.7745,0.7875,0.7225,47
"4000_4:1",4000,"4:1",3200,800,161,"ComBat",0.248108552631579,0.90525,0.9159375,0.8625,49.6
"4000_4:1",4000,"4:1",3200,800,161,"ComBat_seq",0.0184210526315789,0.86525,0.9096875,0.6875,91.8
"4000_4:1",4000,"4:1",3200,800,161,"RNABC",0.412335526315789,0.945,0.9453125,0.94375,49.9
"4000_4:1",4000,"4:1",3200,800,161,"limma",0.255921052631579,0.92225,0.9125,0.96125,48.8
"4000_4:1",4000,"4:1",3200,800,161,"MNN",0.249588815789474,0.64625,0.6421875,0.6625,52.1
