"level","total","ratio","n_up","n_down","seed","method","Type_I_error","Power","Power_up","Power_down","secs"
"500_1:1",500,"1:1",250,250,182,"QN",0.00906768837803321,0.81,0.804,0.816,53.6
"500_1:1",500,"1:1",250,250,182,"Angel",0.00932311621966794,0.81,0.804,0.816,53.6
"500_1:1",500,"1:1",250,250,182,"TDM",0.00421455938697318,0.77,0.772,0.768,65.7
"500_1:1",500,"1:1",250,250,182,"MMR",0.015389527458493,0.848,0.804,0.892,49
"500_1:1",500,"1:1",250,250,182,"ComBat",0.0308429118773946,0.948,0.936,0.96,55
"500_1:1",500,"1:1",250,250,182,"ComBat_seq",0.017816091954023,0.942,0.928,0.956,95.6
"500_1:1",500,"1:1",250,250,182,"RNABC",0.0317369093231162,0.942,0.944,0.94,50.5
"500_1:1",500,"1:1",250,250,182,"limma",0.0366538952745849,0.948,0.932,0.964,50.4
"500_1:1",500,"1:1",250,250,182,"MNN",0.0621966794380587,0.786,0.832,0.74,54.1
"1000_1:1",1000,"1:1",500,500,182,"QN",0.0108179419525066,0.791,0.8,0.782,50.8
"1000_1:1",1000,"1:1",500,500,182,"Angel",0.0108179419525066,0.791,0.8,0.782,50.6
"1000_1:1",1000,"1:1",500,500,182,"TDM",0.00428759894459103,0.767,0.78,0.754,63.8
"1000_1:1",1000,"1:1",500,500,182,"MMR",0.0151055408970976,0.831,0.808,0.854,48
"1000_1:1",1000,"1:1",500,500,182,"ComBat",0.0316622691292876,0.946,0.94,0.952,51.8
"1000_1:1",1000,"1:1",500,500,182,"ComBat_seq",0.0178759894459103,0.936,0.934,0.938,89.7
"1000_1:1",1000,"1:1",500,500,182,"RNABC",0.0343007915567282,0.945,0.952,0.938,50.8
"1000_1:1",1000,"1:1",500,500,182,"limma",0.0380606860158311,0.944,0.936,0.952,50.8
"1000_1:1",1000,"1:1",500,500,182,"MNN",0.0177440633245383,0.796,0.846,0.746,52.9
"2000_1:1",2000,"1:1",1000,1000,182,"QN",0.015819209039548,0.761,0.773,0.749,50.4
"2000_1:1",2000,"1:1",1000,1000,182,"Angel",0.015819209039548,0.762,0.773,0.751,50.3
"2000_1:1",2000,"1:1",1000,1000,182,"TDM",0.00402542372881356,0.7025,0.763,0.642,63.6
"2000_1:1",2000,"1:1",1000,1000,182,"MMR",0.0140536723163842,0.76,0.805,0.715,47.9
"2000_1:1",2000,"1:1",1000,1000,182,"ComBat",0.0389830508474576,0.8915,0.936,0.847,52.2
"2000_1:1",2000,"1:1",1000,1000,182,"ComBat_seq",0.0174435028248588,0.822,0.922,0.722,91.5
"2000_1:1",2000,"1:1",1000,1000,182,"RNABC",0.0385593220338983,0.941,0.943,0.939,50.3
"2000_1:1",2000,"1:1",1000,1000,182,"limma",0.0461158192090395,0.941,0.932,0.95,50.9
