"level","total","ratio","n_up","n_down","seed","method","Type_I_error","Power","Power_up","Power_down","secs"
"500_1:1",500,"1:1",250,250,191,"XPN",0.00727969348659004,0.958,0.944,0.972,230.5
"1000_1:1",1000,"1:1",500,500,191,"XPN",0.00910290237467019,0.95,0.958,0.942,225.1
"2000_1:1",2000,"1:1",1000,1000,191,"XPN",0.00889830508474576,0.957,0.954,0.96,212.5
"4000_1:1",4000,"1:1",2000,2000,191,"XPN",0.0254111842105263,0.952,0.95,0.954,210.7
"500_2:1",500,"2:1",333,167,191,"XPN",0.00753512132822478,0.96,0.951951951951952,0.976047904191617,225.1
"1000_2:1",1000,"2:1",667,333,191,"XPN",0.00930079155672823,0.95,0.955022488755622,0.93993993993994,223.3
"2000_2:1",2000,"2:1",1333,667,191,"XPN",0.00805084745762712,0.9555,0.95423855963991,0.958020989505247,213
"4000_2:1",4000,"2:1",2667,1333,191,"XPN",0.0261513157894737,0.94925,0.954630671166104,0.938484621155289,204.4
"500_4:1",500,"4:1",400,100,191,"XPN",0.00740740740740741,0.962,0.9575,0.98,215.3
"1000_4:1",1000,"4:1",800,200,191,"XPN",0.00844327176781003,0.955,0.9575,0.945,213
"2000_4:1",2000,"4:1",1600,400,191,"XPN",0.0110875706214689,0.954,0.955,0.95,217.7
"4000_4:1",4000,"4:1",3200,800,191,"XPN",0.035608552631579,0.9505,0.9540625,0.93625,222.1
