"level","total","ratio","n_up","n_down","seed","method","Type_I_error","Power","Power_up","Power_down","secs"
"500_1:1",500,"1:1",250,250,125,"QN",0.0045338441890166,0.79,0.776,0.804,50.5
"500_1:1",500,"1:1",250,250,125,"Angel",0.0045338441890166,0.79,0.776,0.804,50.9
"500_1:1",500,"1:1",250,250,125,"TDM",0.00440613026819923,0.744,0.776,0.712,63
"500_1:1",500,"1:1",250,250,125,"MMR",0.0178799489144317,0.802,0.824,0.78,48
"500_1:1",500,"1:1",250,250,125,"ComBat",0.0256066411238825,0.93,0.896,0.964,53.3
"500_1:1",500,"1:1",250,250,125,"ComBat_seq",0.0178799489144317,0.91,0.896,0.924,86.4
"500_1:1",500,"1:1",250,250,125,"RNABC",0.0290549169859515,0.926,0.888,0.964,48.9
"500_1:1",500,"1:1",250,250,125,"limma",0.0302681992337165,0.93,0.896,0.964,50.4
"500_1:1",500,"1:1",250,250,125,"MNN",0.103767560664112,0.752,0.76,0.744,52.4
"1000_1:1",1000,"1:1",500,500,125,"QN",0.00567282321899736,0.781,0.786,0.776,52.1
"1000_1:1",1000,"1:1",500,500,125,"Angel",0.00560686015831135,0.781,0.786,0.776,51.3
"1000_1:1",1000,"1:1",500,500,125,"TDM",0.00448548812664908,0.747,0.782,0.712,66.6
"1000_1:1",1000,"1:1",500,500,125,"MMR",0.0172163588390501,0.8,0.838,0.762,49.6
"1000_1:1",1000,"1:1",500,500,125,"ComBat",0.0261213720316623,0.933,0.908,0.958,54.2
"1000_1:1",1000,"1:1",500,500,125,"ComBat_seq",0.0176121372031662,0.91,0.898,0.922,87.7
"1000_1:1",1000,"1:1",500,500,125,"RNABC",0.0282981530343008,0.932,0.912,0.952,53.1
"1000_1:1",1000,"1:1",500,500,125,"limma",0.0296833773087071,0.929,0.91,0.948,51.8
"1000_1:1",1000,"1:1",500,500,125,"MNN",0.118337730870712,0.786,0.784,0.788,55.4
"2000_1:1",2000,"1:1",1000,1000,125,"QN",0.0100282485875706,0.7655,0.766,0.765,52
