"level","total","ratio","n_up","n_down","seed","method","Type_I_error","Power","Power_up","Power_down","secs"
"500_1:1",500,"1:1",250,250,135,"QN",0.0134099616858238,0.78,0.776,0.784,54.4
"500_1:1",500,"1:1",250,250,135,"Angel",0.0134099616858238,0.78,0.776,0.784,55.7
"500_1:1",500,"1:1",250,250,135,"TDM",0.00893997445721584,0.718,0.744,0.692,69.9
"500_1:1",500,"1:1",250,250,135,"MMR",0.0223499361430396,0.828,0.864,0.792,53.1
"500_1:1",500,"1:1",250,250,135,"ComBat",0.0432311621966794,0.944,0.936,0.952,61.3
"500_1:1",500,"1:1",250,250,135,"ComBat_seq",0.0234993614303959,0.934,0.948,0.92,102
"500_1:1",500,"1:1",250,250,135,"RNABC",0.0444444444444444,0.946,0.932,0.96,56.8
"500_1:1",500,"1:1",250,250,135,"limma",0.0533205619412516,0.946,0.932,0.96,56
"500_1:1",500,"1:1",250,250,135,"MNN",0.0339719029374202,0.892,0.92,0.864,59.4
"1000_1:1",1000,"1:1",500,500,135,"QN",0.0137203166226913,0.771,0.784,0.758,55.7
"1000_1:1",1000,"1:1",500,500,135,"Angel",0.0137203166226913,0.771,0.784,0.758,58
"1000_1:1",1000,"1:1",500,500,135,"TDM",0.00890501319261214,0.728,0.77,0.686,72.4
"1000_1:1",1000,"1:1",500,500,135,"MMR",0.0214379947229551,0.805,0.874,0.736,52.4
"1000_1:1",1000,"1:1",500,500,135,"ComBat",0.0435356200527705,0.934,0.946,0.922,55.5
"1000_1:1",1000,"1:1",500,500,135,"ComBat_seq",0.0234828496042216,0.91,0.942,0.878,88.9
"1000_1:1",1000,"1:1",500,500,135,"RNABC",0.045778364116095,0.932,0.944,0.92,51.9
"1000_1:1",1000,"1:1",500,500,135,"limma",0.0545514511873351,0.926,0.938,0.914,53.8
"1000_1:1",1000,"1:1",500,500,135,"MNN",0.0399076517150396,0.889,0.93,0.848,55.1
"2000_1:1",2000,"1:1",1000,1000,135,"QN",0.0172316384180791,0.7735,0.774,0.773,53.7
"2000_1:1",2000,"1:1",1000,1000,135,"Angel",0.0172316384180791,0.7735,0.774,0.773,52.6
"2000_1:1",2000,"1:1",1000,1000,135,"TDM",0.00903954802259887,0.698,0.773,0.623,68.6
"2000_1:1",2000,"1:1",1000,1000,135,"MMR",0.0216101694915254,0.7625,0.881,0.644,50.2
"2000_1:1",2000,"1:1",1000,1000,135,"ComBat",0.0507768361581921,0.897,0.946,0.848,54.3
"2000_1:1",2000,"1:1",1000,1000,135,"ComBat_seq",0.0236581920903955,0.8175,0.949,0.686,92.4
"2000_1:1",2000,"1:1",1000,1000,135,"RNABC",0.0521892655367232,0.9365,0.947,0.926,51.7
"2000_1:1",2000,"1:1",1000,1000,135,"limma",0.0634180790960452,0.939,0.943,0.935,51.3
"2000_1:1",2000,"1:1",1000,1000,135,"MNN",0.0851694915254237,0.8555,0.891,0.82,47.4
"4000_1:1",4000,"1:1",2000,2000,135,"QN",0.0209703947368421,0.7925,0.7645,0.8205,49
"4000_1:1",4000,"1:1",2000,2000,135,"Angel",0.0209703947368421,0.7925,0.7645,0.8205,51.1
"4000_1:1",4000,"1:1",2000,2000,135,"TDM",0.0078125,0.70725,0.778,0.6365,65.8
"4000_1:1",4000,"1:1",2000,2000,135,"MMR",0.0199013157894737,0.75475,0.882,0.6275,48.8
"4000_1:1",4000,"1:1",2000,2000,135,"ComBat",0.0695723684210526,0.87175,0.948,0.7955,51.7
"4000_1:1",4000,"1:1",2000,2000,135,"ComBat_seq",0.0226151315789474,0.80625,0.949,0.6635,92.9
"4000_1:1",4000,"1:1",2000,2000,135,"RNABC",0.0699013157894737,0.9435,0.95,0.937,57
"4000_1:1",4000,"1:1",2000,2000,135,"limma",0.084375,0.93525,0.943,0.9275,54.8
"4000_1:1",4000,"1:1",2000,2000,135,"MNN",0.241282894736842,0.77275,0.8285,0.717,59.8
