"level","total","ratio","n_up","n_down","seed","method","Type_I_error","Power","Power_up","Power_down","secs"
"500_1:1",500,"1:1",250,250,167,"XPN",0.0267560664112388,0.94,0.928,0.952,270.1
"1000_1:1",1000,"1:1",500,500,167,"XPN",0.0287598944591029,0.944,0.946,0.942,247.8
"2000_1:1",2000,"1:1",1000,1000,167,"XPN",0.0267655367231638,0.947,0.951,0.943,258.3
"4000_1:1",4000,"1:1",2000,2000,167,"XPN",0.0476973684210526,0.93675,0.942,0.9315,243.5
"500_2:1",500,"2:1",333,167,167,"XPN",0.0259259259259259,0.932,0.927927927927928,0.940119760479042,267.9
"1000_2:1",1000,"2:1",667,333,167,"XPN",0.0294195250659631,0.936,0.934032983508246,0.93993993993994,250.8
"2000_2:1",2000,"2:1",1333,667,167,"XPN",0.0264124293785311,0.945,0.947486871717929,0.940029985007496,249.9
"4000_2:1",4000,"2:1",2667,1333,167,"XPN",0.0482730263157895,0.941,0.944506936632921,0.933983495873968,255.9
"500_4:1",500,"4:1",400,100,167,"XPN",0.0272669220945083,0.93,0.9325,0.92,269.8
"1000_4:1",1000,"4:1",800,200,167,"XPN",0.0277044854881266,0.942,0.94125,0.945,247.6
"2000_4:1",2000,"4:1",1600,400,167,"XPN",0.0266242937853107,0.951,0.950625,0.9525,264.3
"4000_4:1",4000,"4:1",3200,800,167,"XPN",0.0427631578947368,0.939,0.944375,0.9175,261.6
